df_hash,22ZHK4.DZ2M1F
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZTS5
person_label,V94
date_time_start,2025-11-04_17-52-19.908000_+03
date_time_start_unix,1762264339.908
date_time_end,2025-11-04_18-01-06.541000_+03
length_difference_noticed,no

time,ppg_quality
58.748,59
61.778,28
63.798,54
65.818,60
66.828,57
68.848,75
69.858,86
72.888,96
74.908,91
76.928,75
78.948,46
80.968,49
83.998,51
85.008,53
86.018,51
88.038,81
90.058,75
91.068,64
93.088,43
94.098,35
96.118,22
97.128,17
99.148,14
101.168,18
102.178,28
103.188,27
104.198,34
105.208,40
107.228,48
108.238,55
109.248,64
110.258,72
112.278,82
113.288,91
114.298,92
116.318,76
118.338,53
119.348,53
120.358,51
121.368,49
123.388,47
125.408,46
127.428,40
128.438,43
129.448,39
130.458,28
131.468,27
132.478,21
134.498,22
136.518,43
138.538,46
139.548,43
141.568,73
143.588,66
145.608,48
147.628,28
149.648,35
151.668,19
154.698,12
155.708,28
156.718,48
158.738,66
160.758,46
162.778,53
163.788,59
164.798,71
165.808,68
167.828,64
169.848,84
171.868,69
173.888,65
174.898,66
176.918,67
178.938,33
180.958,57
182.978,72
184.998,80
186.008,80
187.018,80
188.028,79
190.048,80
191.058,82
192.068,83
194.088,84
196.108,84
198.128,83
199.138,82
201.158,81
203.178,83
205.198,98
207.218,79
208.228,65
209.238,56
211.258,48
212.268,41
214.288,27
216.308,9
218.328,33
220.348,50
221.358,54
222.368,64
223.378,72
225.398,86
227.418,84
229.438,79
231.458,77
232.468,75
233.478,75
234.488,54
236.508,35
238.528,40
240.548,39
242.568,43
243.578,40
245.598,65
246.608,73
247.618,69
248.628,65
249.638,61
250.648,63
251.658,65
252.668,63
253.678,62
255.698,54
256.708,46
258.728,28
260.748,43
261.758,36
262.768,30
264.788,35
266.808,51
269.838,57
270.848,48
271.858,52
273.878,59
275.898,52
277.918,51
280.948,56
282.968,45
283.978,32
284.988,27
287.008,42
289.028,48
290.038,51
292.058,68
294.078,76
296.098,79
298.118,52
299.128,47
301.148,41
302.158,39
303.168,48
304.178,53
305.188,44
307.208,47
308.218,57
309.228,73
311.248,63
312.258,54
313.268,40
314.278,40
316.298,20
318.318,1
325.388,3
327.408,42
329.428,37
331.448,18
333.468,36
335.488,42
336.498,39
337.508,32
338.518,31
339.528,24
342.558,18
345.588,28
346.598,30
348.618,51
350.638,76
351.648,77
352.658,88
353.668,90
355.688,70
356.698,61
357.708,62
358.718,53
359.728,35
361.748,36
362.758,33
364.778,19
365.788,23
366.798,29
368.818,50
369.828,71
370.838,81
371.848,82
372.858,65
374.878,102
375.888,102
377.908,78
378.918,64
379.928,50
381.948,53
382.958,63
383.968,47
385.988,29
387.998,51
390.018,64
391.028,62
393.048,63
395.068,61
397.088,49
399.108,56
400.118,50
401.128,40
404.158,33
406.178,52
408.198,51
410.218,39
412.238,53
413.248,52
416.278,38
417.288,39
420.318,40
422.338,39
424.358,39
426.378,49
428.398,43
430.418,40
431.428,36
432.438,33
433.448,29
435.468,27
438.498,16
440.518,16
442.538,11
443.548,19
444.558,7
445.568,10
446.578,11
450.618,3
451.628,9
452.638,11
453.648,3
455.668,1
466.778,18
468.798,28
470.818,29
471.828,38
472.838,46
474.858,65
477.888,52
478.898,63
479.908,64
481.928,52
483.948,46
484.958,25
485.968,29
487.988,35
488.998,22
491.018,18
493.038,36
495.058,33
498.088,32
499.098,37
500.108,33
502.128,23
504.148,13
506.168,11
510.208,16
512.228,26
514.248,39
515.258,49
517.278,39
519.298,46
521.318,64
523.338,76
