df_hash,22ZHK4.DZ2M1F
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZTS5
person_label,V94
date_time_start,2025-11-04_17-52-19.908000_+03
date_time_start_unix,1762264339.908
date_time_end,2025-11-04_18-01-06.541000_+03
length_difference_noticed,no

time,spo2
66.359,97
67.043,97
67.133,97
68.696,97
69.427,97
71.671,97
72.402,97
75.376,97
84.833,97
86.585,97
98.531,97
104.875,97
106.832,97
111.594,97
112.913,97
113.105,97
121.839,97
121.984,97
124.659,97
124.713,97
134.461,97
136.018,97
138.699,97
140.020,97
140.793,97
148.943,97
156.932,97
164.196,97
166.487,97
167.226,97
174.488,97
175.898,97
176.583,97
178.241,96
181.210,96
183.556,96
186.770,97
188.284,97
190.478,97
201.737,97
212.885,97
265.162,96
275.204,96
277.446,96
288.756,95
316.737,95
