df_hash,22ZHK4.HAC2HB
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.4LLJ
person_label,V86
date_time_start,2025-11-04_14-43-49.313000_+03
date_time_start_unix,1762253029.313
date_time_end,2025-11-04_14-52-08.536000_+03
length_difference_noticed,no

time,ppg_quality
57.537,83
59.557,80
60.567,81
62.587,91
64.607,83
66.627,77
68.637,76
69.647,80
71.667,78
72.677,77
73.687,78
75.707,94
77.727,103
78.737,103
79.747,99
80.757,100
81.767,104
82.777,99
83.787,96
84.797,88
85.807,88
86.817,86
88.837,88
90.857,93
92.877,97
93.887,101
95.907,109
97.927,109
98.937,109
99.947,110
100.957,111
101.967,110
102.977,110
104.997,110
107.017,112
109.037,107
111.057,86
113.077,56
115.097,53
116.107,57
118.127,61
120.147,67
122.167,93
124.187,100
126.207,83
129.237,80
131.257,85
133.277,91
134.287,95
136.307,100
137.317,102
138.327,102
140.347,102
141.357,103
143.377,105
144.387,109
145.397,113
147.417,114
148.427,114
149.437,114
151.457,115
153.477,114
155.497,114
157.517,100
158.527,95
159.537,92
160.547,90
162.567,58
163.577,47
164.587,40
166.607,31
168.627,31
170.647,35
173.677,73
175.697,88
177.717,104
179.737,112
180.747,107
181.757,109
182.767,108
184.787,108
186.807,101
188.827,103
190.847,101
191.857,97
193.877,87
195.897,88
197.917,79
199.937,68
200.947,67
201.957,73
203.977,89
207.007,99
209.027,109
211.047,112
213.067,105
215.087,99
216.097,98
217.107,98
218.117,97
220.137,84
222.157,59
224.177,49
226.197,39
227.207,30
229.227,10
231.247,32
233.267,10
239.327,9
240.337,16
242.357,30
244.377,48
245.387,53
246.397,55
247.407,47
248.417,48
251.447,42
252.457,50
253.467,53
254.477,51
255.487,54
257.507,64
258.517,69
259.527,75
260.537,68
262.557,46
264.577,56
265.587,54
266.597,54
268.617,38
269.627,34
270.637,34
272.657,54
273.667,45
275.687,38
276.697,44
278.717,41
279.727,36
281.747,45
282.757,48
283.767,54
284.777,43
285.787,34
297.907,42
299.927,61
301.947,72
302.957,81
303.967,92
305.987,113
306.997,120
309.017,96
310.027,87
312.047,74
313.057,87
315.077,67
317.097,60
320.127,72
322.147,75
324.167,61
326.187,40
328.207,28
330.227,45
331.237,55
332.247,70
333.257,81
334.267,70
335.277,76
337.297,86
338.307,80
339.317,73
340.327,70
342.347,40
344.367,37
346.387,44
348.407,63
350.427,74
351.437,65
353.457,79
356.487,78
357.497,80
359.517,80
361.537,77
362.547,69
364.567,56
366.587,37
368.607,22
370.627,12
372.647,33
373.657,43
375.677,56
376.687,66
377.697,70
379.717,71
381.737,41
382.747,29
383.757,24
386.777,30
387.787,30
388.797,37
390.817,29
391.827,38
393.847,43
394.857,32
397.887,15
399.907,16
401.927,30
403.947,25
404.957,34
405.967,38
406.977,39
408.997,41
411.017,32
413.037,40
417.077,11
419.097,12
420.107,7
422.127,8
424.147,54
426.167,44
428.187,22
429.197,5
433.237,10
437.277,4
439.297,6
444.347,16
446.367,30
448.387,42
450.407,69
452.427,76
455.457,54
456.467,49
457.477,45
459.497,31
461.517,27
462.527,30
463.537,32
464.547,38
466.567,45
468.587,23
470.607,18
472.627,25
474.647,39
477.677,87
479.697,113
481.717,94
483.737,92
485.757,62
487.777,23
488.787,8
490.807,30
492.827,21
494.847,16
