df_hash,22ZHK4.HAC2HB
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.4LLJ
person_label,V86
date_time_start,2025-11-04_14-43-49.313000_+03
date_time_start_unix,1762253029.313
date_time_end,2025-11-04_14-52-08.536000_+03
length_difference_noticed,no

time,temperature
5.334,34.094
6.359,34.062
7.334,34.062
8.308,34.094
9.333,34.031
10.408,34.062
11.429,34.031
12.307,34.000
13.350,34.000
14.328,34.031
15.330,34.031
16.373,34.000
17.330,34.062
18.304,34.094
19.357,34.094
20.546,34.125
21.326,34.125
22.304,34.156
23.374,34.156
24.300,34.188
25.373,34.188
26.302,34.250
27.373,34.188
28.398,34.219
29.322,34.250
30.300,34.250
31.564,34.250
32.296,34.250
33.320,34.281
34.365,34.281
35.318,34.281
36.294,34.250
37.318,34.281
38.293,34.281
39.316,34.250
40.292,34.250
41.316,34.219
42.436,34.188
43.315,34.188
44.338,34.188
45.557,34.219
46.337,34.250
47.312,34.250
48.336,34.219
49.333,34.250
50.341,34.250
51.321,34.312
52.340,34.406
53.309,34.406
54.338,34.406
55.308,34.406
56.332,34.375
57.507,34.375
58.331,34.438
59.605,34.469
60.330,34.438
61.305,34.469
62.328,34.406
63.476,34.406
64.328,34.406
65.303,34.469
66.329,34.500
67.302,34.469
68.377,34.500
69.300,34.500
70.344,34.500
71.299,34.500
72.323,34.531
73.298,34.531
74.322,34.531
75.302,34.531
76.616,34.531
77.345,34.531
78.324,34.531
79.449,34.500
80.335,34.500
81.294,34.500
82.367,34.469
83.298,34.500
84.320,34.469
85.681,34.500
86.316,34.469
87.291,34.469
88.377,34.500
89.292,34.531
90.413,34.531
91.289,34.531
92.312,34.531
93.336,34.594
94.311,34.625
95.309,34.562
96.355,34.594
97.334,34.594
98.310,34.594
99.333,34.594
100.454,34.594
101.331,34.625
102.307,34.625
103.331,34.656
104.305,34.656
105.337,34.781
106.424,34.812
107.355,34.906
108.304,34.906
109.327,34.906
110.381,34.938
111.327,34.906
112.323,34.938
113.520,34.906
114.301,34.906
115.337,34.844
116.331,34.812
117.324,34.688
118.298,34.688
119.323,34.688
120.301,34.719
121.467,34.719
122.296,34.688
123.326,34.688
124.300,34.688
125.325,34.719
126.444,34.750
127.318,34.812
128.319,34.844
129.362,34.812
130.341,34.844
131.316,34.875
132.437,34.875
133.317,34.906
134.290,34.875
135.314,34.875
136.289,34.844
137.317,34.781
138.434,34.750
139.312,34.812
140.287,34.750
141.339,34.781
142.364,34.719
143.309,34.719
144.333,34.719
145.309,34.750
146.332,34.781
147.307,34.812
148.332,34.812
149.306,34.781
150.330,34.812
151.305,34.812
152.329,34.844
153.328,34.844
154.328,34.812
155.303,34.812
156.327,34.781
157.302,34.812
158.325,34.781
159.301,34.844
160.344,34.812
161.300,34.812
162.324,34.812
163.302,34.812
164.422,34.875
165.298,34.875
166.321,34.906
167.540,34.906
168.320,34.938
169.299,34.875
170.514,34.906
171.294,34.906
172.318,34.906
173.296,34.938
174.317,34.875
175.490,34.844
176.316,34.844
177.314,34.844
178.325,34.875
179.290,34.906
180.320,34.875
181.532,34.875
182.337,34.906
183.288,34.906
184.312,34.906
185.433,34.875
186.411,34.875
187.277,34.906
188.287,34.906
189.323,34.875
190.264,34.906
191.343,34.875
192.267,34.875
193.262,34.875
194.231,34.875
195.249,34.875
196.364,34.875
197.248,34.844
198.210,34.844
199.235,34.844
200.201,34.875
201.223,34.844
202.195,34.812
203.217,34.844
204.190,34.875
205.212,34.875
206.528,34.875
207.244,34.906
208.182,34.906
209.205,34.938
210.177,34.938
211.264,34.969
212.174,34.969
213.197,35.000
214.171,34.969
215.198,35.000
216.168,34.969
217.444,34.969
218.175,34.969
219.188,34.969
220.458,34.938
221.190,34.938
222.211,34.906
223.191,34.875
224.161,34.875
225.185,34.875
226.160,34.906
227.221,34.906
228.207,34.906
229.183,34.875
230.158,34.844
231.254,34.844
232.157,34.875
233.180,34.875
234.448,34.875
235.179,34.875
236.154,34.875
237.177,34.844
238.158,34.844
239.176,34.875
240.296,34.875
241.174,34.875
242.197,34.875
243.318,34.812
244.229,34.844
245.170,34.844
246.195,34.844
247.169,34.844
248.246,34.875
249.413,34.875
250.194,34.906
251.165,34.906
252.188,34.906
253.163,34.938
254.235,34.938
255.161,34.875
256.184,34.875
257.208,34.844
258.188,34.812
259.206,34.812
260.181,34.812
261.161,34.781
262.179,34.750
263.208,34.719
264.520,34.719
265.347,34.750
266.175,34.719
267.493,34.719
268.172,34.750
269.147,34.688
270.220,34.625
271.163,34.656
272.169,34.656
273.144,34.656
274.167,34.656
275.288,34.625
276.174,34.656
277.139,34.688
278.163,34.688
279.186,34.719
280.161,34.750
281.135,34.750
282.159,34.750
283.182,34.781
284.160,34.781
285.379,34.812
286.549,34.812
287.132,34.812
288.206,34.781
289.179,34.750
290.155,34.719
291.179,34.688
292.157,34.688
293.179,34.688
294.153,34.688
295.177,34.656
296.250,34.625
297.176,34.625
298.151,34.625
299.175,34.625
300.150,34.656
301.174,34.656
302.149,34.656
303.202,34.688
304.148,34.688
305.171,34.688
306.147,34.656
307.170,34.688
308.145,34.688
309.169,34.688
310.144,34.688
311.175,34.688
312.144,34.656
313.166,34.656
314.145,34.688
315.168,34.688
316.192,34.719
317.164,34.719
