df_hash,22ZHK4.HAC2HB
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.4LLJ
person_label,V86
date_time_start,2025-11-04_14-43-49.313000_+03
date_time_start_unix,1762253029.313
date_time_end,2025-11-04_14-52-08.536000_+03
length_difference_noticed,no

time,rr_int
11.432,6895
12.257,15
12.946,780
12.989,790
12.992,10
13.086,15
13.100,110
13.232,20
13.237,15
13.281,10
13.285,10
13.288,10
13.291,10
13.331,15
13.334,15
13.337,15
13.379,165
13.383,15
13.430,10
13.433,10
13.501,15
13.504,15
13.506,25
13.626,155
13.629,10
14.451,755
14.598,10
15.183,185
15.186,595
15.428,10
15.865,205
16.012,535
16.015,15
16.060,10
16.064,30
16.067,25
16.158,15
16.161,10
16.164,15
16.207,30
16.210,35
16.213,15
16.216,10
16.989,15
16.992,510
17.377,10
17.572,800
17.575,10
17.677,10
18.352,165
18.645,670
19.083,280
19.147,515
19.181,10
19.184,10
19.961,125
19.964,635
20.599,10
21.424,775
21.427,750
22.253,10
22.398,835
22.404,170
22.447,10
22.454,10
22.460,15
22.545,15
22.550,10
22.596,10
22.601,10
22.606,15
23.084,35
23.087,425
23.095,10
23.666,110
23.673,615
24.495,10
24.761,790
24.788,220
24.791,25
24.794,25
25.378,10
25.423,560
25.494,10
25.519,170
25.616,20
25.619,15
25.665,15
25.668,15
25.675,10
25.714,10
25.717,10
26.152,25
26.156,520
26.159,15
26.299,10
26.875,185
27.713,535
27.716,800
27.956,10
28.542,255
28.639,540
28.643,180
28.688,10
28.692,10
28.695,20
28.785,20
28.789,15
28.834,10
28.837,10
28.886,10
29.225,15
29.370,470
29.374,155
29.468,10
30.053,95
30.059,495
30.735,10
30.739,795
31.028,10
31.174,315
31.177,10
31.857,520
32.442,220
32.491,565
33.128,15
33.175,700
33.181,10
33.222,10
33.808,55
33.812,620
34.636,10
34.639,755
35.322,10
35.325,790
35.790,10
35.810,405
35.816,10
35.822,10
35.939,10
36.101,15
36.104,20
36.147,80
36.153,300
37.025,10
37.028,770
37.074,15
37.077,10
37.081,15
37.122,20
37.126,20
37.173,20
37.708,35
37.715,535
38.390,10
38.395,765
38.682,10
39.219,250
40.048,530
40.053,810
40.099,10
40.104,10
40.194,20
40.214,175
40.779,20
40.783,520
41.608,10
41.611,760
42.006,10
42.440,185
42.583,640
42.586,10
42.589,175
42.593,25
43.119,20
43.124,580
43.266,10
43.412,15
43.415,185
43.463,20
43.466,15
43.948,10
43.951,510
44.099,10
44.146,150
44.151,15
44.630,25
44.634,580
44.923,15
45.560,180
46.340,620
46.343,750
46.434,15
46.437,180
47.019,10
47.702,505
48.531,760
48.536,790
49.262,10
49.269,765
49.360,10
49.363,145
49.508,10
49.945,30
49.949,525
50.920,10
50.924,850
51.067,10
51.072,180
51.078,25
51.163,15
51.169,20
51.215,35
51.628,15
51.632,420
51.748,10
51.752,110
51.798,20
51.801,15
51.805,15
51.945,20
51.951,80
51.954,25
51.992,10
51.996,10
51.999,10
52.285,15
52.288,405
52.431,10
53.114,135
53.851,650
54.674,800
54.677,800
55.503,10
55.649,755
56.186,155
56.193,560
56.944,15
57.063,795
57.068,10
57.746,15
57.750,775
57.989,10
57.997,195
58.135,15
58.633,125
58.722,470
58.735,10
59.257,175
59.262,560
60.086,15
60.769,725
60.915,765
61.646,180
62.348,625
63.011,710
63.016,700
63.157,15
63.162,165
63.315,30
63.694,20
64.668,520
65.107,900
65.654,515
66.424,545
66.911,680
67.594,600
67.740,710
67.886,10
67.890,210
68.032,180
68.036,10
68.040,10
68.179,20
68.182,35
68.327,200
68.374,10
69.691,685
70.568,695
70.571,730
70.574,10
70.717,10
71.104,20
71.348,670
71.353,185
71.396,10
71.400,20
71.403,45
71.545,10
71.933,10
72.616,480
73.302,710
74.030,725
74.176,695
74.273,315
74.276,10
74.858,445
75.541,10
76.224,750
76.955,705
77.249,735
77.783,180
77.789,575
77.930,10
77.939,185
78.027,10
78.054,40
78.076,20
78.088,15
78.467,15
78.761,445
79.148,10
79.152,735
79.831,10
79.835,650
79.977,10
79.982,150
80.123,10
80.127,75
80.223,15
80.564,10
81.245,435
82.074,755
82.220,775
82.381,295
82.759,15
82.762,10
83.639,465
83.780,760
83.784,145
83.880,20
84.316,15
84.463,540
84.560,180
84.564,10
84.609,10
84.613,15
84.616,10
84.658,10
84.661,10
84.664,10
84.667,10
84.956,20
85.014,10
85.245,350
85.685,10
85.687,680
86.413,10
87.095,705
87.388,775
87.924,230
88.607,540
88.753,735
89.338,190
89.387,530
89.450,10
90.021,150
90.703,515
90.707,680
92.215,10
92.946,1500
93.775,780
93.778,750
94.460,15
95.140,665
95.872,730
96.700,760
96.846,780
96.851,200
96.898,10
96.901,10
96.944,20
96.947,20
96.993,10
96.997,10
97.000,10
97.382,25
97.386,430
98.262,10
98.748,715
98.797,680
99.479,10
100.221,670
100.457,725
100.749,280
101.027,15
101.673,485
101.678,800
101.966,10
102.554,185
102.648,575
102.653,200
103.234,15
103.916,510
104.744,735
105.476,755
106.311,785
106.427,735
106.889,175
106.892,480
107.134,10
107.280,295
107.284,15
107.288,15
107.525,75
108.255,280
108.937,675
108.941,745
109.331,10
109.376,295
109.380,10
109.384,10
109.620,15
109.623,25
109.627,15
109.630,20
109.671,280
110.450,10
