df_hash,22ZHK4.HAC2HB
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.4LLJ
person_label,V86
date_time_start,2025-11-04_14-43-49.313000_+03
date_time_start_unix,1762253029.313
date_time_end,2025-11-04_14-52-08.536000_+03
length_difference_noticed,no

time,battery
10.210,63
20.205,63
30.297,63
40.245,63
50.238,63
60.232,63
70.227,63
80.328,63
90.218,63
100.225,63
110.205,63
120.297,63
130.294,63
140.196,63
150.184,63
160.227,63
170.222,63
180.216,63
190.167,63
200.106,63
210.080,63
220.066,63
230.130,63
240.053,63
250.146,63
260.083,63
270.073,62
280.077,62
290.057,62
300.053,62
310.071,62
320.039,62
330.032,62
340.024,62
350.063,62
360.056,62
370.143,62
380.037,62
390.033,62
400.021,62
410.021,62
420.014,62
430.004,62
439.999,62
450.044,62
460.054,62
470.034,62
480.028,62
490.118,62
