df_hash,22ZHK4.QEBF70
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.12ZE
person_label,v128
date_time_start,2026-04-07_17-29-37.024000_+03
date_time_start_unix,1775564977.024
date_time_end,2026-04-07_17-38-24.003000_+03
length_difference_noticed,no

time,battery
6.199,50
16.171,50
26.165,50
36.159,50
46.201,50
56.195,50
66.188,50
76.183,50
86.178,50
96.170,50
106.167,50
116.158,50
126.153,50
136.145,50
146.188,50
156.181,50
166.175,50
176.267,50
186.163,50
196.256,50
206.150,50
216.144,49
226.240,49
236.132,49
246.179,49
256.182,49
266.162,49
276.156,49
286.214,49
296.145,49
306.139,49
316.133,49
326.150,49
336.180,49
346.206,49
356.158,49
366.152,49
376.146,49
386.140,49
396.159,49
406.128,49
416.123,49
426.266,49
436.159,49
446.153,49
456.231,49
466.142,49
476.233,49
486.130,48
496.124,48
506.166,48
516.112,48
