df_hash,22ZHK4.QEBF70
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.12ZE
person_label,v128
date_time_start,2026-04-07_17-29-37.024000_+03
date_time_start_unix,1775564977.024
date_time_end,2026-04-07_17-38-24.003000_+03
length_difference_noticed,no

time,temperature
5.300,34.750
6.275,34.781
7.298,34.812
8.274,34.844
9.297,34.875
10.272,34.906
11.296,34.938
12.271,34.938
13.294,34.938
14.662,35.000
15.306,34.969
16.268,35.000
17.292,35.000
18.302,34.969
19.340,34.969
20.266,35.000
21.292,35.000
22.316,35.062
23.294,35.094
24.271,35.094
25.301,35.125
26.263,35.188
27.286,35.250
28.310,35.250
29.286,35.281
30.299,35.281
31.299,35.375
32.307,35.344
33.282,35.375
34.306,35.375
35.281,35.375
36.310,35.344
37.280,35.344
38.303,35.406
39.279,35.406
40.358,35.438
41.278,35.469
42.302,35.500
43.276,35.500
44.300,35.594
45.275,35.562
46.299,35.625
47.569,35.625
48.297,35.656
49.273,35.688
50.296,35.656
51.299,35.688
52.297,35.688
53.270,35.719
54.296,35.656
55.317,35.719
56.294,35.719
57.268,35.719
58.586,35.688
59.464,35.656
60.290,35.656
61.511,35.656
62.289,35.688
63.264,35.688
64.303,35.719
65.263,35.719
66.286,35.719
67.261,35.719
68.285,35.781
69.260,35.812
70.284,35.812
71.259,35.812
72.477,35.844
73.264,35.875
74.333,35.875
75.353,35.906
76.280,35.938
77.255,35.938
78.278,35.906
79.258,35.906
80.280,35.906
81.301,35.875
82.276,35.906
83.304,35.875
84.278,35.844
85.299,35.750
86.319,35.812
87.303,35.844
88.278,35.875
89.540,35.844
90.271,35.844
91.295,35.875
92.270,35.844
93.293,35.875
94.269,35.906
95.293,36.000
96.268,35.969
97.291,35.969
98.320,36.000
99.290,36.000
100.509,36.031
101.289,36.031
102.313,36.062
103.287,36.094
104.262,36.094
105.286,36.094
106.271,36.094
107.285,36.094
108.260,36.125
109.284,36.156
110.551,36.156
111.283,36.188
112.258,36.156
113.631,36.188
114.263,36.219
115.280,36.219
116.255,36.250
117.279,36.281
118.302,36.250
119.278,36.281
120.253,36.250
121.278,36.281
122.252,36.281
123.275,36.250
124.251,36.250
125.371,36.250
126.249,36.250
127.273,36.219
128.297,36.219
129.272,36.188
130.295,36.219
131.270,36.219
132.294,36.250
133.269,36.281
134.293,36.250
135.271,36.219
136.292,36.156
137.267,36.188
138.290,36.188
139.266,36.250
140.289,36.375
141.264,36.375
142.288,36.375
143.263,36.375
144.286,36.406
145.414,36.438
146.285,36.531
147.260,36.531
148.284,36.562
149.259,36.531
150.283,36.406
151.258,36.438
152.291,36.375
153.257,36.406
154.280,36.375
155.304,36.375
156.279,36.375
157.254,36.344
158.277,36.375
159.253,36.375
160.277,36.375
161.349,36.375
162.298,36.406
163.299,36.375
164.287,36.406
165.249,36.438
166.273,36.438
167.248,36.438
168.272,36.406
169.248,36.469
170.468,36.469
171.343,36.469
172.269,36.469
173.244,36.531
174.268,36.500
175.542,36.469
176.284,36.469
177.242,36.469
178.265,36.500
179.294,36.469
180.264,36.469
181.288,36.438
182.264,36.438
183.286,36.406
184.262,36.438
185.334,36.500
186.260,36.500
187.284,36.500
188.259,36.500
189.282,36.562
190.307,36.562
191.282,36.594
192.257,36.594
193.280,36.594
194.256,36.562
195.284,36.562
196.267,36.531
197.277,36.531
198.258,36.562
199.277,36.500
200.570,36.500
201.617,36.500
202.280,36.500
203.302,36.531
204.249,36.500
205.273,36.500
206.248,36.531
207.272,36.531
208.247,36.531
209.270,36.562
210.538,36.531
211.271,36.531
212.244,36.531
213.268,36.562
214.584,36.562
215.660,36.531
216.242,36.500
217.266,36.500
218.241,36.531
219.264,36.531
220.288,36.531
221.263,36.500
222.242,36.469
223.262,36.438
224.238,36.500
225.262,36.531
226.528,36.562
227.259,36.562
228.283,36.531
229.258,36.562
230.281,36.562
231.257,36.594
232.281,36.594
233.255,36.625
234.279,36.594
235.254,36.594
236.278,36.656
237.253,36.688
238.277,36.688
239.252,36.719
240.275,36.719
241.401,36.750
242.274,36.750
243.249,36.750
244.273,36.719
245.248,36.750
246.272,36.656
247.247,36.656
248.271,36.656
249.246,36.656
250.269,36.656
251.295,36.625
252.268,36.625
253.243,36.656
254.267,36.656
255.247,36.688
256.509,36.688
257.243,36.656
258.269,36.656
259.288,36.625
260.264,36.656
261.238,36.656
262.262,36.625
263.278,36.625
264.260,36.625
265.236,36.625
266.262,36.594
267.383,36.625
268.259,36.625
269.234,36.625
270.257,36.625
271.244,36.656
272.259,36.656
273.231,36.625
274.255,36.656
275.230,36.688
276.257,36.719
277.278,36.688
278.450,36.719
279.276,36.688
280.251,36.719
281.301,36.625
282.250,36.656
283.274,36.688
284.269,36.656
285.272,36.688
286.258,36.656
287.275,36.781
288.247,36.750
289.270,36.781
290.246,36.750
291.269,36.781
292.344,36.750
293.268,36.812
294.243,36.781
295.268,36.750
296.242,36.781
297.266,36.688
298.241,36.719
299.265,36.750
300.240,36.719
301.461,36.781
302.239,36.812
303.311,36.781
304.237,36.781
305.261,36.781
306.385,36.781
307.260,36.781
308.236,36.781
309.259,36.781
310.239,36.812
311.262,36.781
312.282,36.781
313.257,36.781
314.231,36.812
315.304,36.812
316.330,36.781
317.359,36.812
318.231,36.781
