df_hash,22ZHK4.QEBF70
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.12ZE
person_label,v128
date_time_start,2026-04-07_17-29-37.024000_+03
date_time_start_unix,1775564977.024
date_time_end,2026-04-07_17-38-24.003000_+03
length_difference_noticed,no

time,quality
36.305,53
37.441,64
38.333,34
39.256,33
40.503,40
41.330,42
42.207,40
43.377,30
44.398,46
45.180,44
46.350,61
47.279,45
48.156,41
49.421,39
50.257,41
51.225,41
52.593,39
53.232,36
54.102,26
55.661,32
56.244,0
57.076,21
58.294,29
59.172,25
60.050,0
61.268,20
62.145,32
63.024,51
64.242,52
65.171,69
65.999,65
67.215,70
68.094,54
69.020,50
70.238,49
71.067,58
71.993,46
73.258,46
74.041,38
74.968,27
76.138,27
77.014,23
78.232,31
79.254,33
80.085,28
80.914,28
82.085,31
82.962,36
83.891,43
85.058,36
85.986,52
86.864,50
88.034,43
88.958,46
89.837,24
91.009,0
92.175,25
92.809,22
94.107,27
94.910,26
95.783,53
97.002,51
97.880,32
98.854,22
99.977,29
101.096,35
101.731,38
102.960,59
103.826,62
105.000,61
105.924,59
106.898,45
107.729,40
108.897,43
109.775,40
110.944,40
111.871,43
113.312,52
113.675,56
114.845,58
115.816,64
116.650,60
117.821,44
118.699,34
119.623,29
120.792,28
121.669,33
122.595,40
123.765,38
124.643,51
125.569,51
126.739,41
127.616,34
128.543,31
129.713,45
130.591,30
131.566,49
132.687,56
133.711,60
134.491,61
135.661,60
136.587,64
137.464,65
138.731,66
139.562,61
140.440,61
141.609,38
142.536,30
143.606,28
144.607,30
145.511,37
146.486,45
147.557,54
148.535,54
149.362,57
150.848,62
151.455,54
152.373,51
153.552,45
154.575,42
155.599,43
156.529,37
157.500,45
158.327,51
159.502,58
160.383,58
161.256,54
162.476,50
163.592,47
164.229,38
165.447,39
166.324,35
167.203,38
168.423,23
169.539,23
170.177,28
171.394,20
172.320,25
173.198,26
174.563,28
175.538,27
176.174,30
177.345,35
178.222,0
179.152,0
180.316,0
181.193,2
182.119,0
183.338,0
184.213,0
185.141,40
186.267,50
187.190,52
188.067,49
189.237,44
190.163,33
191.041,31
192.211,35
193.138,35
194.038,39
195.279,38
196.192,61
196.988,54
198.253,39
199.084,27
200.254,24
201.132,0
202.250,0
203.227,0
204.109,37
205.033,44
205.911,50
207.225,54
208.006,50
208.883,44
210.104,46
210.982,50
211.859,53
213.078,51
213.999,54
214.977,51
216.054,47
216.927,44
217.806,43
219.024,52
219.901,50
220.778,52
222.192,56
222.876,52
223.801,47
224.979,44
225.850,51
226.777,53
228.042,48
228.824,44
229.750,50
231.113,49
231.915,48
232.917,50
234.038,49
234.865,53
235.842,41
236.865,48
237.792,21
238.671,26
239.866,0
240.768,0
241.646,0
243.203,21
243.740,19
244.909,18
245.836,34
246.713,0
247.883,0
248.810,0
249.741,0
250.591,0
251.784,2
252.688,36
253.611,28
254.851,33
255.635,18
256.663,40
257.733,33
258.754,35
259.681,28
260.733,20
261.585,33
262.460,40
263.679,24
264.556,0
265.435,0
266.653,30
267.530,21
268.408,33
269.867,0
270.552,0
271.409,20
272.603,0
273.541,0
274.357,22
275.964,25
276.452,0
277.386,18
278.548,36
279.426,31
280.352,22
281.523,21
282.399,0
283.338,0
284.495,40
285.374,31
286.349,32
287.472,29
288.640,22
289.421,25
290.454,24
291.322,42
292.247,41
293.419,48
294.295,35
295.221,35
296.416,35
297.512,0
298.195,0
299.365,34
300.291,0
301.169,0
302.349,27
303.265,30
304.142,28
305.314,42
306.240,48
307.116,41
308.286,46
309.213,38
310.234,37
311.409,40
312.240,35
313.064,36
314.283,43
315.212,25
316.039,0
317.354,32
318.134,34
319.014,36
320.231,34
321.109,24
321.988,0
323.207,28
324.083,27
324.960,36
326.180,38
327.056,37
327.960,50
329.153,62
330.030,59
330.957,58
332.176,60
333.004,54
333.887,44
335.100,35
336.173,32
336.907,23
338.271,31
339.097,32
339.977,0
341.096,0
341.935,18
342.854,28
344.022,31
344.902,22
345.828,28
346.995,25
347.873,25
348.802,53
349.969,53
351.110,48
351.775,39
352.945,32
354.015,36
354.750,31
355.920,0
356.798,0
357.913,0
359.181,0
359.819,0
360.703,0
361.886,27
362.791,23
363.961,24
364.839,24
365.791,25
366.643,0
367.816,0
368.741,0
369.618,0
371.129,30
371.712,36
372.604,0
373.760,0
374.732,0
375.566,18
376.736,0
377.661,0
378.541,36
379.708,43
380.643,44
381.659,43
382.684,29
383.610,26
384.486,26
385.704,28
386.582,38
387.462,39
388.678,58
389.556,36
390.729,39
391.653,0
392.628,36
393.410,37
394.626,29
395.700,30
396.527,21
397.600,24
398.488,0
399.357,0
400.574,19
401.452,18
402.472,21
403.596,26
404.425,27
405.351,27
406.530,16
407.399,26
408.276,0
409.495,0
410.418,0
411.493,0
412.615,0
413.441,22
414.269,27
415.446,33
416.369,33
417.223,24
418.417,20
419.318,21
420.172,28
421.488,31
422.314,25
423.245,23
424.364,0
425.246,31
426.132,26
427.386,19
428.215,0
429.093,0
430.407,29
431.189,30
432.265,35
433.286,35
434.283,28
435.092,25
436.358,17
437.137,27
438.063,28
439.234,29
440.111,26
441.038,26
442.273,18
443.179,16
444.011,21
445.232,31
446.059,27
446.987,33
448.155,26
449.040,36
450.105,26
451.129,45
