df_hash,22ZHK4.QEBF70
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.12ZE
person_label,v128
date_time_start,2026-04-07_17-29-37.024000_+03
date_time_start_unix,1775564977.024
date_time_end,2026-04-07_17-38-24.003000_+03
length_difference_noticed,no

time,ppg_quality
57.413,51
60.443,35
62.463,46
64.483,48
66.503,69
68.523,61
69.533,66
70.543,74
73.573,86
74.583,74
75.593,64
76.603,52
77.613,67
79.633,81
80.643,71
81.653,56
83.673,59
84.683,63
86.703,71
88.723,50
90.743,63
91.753,73
93.773,74
94.783,72
95.793,73
97.813,93
99.833,86
101.853,82
102.863,89
103.873,91
104.883,102
106.903,86
108.923,87
110.943,99
112.963,99
114.983,94
117.003,113
118.013,116
120.033,97
121.043,92
122.053,92
124.073,89
126.093,80
128.113,59
129.123,63
130.133,69
131.143,75
132.153,79
133.163,82
135.183,90
137.203,101
139.223,112
142.253,109
143.263,99
144.273,87
145.283,78
146.293,74
148.313,75
150.333,63
153.363,51
155.383,60
156.393,63
157.403,64
158.413,63
159.423,67
160.433,75
161.443,81
164.473,91
166.493,80
168.513,48
170.533,13
172.553,1
173.563,5
174.573,18
175.583,19
176.593,19
177.603,32
179.623,56
181.643,60
182.653,54
183.663,51
185.683,43
186.693,49
188.713,47
190.733,36
191.743,37
192.753,39
194.773,38
195.783,38
197.803,33
198.813,38
199.823,38
200.833,44
201.843,36
203.863,54
205.883,57
206.893,57
207.903,56
208.913,48
210.933,63
212.953,70
214.973,59
216.993,55
219.013,58
220.023,61
221.033,71
222.043,79
223.053,89
224.063,98
226.083,100
228.103,99
230.123,91
232.143,72
233.153,56
235.173,47
237.193,50
238.203,47
239.213,47
241.233,41
243.253,50
244.263,59
246.283,66
248.303,74
250.323,76
252.343,100
253.353,105
254.363,96
255.373,92
256.383,99
257.393,102
259.413,90
261.433,76
263.453,50
264.463,57
266.483,38
267.493,24
268.503,24
270.523,44
272.543,71
273.553,71
274.563,63
276.583,77
278.603,89
279.613,77
281.633,58
282.643,57
284.663,69
285.673,72
286.683,65
287.693,57
289.713,59
291.733,58
292.743,58
293.753,58
295.773,57
296.783,55
298.803,61
299.813,59
300.823,57
302.843,47
304.863,32
305.873,33
306.883,36
307.893,42
309.913,51
311.933,67
313.953,91
314.963,116
315.973,122
316.983,120
317.993,123
319.003,126
320.013,123
322.033,106
323.043,102
325.063,80
327.083,81
328.093,77
329.103,73
331.123,68
332.133,69
333.143,56
335.163,28
336.173,6
350.313,5
351.323,9
353.343,16
355.363,8
357.383,36
359.403,40
360.413,37
361.423,29
364.453,26
366.473,44
368.493,39
370.513,29
372.533,52
373.543,61
374.553,64
375.563,58
377.583,38
378.593,57
379.603,73
381.623,74
383.643,53
385.663,51
386.673,57
387.683,54
389.703,33
390.713,32
391.723,30
392.733,33
393.743,32
394.753,38
396.773,34
397.783,33
399.803,38
400.813,45
401.823,53
402.833,56
403.843,56
405.863,37
406.873,29
407.883,38
409.903,51
410.913,46
411.923,41
412.933,35
413.943,29
415.963,31
416.973,45
417.983,44
418.993,35
420.003,35
421.013,42
422.023,51
423.033,54
425.053,66
427.073,47
428.083,32
430.103,12
431.113,3
434.143,11
436.163,45
437.173,61
438.183,81
440.203,97
441.213,101
443.233,103
444.243,95
445.253,88
447.273,38
448.283,14
449.293,2
451.313,3
453.333,3
455.353,27
456.363,35
457.373,38
458.383,40
460.403,51
462.423,39
464.443,25
466.463,24
468.483,30
469.493,36
470.503,45
471.513,44
473.533,55
474.543,55
475.553,59
477.573,78
479.593,84
482.623,95
484.643,92
486.663,81
488.683,71
490.703,57
491.713,45
493.733,36
495.753,41
497.773,46
498.783,44
499.793,44
500.803,42
501.813,38
502.823,52
503.833,45
504.843,50
505.853,40
507.873,39
508.883,53
510.903,53
512.923,55
513.933,55
515.953,56
516.963,62
518.983,65
521.003,48
523.023,57
524.033,65
525.043,74
