df_hash,22ZHK4.QEBF70
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.12ZE
person_label,v128
date_time_start,2026-04-07_17-29-37.024000_+03
date_time_start_unix,1775564977.024
date_time_end,2026-04-07_17-38-24.003000_+03
length_difference_noticed,no

time,rr_int
11.589,6330
12.417,710
13.685,780
13.831,1260
13.978,240
14.272,355
15.103,660
15.297,250
15.489,15
16.176,355
16.902,705
17.584,740
17.877,685
18.950,235
19.827,1120
20.218,915
20.803,330
21.192,670
21.485,360
22.021,335
22.704,535
22.996,660
22.999,315
23.288,15
23.535,265
23.730,200
23.824,20
24.949,370
25.238,710
25.503,565
25.775,330
27.189,345
27.432,1360
27.437,255
27.871,10
28.700,365
28.703,890
28.993,10
29.993,345
30.260,915
30.406,10
31.088,470
31.771,695
32.015,685
32.023,210
32.340,15
32.990,360
33.285,685
33.721,230
34.404,445
35.086,700
35.671,645
36.451,645
37.186,720
37.475,755
37.865,350
38.693,405
39.376,760
40.156,735
40.254,745
40.369,215
40.400,10
41.082,485
41.086,205
41.473,15
42.155,490
42.887,655
43.422,620
44.105,650
44.251,635
44.407,280
45.375,395
46.055,645
46.640,620
47.176,665
47.858,500
48.443,775
48.833,535
48.839,410
49.126,240
50.346,570
50.641,650
50.930,290
51.612,330
52.198,640
52.600,660
52.735,365
52.743,155
52.749,10
53.416,10
53.611,690
53.855,150
54.151,220
54.833,280
55.000,880
56.634,1320
56.780,330
56.886,215
57.028,15
57.320,10
57.999,450
59.267,725
59.559,1285
59.948,285
60.534,330
61.217,650
61.753,605
62.045,635
62.048,265
62.584,20
63.167,355
63.702,725
64.288,565
65.116,585
65.653,800
66.335,660
67.066,670
68.138,725
68.142,995
68.431,10
68.968,275
69.699,630
69.796,670
69.942,265
69.947,15
71.360,395
71.367,1045
71.373,10
71.650,25
71.893,280
72.480,295
73.160,425
73.453,745
73.843,290
74.823,395
75.257,1035
75.357,350
75.405,175
75.939,15
76.621,525
76.914,690
77.206,355
77.888,320
78.571,650
78.717,665
78.863,270
78.868,10
79.400,320
79.854,325
80.375,315
81.060,590
81.230,665
81.642,210
82.325,460
82.471,645
82.618,220
83.202,420
83.206,220
83.300,20
83.593,10
83.836,425
84.275,225
84.568,465
84.959,260
85.252,415
85.640,225
85.955,460
86.371,235
87.204,415
87.298,805
87.590,10
88.321,450
88.858,745
89.292,605
89.546,290
90.223,375
90.515,605
90.526,285
90.807,115
91.490,270
92.180,685
92.465,705
92.484,200
92.613,10
92.627,160
92.633,20
92.904,10
93.879,330
93.976,880
93.981,200
94.025,10
94.030,10
94.035,10
94.123,10
94.564,10
94.613,450
96.072,15
96.513,1555
97.194,415
98.172,710
98.182,715
98.327,275
98.463,160
98.466,10
98.469,10
98.472,10
98.615,205
99.826,650
100.512,685
100.801,700
100.804,195
100.853,10
100.865,15
101.240,10
101.923,475
102.605,635
103.291,680
103.580,720
104.018,245
104.701,435
105.238,675
106.164,655
106.651,680
107.333,695
108.016,675
108.601,650
108.848,660
109.299,255
109.966,395
110.555,665
111.261,650
111.919,650
112.599,725
113.577,620
113.866,630
114.161,640
114.256,275
114.406,15
115.134,380
115.825,650
117.035,645
118.449,1280
118.839,1460
119.425,340
119.960,620
120.643,595
121.227,595
121.764,645
122.495,550
123.033,635
123.568,600
124.350,595
124.981,705
124.997,590
125.127,110
125.131,20
125.278,20
125.285,10
125.375,10
126.103,370
126.639,600
127.175,600
127.467,615
127.470,275
127.906,15
128.442,310
129.125,650
129.808,640
130.539,700
131.075,655
131.757,630
132.489,665
133.025,680
133.716,665
134.394,665
134.536,655
134.540,215
134.693,10
134.704,10
135.121,35
135.267,405
135.803,170
136.486,555
137.074,685
137.754,665
138.436,680
139.119,655
139.269,650
139.276,225
139.738,10
140.240,370
141.752,635
142.482,1435
143.165,675
143.847,720
144.530,700
145.299,725
146.090,720
146.382,820
146.386,265
146.772,10
147.601,490
147.747,760
147.750,200
148.289,10
149.113,535
149.844,760
149.991,740
150.530,220
151.209,470
151.501,735
151.505,290
151.648,15
151.652,10
151.696,65
151.892,10
152.041,260
152.281,220
152.288,20
152.477,10
153.208,425
153.841,660
154.426,635
155.109,655
155.645,615
156.376,620
157.059,650
157.742,660
158.333,695
159.009,680
159.691,640
159.838,695
159.984,240
159.988,10
161.057,420
161.352,715
161.788,250
162.324,450
163.006,625
163.304,635
163.597,255
164.420,370
164.424,650
164.567,210
164.573,20
164.576,15
164.861,10
164.957,10
165.639,385
166.078,725
166.226,575
166.370,215
166.907,365
167.735,205
168.031,825
168.320,250
168.574,330
168.710,145
169.547,275
170.270,745
171.099,775
171.346,725
171.927,305
173.147,555
173.439,1300
173.442,290
173.877,10
174.568,345
175.100,665
175.828,690
176.072,655
177.122,290
177.485,990
178.168,355
178.606,825
179.463,325
179.705,935
180.007,265
180.557,270
181.239,575
181.775,610
182.360,580
183.043,600
183.441,640
184.167,510
184.700,605
184.846,590
184.852,180
185.033,15
185.090,25
185.096,10
185.101,10
185.237,25
185.822,300
186.358,585
186.650,590
187.040,265
187.627,330
188.162,555
188.308,600
188.747,195
189.286,400
189.576,545
189.580,15
189.965,290
191.087,335
191.392,1235
191.430,180
191.433,15
191.437,20
191.769,10
192.354,405
193.037,630
193.719,660
193.865,630
193.869,235
