df_hash,22ZHK4.QEBF70
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.12ZE
person_label,v128
date_time_start,2026-04-07_17-29-37.024000_+03
date_time_start_unix,1775564977.024
date_time_end,2026-04-07_17-38-24.003000_+03
length_difference_noticed,no

time,ppg_med
5.333,570
5.358,655
5.383,790
5.408,863
5.433,835
5.458,805
5.483,883
5.508,1026
5.533,1081
5.558,993
5.583,899
5.608,948
5.633,1081
5.658,1089
5.683,900
5.708,700
5.733,689
5.758,788
5.783,716
5.808,380
5.833,28
5.858,-71
5.883,-26
5.908,-204
5.933,-728
5.958,-1267
5.983,-1471
6.008,-1480
6.033,-1771
6.058,-2501
6.083,-3239
6.108,-3533
6.133,-3561
6.158,-3937
6.183,-4856
6.208,-5766
6.233,-6091
6.258,-6057
6.283,-6443
6.308,-7491
6.333,-8502
6.358,-8748
6.383,-8518
6.408,-8787
6.433,-9859
6.458,-10855
6.483,-10865
6.508,-10252
6.533,-10234
6.558,-11191
6.583,-12027
6.608,-11606
6.633,-10383
6.658,-9881
6.683,-10573
6.708,-11096
6.733,-10034
6.758,-7956
6.783,-6767
6.808,-7070
6.833,-7158
6.858,-5255
6.883,-2074
6.908,-24
6.933,119
6.958,512
6.983,3421
7.008,7945
7.033,10982
7.058,11505
7.083,12293
7.108,16329
7.133,22457
7.158,26550
7.183,27167
7.208,28040
7.233,32767
7.258,32767
7.283,32767
7.308,32767
7.333,32767
7.358,32767
7.383,32767
7.408,32767
7.433,32767
7.458,32767
7.483,32767
7.508,32767
7.533,32767
7.558,32767
7.583,15156
7.608,-32768
7.633,-32768
7.658,-32768
7.683,-32768
7.708,-32768
7.733,-32768
7.758,-32768
7.783,-32768
7.808,-32768
7.833,-32768
7.858,-32768
7.883,-32768
7.908,-32768
7.933,-32768
7.958,-29215
7.983,-26832
8.008,-26746
8.033,-24202
8.058,-18436
8.083,-13174
8.108,-11279
8.133,-11136
8.158,-9255
8.183,-5024
8.208,-1207
8.233,14
8.258,-155
8.283,970
8.308,3905
8.333,6550
8.358,7220
8.383,6838
8.408,7468
8.433,9467
8.458,11143
8.483,11174
8.508,10334
8.533,10312
8.558,11416
8.583,12298
8.608,11889
8.633,10803
8.658,10394
8.683,10911
8.708,11268
8.733,10605
8.758,9408
8.783,8764
8.808,8879
8.833,8895
8.858,8125
8.883,6953
8.908,6234
8.933,6135
8.958,5997
8.983,5309
9.008,4390
9.033,3889
9.058,3878
9.083,3781
9.108,3183
9.133,2365
9.158,1882
9.183,1819
9.208,1730
9.233,1284
9.258,688
9.283,366
9.308,378
9.333,371
9.358,86
9.383,-318
9.408,-513
9.433,-455
9.458,-415
9.483,-591
9.508,-859
9.533,-964
9.558,-873
9.583,-798
9.608,-901
9.633,-1083
9.658,-1123
9.683,-960
9.708,-743
9.733,-625
9.758,-595
9.783,-540
9.808,-417
9.833,-302
9.858,-265
9.883,-273
9.908,-241
9.933,-146
9.958,-49
9.983,-8
10.008,1
10.033,43
10.058,132
10.083,213
10.108,242
10.133,238
10.158,236
10.183,207
10.208,180
10.233,166
10.258,160
10.283,143
10.308,102
10.333,48
10.358,17
10.383,42
10.408,126
10.433,237
10.458,328
10.483,371
10.508,373
10.533,359
10.558,349
10.583,342
10.608,329
10.633,312
10.658,305
10.683,316
10.708,337
10.733,344
10.758,327
10.783,299
10.808,278
10.833,268
10.858,255
10.883,229
10.908,198
10.933,178
10.958,168
10.983,146
11.008,98
11.033,46
11.058,34
11.083,85
11.108,177
11.133,261
11.158,307
11.183,323
11.208,326
11.233,313
11.258,258
11.283,156
11.308,41
11.333,-34
11.358,-50
11.383,-29
11.408,-5
11.433,11
11.458,34
11.483,74
11.508,119
11.533,148
11.558,156
11.583,154
11.608,146
11.633,123
11.658,85
11.683,61
11.708,93
11.733,192
11.758,321
11.783,422
11.808,466
11.833,469
11.858,465
11.883,465
11.908,455
11.933,427
11.958,396
11.983,379
12.008,379
12.033,376
12.058,358
12.083,329
12.108,302
12.133,279
12.158,250
12.183,213
12.208,178
12.233,149
12.258,114
12.283,59
12.308,2
12.333,-11
12.358,52
12.383,173
12.408,286
12.433,341
12.458,341
12.483,326
12.508,327
12.533,335
12.558,327
12.583,298
12.608,272
12.633,265
12.658,271
12.683,269
12.708,256
12.733,247
12.758,248
12.783,245
12.808,219
12.833,174
12.858,134
12.883,115
12.908,99
12.933,57
12.958,-11
12.983,-62
13.008,-47
13.033,41
13.058,157
13.083,246
13.108,288
13.133,301
13.158,312
13.183,324
13.208,325
13.233,309
13.258,287
13.283,274
13.308,272
13.333,268
13.358,251
13.383,221
13.408,185
13.433,153
13.458,128
13.483,111
13.508,101
13.533,96
13.558,95
13.583,98
13.608,100
13.633,93
13.658,72
13.683,47
13.708,43
13.733,90
13.758,191
13.783,311
13.808,408
13.833,458
13.858,476
13.883,485
13.908,494
13.933,494
13.958,480
13.983,469
14.008,481
14.033,513
14.058,540
14.083,542
14.108,532
14.133,530
14.158,537
14.183,524
14.208,473
14.233,407
14.258,373
14.283,379
14.308,364
14.333,241
14.358,-7
14.383,-299
14.408,-503
14.433,-547
14.458,-462
14.483,-340
14.508,-248
14.533,-184
14.558,-115
14.583,-30
14.608,41
14.633,77
14.658,88
14.683,113
14.708,174
14.733,249
