df_hash,22ZHK4.A59L8C
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FQLE
person_label,V55
date_time_start,2025-10-31_14-37-37.768000_+03
date_time_start_unix,1761907057.768
date_time_end,2025-10-31_14-46-18.487000_+03
length_difference_noticed,no

time,battery
9.214,21
19.156,21
29.102,21
39.192,21
49.259,21
59.229,21
69.222,21
79.217,21
89.162,21
99.253,21
109.247,21
119.292,21
129.186,21
139.228,21
149.222,21
159.364,21
169.209,21
179.520,21
189.246,21
199.147,21
209.233,21
219.202,20
229.221,20
239.166,20
249.160,20
259.177,20
269.196,20
279.190,20
289.184,20
299.323,20
309.268,20
319.262,20
329.116,20
339.153,20
349.246,20
359.226,20
369.136,20
379.176,20
389.170,20
399.164,20
409.206,20
419.151,20
429.340,20
439.145,19
449.234,19
459.272,19
469.266,19
479.310,19
489.157,19
499.199,19
509.144,19
