df_hash,22ZHK4.A59L8C
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FQLE
person_label,V55
date_time_start,2025-10-31_14-37-37.768000_+03
date_time_start_unix,1761907057.768
date_time_end,2025-10-31_14-46-18.487000_+03
length_difference_noticed,no

time,rr_int
9.065,3820
9.069,265
9.162,10
9.165,45
9.211,15
9.216,15
9.220,10
9.308,15
9.311,20
9.357,40
9.408,40
9.555,185
9.558,10
10.089,720
10.771,550
10.918,255
11.356,495
11.359,15
11.503,20
11.697,265
13.160,700
13.988,745
14.823,840
15.793,925
16.624,905
17.206,875
17.209,550
17.499,235
18.522,710
18.871,305
19.572,420
20.277,675
21.155,710
21.936,850
22.804,860
23.597,850
24.525,850
24.617,775
24.714,265
25.250,15
25.835,410
26.372,710
27.205,610
27.693,605
28.321,695
28.325,655
28.907,10
29.933,625
30.275,605
30.566,665
30.905,10
31.393,605
32.080,605
32.660,625
33.343,645
34.025,670
34.708,670
35.439,675
36.134,710
36.804,715
37.535,695
38.412,695
39.341,880
39.958,800
40.704,775
41.388,740
42.117,730
42.125,680
42.800,10
43.970,720
44.604,980
45.432,760
46.554,825
47.239,850
48.117,920
49.093,870
49.820,840
50.746,825
51.331,810
51.478,740
51.624,195
51.631,25
51.972,15
52.794,430
52.800,765
53.525,10
54.354,860
55.329,830
56.158,870
56.450,890
56.987,245
57.864,595
58.790,855
58.793,870
59.767,10
60.447,870
61.325,870
62.154,895
62.251,875
63.375,10
63.868,845
64.787,825
65.469,910
66.152,700
67.126,685
67.565,795
67.857,640
67.861,200
67.906,15
67.910,10
68.394,25
68.397,560
68.930,10
69.202,600
69.206,130
69.905,35
69.909,585
70.199,230
70.344,435
71.709,715
71.907,630
72.443,145
72.587,500
73.124,215
73.269,495
73.805,195
74.585,535
74.588,770
75.365,10
75.804,735
75.807,295
76.050,10
76.125,10
76.730,405
76.974,720
76.977,135
77.022,70
77.315,330
77.319,10
78.164,690
78.290,260
78.294,10
78.390,15
79.265,345
80.099,705
80.923,790
81.898,900
82.727,885
83.409,825
84.238,820
85.018,765
85.652,740
86.334,675
87.163,710
87.991,785
88.869,880
88.873,880
89.112,10
89.795,245
90.532,525
90.926,800
91.209,225
92.086,605
92.870,825
93.695,820
94.427,800
95.304,775
96.084,795
96.328,825
96.947,235
97.842,580
98.619,820
98.622,835
98.756,10
99.399,200
99.691,640
100.130,250
100.379,545
101.008,195
101.837,595
102.470,845
103.299,740
104.079,720
104.956,765
106.419,875
107.150,1560
107.736,645
108.518,700
109.149,660
109.198,745
109.832,10
110.152,735
110.660,230
110.666,460
111.294,155
111.299,550
112.074,10
112.220,715
112.224,210
112.757,40
113.439,470
113.634,710
114.170,190
114.853,515
115.688,750
116.607,775
116.610,820
116.802,10
116.806,190
116.854,45
116.857,20
117.245,10
118.071,545
118.168,775
118.216,190
118.222,15
118.763,15
119.587,510
119.751,780
120.264,170
120.558,605
121.132,305
121.137,520
122.702,20
123.482,1550
124.457,805
125.139,830
125.968,815
126.797,825
127.630,835
128.503,865
129.332,855
130.211,820
130.989,800
132.061,850
132.065,855
132.696,215
132.793,635
133.475,205
134.159,615
135.133,785
135.718,775
136.890,755
137.375,795
138.309,835
138.399,840
139.033,220
139.861,595
140.596,805
141.324,775
141.421,730
141.616,175
141.630,15
141.958,15
142.000,10
142.640,470
143.420,700
143.664,730
143.722,255
143.761,15
143.766,10
143.769,10
143.772,20
143.862,15
144.054,15
144.058,350
144.980,10
145.565,750
145.809,730
145.859,225
146.055,20
146.303,10
146.345,525
147.175,10
148.100,830
149.075,880
149.660,815
150.489,780
151.123,770
151.269,770
151.561,155
151.565,80
151.568,10
151.854,20
152.397,390
153.073,645
153.902,650
154.730,780
154.736,770
155.510,10
155.706,820
156.516,235
157.265,680
158.289,960
159.218,885
160.288,885
161.021,915
161.702,900
162.530,825
163.264,780
164.042,760
164.926,805
165.809,855
166.674,835
167.259,830
168.088,815
168.091,790
168.380,10
168.385,210
168.389,20
169.014,25
169.212,575
169.809,235
170.625,585
170.818,835
171.452,200
172.329,630
172.334,795
172.963,10
173.792,760
173.939,740
174.042,200
174.426,10
174.474,505
175.206,10
176.083,785
176.765,730
176.771,730
176.863,10
177.448,200
178.287,510
178.330,855
179.408,10
180.081,875
180.958,885
180.961,910
181.884,10
182.762,950
182.962,895
183.639,240
184.520,635
184.565,865
184.748,10
185.199,250
186.028,540
186.710,740
186.714,735
187.539,10
188.420,815
189.099,835
189.928,805
190.126,780
190.854,200
190.857,595
191.439,10
192.367,780
192.564,840
193.243,230
194.121,640
194.127,845
194.280,10
194.803,215
195.535,520
196.314,755
197.143,735
197.923,835
197.972,825
198.849,10
198.853,790
199.583,10
200.312,795
200.315,770
200.629,10
201.092,185
201.336,585
201.872,235
202.751,590
203.630,895
204.261,805
205.091,765
206.123,805
206.600,745
206.604,710
206.898,10
207.332,205
208.070,500
208.998,795
209.672,800
210.505,790
211.381,815
211.628,875
212.229,215
212.946,645
213.572,740
214.406,700
214.452,660
214.992,10
215.668,675
216.497,715
217.367,815
217.618,800
218.061,225
218.986,575
219.275,850
219.330,320
219.883,10
220.060,570
220.592,225
220.651,520
221.226,10
221.908,745
221.957,655
222.130,10
222.134,145
222.137,10
222.152,10
222.200,145
223.615,525
