df_hash,22ZHK4.A59L8C
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FQLE
person_label,V55
date_time_start,2025-10-31_14-37-37.768000_+03
date_time_start_unix,1761907057.768
date_time_end,2025-10-31_14-46-18.487000_+03
length_difference_noticed,no

time,omega
62.305,0.535
88.925,0.512
98.676,0.503
102.523,0.515
116.762,0.528
128.756,0.535
132.120,0.528
137.525,0.526
138.451,0.525
143.721,0.526
148.202,0.526
150.639,0.525
155.733,0.525
164.097,0.525
168.145,0.526
172.389,0.525
174.039,0.525
176.838,0.525
178.526,0.537
181.016,0.551
183.112,0.557
184.713,0.561
192.620,0.562
194.176,0.561
198.125,0.561
198.906,0.561
200.368,0.561
205.103,0.561
206.657,0.564
209.821,0.561
210.568,0.562
214.473,0.570
217.475,0.562
219.329,0.562
220.302,0.570
240.988,0.575
245.023,0.575
246.454,0.575
256.726,0.576
264.429,0.576
350.478,0.725
351.840,0.725
356.902,0.746
359.072,0.751
359.668,0.751
390.892,0.764
396.446,0.764
397.170,0.764
398.101,0.761
398.390,0.761
436.764,0.757
438.850,0.761
448.356,0.761
454.751,0.757
456.208,0.754
457.035,0.754
457.867,0.748
459.425,0.746
460.494,0.746
462.786,0.741
470.694,0.736
471.219,0.736
472.055,0.709
478.389,0.668
480.054,0.628
486.187,0.598
506.468,0.598
507.944,0.598
509.832,0.598
