df_hash,22ZHK4.A59L8C
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FQLE
person_label,V55
date_time_start,2025-10-31_14-37-37.768000_+03
date_time_start_unix,1761907057.768
date_time_end,2025-10-31_14-46-18.487000_+03
length_difference_noticed,no

time,perfusion_ir
62.300,0.140
88.921,0.140
98.671,0.140
102.519,0.140
116.759,0.140
128.749,0.140
132.117,0.140
137.521,0.140
138.448,0.140
143.717,0.140
148.198,0.140
150.635,0.140
155.726,0.140
164.090,0.140
168.140,0.140
172.383,0.140
174.011,0.140
176.828,0.140
178.521,0.140
180.968,0.140
183.109,0.140
184.572,0.140
192.612,0.140
194.172,0.140
198.120,0.140
198.902,0.130
200.364,0.130
205.100,0.130
206.653,0.130
209.818,0.130
210.565,0.130
214.469,0.130
217.387,0.120
219.324,0.120
220.067,0.120
240.985,0.120
245.015,0.130
246.449,0.130
256.723,0.130
264.423,0.130
350.464,0.150
351.837,0.160
356.899,0.170
359.065,0.180
359.650,0.180
390.887,0.190
396.440,0.190
397.168,0.190
398.097,0.190
398.386,0.190
436.753,0.190
438.846,0.190
448.353,0.190
454.745,0.190
456.204,0.190
457.030,0.190
457.861,0.190
459.421,0.190
460.397,0.190
462.782,0.190
470.690,0.190
471.216,0.190
472.045,0.190
478.385,0.190
480.040,0.190
486.183,0.190
506.463,0.190
507.936,0.190
509.829,0.190
