df_hash,22ZHK4.A59L8C
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FQLE
person_label,V55
date_time_start,2025-10-31_14-37-37.768000_+03
date_time_start_unix,1761907057.768
date_time_end,2025-10-31_14-46-18.487000_+03
length_difference_noticed,no

time,heart_rate
17.937,71
18.864,71
20.131,71
20.960,71
21.838,71
23.007,71
23.934,71
24.811,71
25.981,72
27.078,71
27.855,71
28.955,71
29.979,81
30.759,87
31.977,87
32.855,90
33.732,91
34.951,92
35.832,92
36.706,91
37.925,90
38.805,89
39.729,87
40.899,85
41.776,83
42.751,82
44.067,82
45.042,81
45.871,80
47.139,80
47.967,77
48.943,75
50.015,74
51.139,72
51.838,71
53.108,73
53.817,75
54.744,76
56.012,77
56.742,76
57.815,73
58.937,72
59.911,71
60.740,70
62.008,70
62.836,70
63.860,70
64.835,70
65.907,70
66.736,71
67.968,70
68.832,75
69.808,78
70.880,81
71.855,83
72.684,84
73.951,85
74.829,86
75.657,86
76.877,85
77.705,85
78.680,85
79.802,85
80.776,86
81.605,85
82.876,85
83.701,85
84.530,80
85.797,79
86.772,78
87.455,79
88.821,79
89.697,79
90.694,78
91.745,77
92.720,76
93.493,75
94.816,75
95.645,75
96.474,75
97.741,75
98.570,75
99.545,75
100.666,74
101.519,74
102.372,74
103.739,74
104.450,75
105.395,76
106.662,78
107.638,78
108.418,77
109.760,77
110.457,79
111.391,80
112.610,82
113.536,82
114.316,82
115.608,83
116.413,83
117.290,82
118.752,81
119.442,80
120.459,79
121.535,79
122.360,79
123.335,79
124.603,79
125.334,78
126.260,77
127.579,77
128.394,75
129.283,73
130.453,72
131.526,72
132.256,72
133.426,72
134.304,72
135.181,73
136.546,74
137.278,75
138.058,76
139.350,76
140.251,75
141.178,75
142.445,75
143.225,76
144.300,79
145.517,81
146.272,81
147.245,82
148.320,81
149.226,80
150.098,79
151.272,78
152.149,77
153.076,77
154.294,77
155.263,79
156.046,80
157.269,79
158.117,79
159.069,76
160.291,74
161.068,72
162.043,70
163.213,69
164.101,70
165.065,72
166.162,73
167.064,74
168.039,74
169.152,74
170.122,74
171.061,74
172.158,74
173.060,74
174.112,74
175.108,75
176.088,76
177.012,78
178.130,80
179.056,79
179.934,79
181.077,78
181.981,76
182.908,74
184.078,70
185.053,68
185.784,68
187.100,69
187.978,72
188.953,74
190.075,75
191.050,76
191.878,76
193.048,76
193.974,75
194.949,75
196.070,74
196.899,75
197.874,76
199.081,76
199.824,76
200.848,76
202.018,76
202.996,76
203.823,75
204.943,75
206.113,75
206.837,75
208.051,76
208.848,78
209.823,79
210.939,79
211.914,78
212.746,77
213.864,76
214.841,76
215.814,76
216.959,79
217.910,81
218.739,81
220.027,80
220.859,78
221.713,77
222.883,76
223.760,76
224.735,78
225.808,78
226.832,77
227.612,76
228.883,75
229.708,75
230.780,75
231.902,75
232.779,76
233.608,75
234.875,75
235.704,75
236.533,75
237.800,75
238.775,75
239.462,75
240.872,75
241.700,78
242.529,77
243.748,77
244.723,78
245.600,79
246.722,79
247.648,79
248.477,78
249.744,77
250.622,77
251.450,77
252.669,77
253.647,77
254.360,77
255.741,77
256.423,80
257.398,81
258.666,81
259.640,80
260.378,74
261.695,77
262.443,76
263.346,66
264.625,61
265.426,59
266.359,59
267.541,60
268.465,61
269.244,60
270.490,60
271.390,60
272.414,60
273.445,60
274.363,72
275.240,67
276.606,65
277.337,65
278.292,66
279.677,73
280.400,70
281.286,77
282.457,80
283.284,82
284.211,82
285.381,75
286.258,73
287.282,75
288.354,69
289.306,71
290.256,71
291.328,71
292.303,70
293.181,76
294.351,74
295.257,73
296.154,73
297.471,73
298.348,73
299.165,73
300.298,73
301.224,73
302.085,73
303.321,73
304.152,73
305.076,72
306.343,74
307.074,76
308.063,78
309.272,78
310.352,79
311.023,78
312.252,78
313.095,78
314.046,78
315.264,78
316.142,78
317.068,75
318.212,76
319.213,76
320.042,70
321.187,67
322.089,65
323.065,68
324.332,71
325.067,74
325.989,77
327.257,79
328.039,77
329.061,76
330.182,76
331.060,73
331.986,70
333.133,68
334.033,65
335.008,63
336.106,64
337.056,64
337.936,64
339.055,63
340.029,63
340.861,63
342.028,63
343.052,73
343.836,78
345.089,81
346.026,77
346.708,78
348.048,77
348.951,77
349.928,77
351.050,77
352.024,77
352.851,77
354.021,71
354.849,73
355.961,65
357.017,63
358.116,62
358.847,62
360.018,67
360.895,70
361.870,72
362.992,69
364.015,69
364.843,69
366.014,65
366.891,66
367.719,66
368.987,71
369.816,73
370.791,74
371.864,74
372.889,73
373.716,73
375.132,75
375.861,76
376.787,75
377.787,74
378.884,70
379.712,68
380.931,69
381.760,69
382.735,69
383.905,68
384.880,68
385.660,73
386.967,75
387.778,76
388.585,77
389.860,78
390.681,79
391.510,79
392.777,80
393.752,79
394.484,79
395.900,79
396.677,79
397.652,79
398.774,79
399.850,78
400.577,78
401.796,78
402.673,78
403.600,73
404.721,68
405.626,71
406.429,71
407.792,62
408.572,65
409.450,66
410.766,66
411.498,65
412.375,65
413.642,65
414.617,65
415.397,65
416.762,65
417.542,65
418.398,65
419.638,65
420.662,65
421.372,65
422.661,65
423.539,65
424.465,61
425.586,59
426.464,58
427.387,56
428.511,57
429.491,56
430.294,56
431.631,56
432.362,56
