df_hash,22ZHK4.A59L8C
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FQLE
person_label,V55
date_time_start,2025-10-31_14-37-37.768000_+03
date_time_start_unix,1761907057.768
date_time_end,2025-10-31_14-46-18.487000_+03
length_difference_noticed,no

time,temperature
5.215,31.891
6.189,31.906
7.164,31.938
8.285,31.984
9.360,32.031
10.187,32.031
11.210,32.031
12.185,32.062
13.309,32.062
14.184,32.094
15.162,32.156
16.290,32.188
17.158,32.156
18.279,32.156
19.569,32.156
20.180,32.188
21.204,32.188
22.183,32.219
23.203,32.312
24.177,32.344
25.254,32.375
26.225,32.406
27.231,32.500
28.195,32.531
29.199,32.625
30.271,32.688
31.246,32.750
32.219,32.781
33.198,32.750
34.172,32.750
35.244,32.781
36.215,32.781
37.194,32.781
38.170,32.812
39.223,32.781
40.465,32.781
41.196,32.781
42.217,32.781
43.580,32.844
44.458,32.875
45.482,33.000
46.557,33.031
47.432,33.031
48.653,33.062
49.479,33.062
50.503,33.094
51.575,33.125
52.502,33.156
53.408,33.156
54.598,33.188
55.475,33.062
56.402,33.062
57.523,33.094
58.498,33.125
59.573,33.156
60.594,33.125
61.423,33.188
62.371,33.188
63.519,33.219
64.445,33.250
65.664,33.250
66.590,33.312
67.467,33.344
68.540,33.344
69.666,33.344
70.393,33.375
71.612,33.375
72.489,33.375
73.418,33.375
74.537,33.406
75.511,33.406
76.340,33.438
77.559,33.438
78.393,33.438
79.363,33.500
80.484,33.469
81.414,33.469
82.678,33.500
83.507,33.438
84.384,33.469
85.506,33.469
86.480,33.469
87.309,33.438
88.577,33.469
89.405,33.438
90.526,33.469
91.550,33.500
92.512,33.500
93.551,33.562
94.524,33.531
95.451,33.594
96.380,33.625
97.547,33.688
98.424,33.719
99.302,33.781
100.520,33.781
101.349,33.781
102.616,33.812
103.445,33.844
104.274,33.844
105.542,33.812
106.468,33.844
107.346,33.812
108.613,33.812
109.491,33.781
110.619,33.781
111.538,33.750
112.444,33.781
113.586,33.781
114.560,33.781
115.389,33.781
116.510,33.781
117.535,33.812
118.512,33.781
119.338,33.812
120.467,33.844
121.337,33.938
122.511,33.938
123.434,33.969
124.612,33.969
125.535,34.000
126.407,33.969
127.576,33.938
128.461,33.969
129.478,33.969
130.600,34.000
131.534,33.938
132.354,33.938
133.573,33.938
134.451,33.969
135.574,33.969
136.556,33.969
137.526,34.031
138.453,34.000
139.521,34.000
140.448,34.031
141.568,34.031
142.548,33.969
143.521,33.938
144.597,33.938
145.526,33.969
146.350,33.938
147.516,33.938
148.490,34.000
149.614,34.000
150.886,34.000
151.422,34.000
152.390,34.094
153.597,34.094
154.443,34.125
155.608,34.094
156.534,34.125
157.417,34.156
158.484,34.156
159.459,34.156
160.729,34.125
161.556,34.156
162.534,34.156
163.703,34.156
164.530,34.188
165.459,34.219
166.333,34.219
167.552,34.250
168.430,34.219
169.356,34.281
170.526,34.312
171.403,34.344
172.573,34.344
173.500,34.312
174.401,34.344
175.596,34.344
176.425,34.344
177.343,34.312
178.559,34.281
179.544,34.281
180.324,34.250
181.591,34.188
182.592,34.188
183.542,34.219
184.517,34.188
185.444,34.156
186.613,34.156
187.491,34.156
188.417,34.188
189.295,34.219
190.465,34.250
191.391,34.219
192.560,34.250
193.487,34.250
194.285,34.281
195.486,34.281
196.461,34.312
197.582,34.312
198.626,34.344
199.396,34.312
200.625,34.344
201.482,34.375
202.408,34.375
203.578,34.406
204.505,34.375
205.382,34.375
206.503,34.344
207.478,34.469
208.334,34.469
209.282,34.438
210.500,34.438
211.378,34.438
212.743,34.469
213.426,34.469
214.595,34.500
215.522,34.531
216.448,34.594
217.476,34.406
218.499,34.406
219.425,34.438
220.543,34.469
221.567,34.469
222.211,34.438
223.566,34.406
224.443,34.375
225.370,34.375
226.681,34.375
227.466,34.406
228.589,34.438
229.465,34.469
230.440,34.438
231.512,34.469
232.487,34.469
233.422,34.562
234.583,34.562
235.527,34.562
236.387,34.562
237.508,34.562
238.484,34.562
239.390,34.500
240.580,34.500
241.561,34.469
242.332,34.469
243.505,34.438
244.431,34.469
245.455,34.469
246.527,34.438
247.438,34.438
248.384,34.406
249.454,34.531
250.428,34.531
251.549,34.562
252.483,34.562
253.352,34.594
254.473,34.562
255.449,34.594
256.326,34.594
257.545,34.594
258.520,34.656
259.251,34.562
260.524,34.594
261.493,34.594
262.566,34.594
263.542,34.562
264.615,34.594
265.593,34.594
266.515,34.625
267.393,34.594
268.514,34.594
269.342,34.625
270.317,34.594
271.594,34.562
272.421,34.562
273.286,34.531
274.510,34.531
275.478,34.531
276.460,34.500
277.532,34.500
278.411,34.562
279.336,34.531
280.513,34.531
281.384,34.562
282.560,34.531
283.486,34.562
284.416,34.594
285.479,34.594
286.513,34.625
287.334,34.625
288.549,34.562
289.379,34.594
290.358,34.594
291.475,34.625
292.499,34.656
293.619,34.688
294.547,34.625
295.379,34.656
296.353,34.625
297.480,34.656
298.402,34.656
299.326,34.688
300.494,34.688
301.371,34.656
302.494,34.688
303.467,34.688
304.542,34.688
305.876,34.688
306.441,34.750
307.367,34.719
308.537,34.750
309.422,34.719
310.536,34.750
311.511,34.719
312.437,34.688
313.315,34.625
314.491,34.625
315.824,34.625
316.556,34.594
317.508,34.594
318.224,34.562
