Time_sec,Conductance_microS,Stage,HeartRate_BPM,RR_Interval_ms,Conductance_microS_Normalized,RR_Interval_ms_Normalized
1,16182.853295961731,Calibration,,,0.1307249397906181,
2,15673.981191222572,Calibration,,,0.11378705712035025,
3,16677.53486021724,Calibration,,,0.14719048823878716,
4,17318.20645726646,Calibration,,,0.16851533634881516,
5,19312.811539791153,Calibration,,,0.2349060591781607,
6,20132.431131986203,Calibration,,,0.26218721756267965,
7,19760.19033015326,Calibration,,,0.24979712785681013,
8,19270.90459553262,Calibration,,,0.23351118038973823,
9,17819.308646463134,Calibration,,,0.18519459624021412,
10,18221.906375845043,Calibration,,,0.1985951207336572,
11,18339.10098059173,Calibration,,,0.20249596034797507,
12,18757.010432649204,Calibration,,,0.21640613777727963,
13,18477.047811208915,Calibration,,,0.2070875408452531,
14,17391.304347826088,Calibration,,,0.17094841036134661,
15,17800.40406917237,Calibration,,,0.18456535461132567,
16,16712.31915181638,Calibration,,,0.14834828848837361,
17,16940.79699673551,Calibration,,,0.15595320707981336,
18,17137.167603212878,Calibration,,,0.1624894315287993,
19,17895.106046398432,Calibration,,,0.18771752381839907,
20,17520.161325645484,Normal,,,0.17523743377454587,
21,17209.304726879727,Normal,,,0.16489052627433648,
22,17391.304347826088,Normal,,,0.17094841036134661,
23,16677.53486021724,Normal,,,0.14719048823878716,
24,15770.930390267442,Normal,,,0.11701402543538525,
25,15690.089355058879,Normal,,,0.11432321971710463,
26,16870.091857650168,Normal,,,0.15359977615117887,
27,16712.31915181638,Normal,,,0.14834828848837361,
28,16677.53486021724,Normal,,,0.14719048823878716,
29,16677.53486021724,Normal,,,0.14719048823878716,
30,15950.566005834717,Normal,,,0.12299322325649481,
31,15246.598483878248,Normal,,,0.09956156099886365,
32,15852.28209453033,Normal,,,0.11972182884806676,
33,14923.925290829993,Normal,,,0.08882133642417706,
34,14803.147741335715,Normal,,,0.08480123796822975,
35,15690.089355058879,Normal,,,0.11432321971710463,
36,15625.781289064455,Normal,,,0.11218271630490889,
37,15561.804484600816,Normal,,,0.11005323898136948,
38,15262.189147362542,Normal,,,0.10008049852047135,
39,14683.554712393216,Normal,,,0.08082056645264662,
40,14653.818198869896,Normal,,,0.07983078223694667,
41,14389.524426217713,Normal,,,0.07103372523583684,
42,14506.292829829581,Normal,,,0.07492037868284801,
43,14216.439606432086,Normal,,,0.06527257161348188,
44,14893.607514718607,Normal,,,0.08781220479794782,
45,14462.36170366621,Normal,,,0.073458124702726,
46,14923.925290829993,Normal,,,0.08882133642417706,
47,14302.6731696154,Normal,,,0.06814286841661826,
48,14579.831136395778,Normal,,,0.07736811200677801,
49,14130.820308249713,Normal,,,0.0624227207110295,
50,14360.491416016257,Normal,,,0.07006735723142632,
51,14404.053876923123,Normal,,,0.07151734013439331,
52,14003.523286458872,Normal,,,0.05818562066312455,
53,14506.292829829581,Normal,,,0.07492037868284801,
54,14609.374543457045,Normal,,,0.07835146864555509,
55,14116.597448283846,Normal,,,0.061949310730223084,
56,13656.836475771406,Normal,,,0.046646099301929755,
57,13670.521297988658,Normal,,,0.04710160061733021,
58,13752.907020721505,Normal,,,0.049843821486500184,
59,14375.003593750898,Normal,,,0.07055039719661643,
60,13306.773014396598,Normal,,,0.03499418562716933,
61,13849.744125977271,Normal,,,0.05306705874331802,
62,14045.792091376305,Normal,,,0.05959254403667219,
63,13399.993836002834,Normal,,,0.03809705435211491,
64,13399.993836002834,Normal,,,0.03809705435211491,
65,13253.828036882753,Normal,,,0.033231904282293556,
66,13697.917094726576,Normal,,,0.04801347373138748,
67,13919.39556416702,Normal,,,0.05538541708303896,
68,13877.555551854872,Normal,,,0.05399276613427262,
69,13670.521297988658,Normal,,,0.04710160061733021,
70,13548.024359347799,Normal,,,0.04302427204136239,
71,13005.62623390879,Normal,,,0.024970470853010074,
72,12992.6994022059,Normal,,,0.024540199363095982,
73,13766.690391263108,Normal,,,0.05030260299733619,
74,13493.983707364072,Normal,,,0.041225521010994304,
75,13697.917094726576,Normal,,,0.04801347373138748,
76,13739.132346314065,Normal,,,0.049385329427765856,
77,13031.489290722102,Normal,,,0.025831326493786277,
78,13214.2814668381,Normal,,,0.03191559089590501,
79,13122.532963802803,Normal,,,0.028861728510618356,
80,12813.366904354623,Normal,,,0.01857109085963815,
81,13440.191818417632,Normal,,,0.039435050094821955,
82,13615.90882787449,Normal,,,0.04528381653659064,
83,13575.133613252587,Normal,,,0.04392660753517602,
84,13520.968317667039,Normal,,,0.04212370772423302,
85,13711.646809916812,Normal,,,0.04847046931598065,
86,14273.866976124104,Normal,,,0.06718405003968497,
87,13766.690391263108,Normal,,,0.05030260299733619,
88,13821.986634138924,Normal,,,0.05214314655477348,
89,13493.983707364072,Normal,,,0.041225521010994304,
90,14116.597448283846,Normal,,,0.061949310730223084,
91,15340.340801011234,Normal,,,0.10268178777893339,
92,15418.987866798449,Normal,,,0.10529956690311532,
93,15184.506943875025,Normal,,,0.09749483497950379,
94,15293.396158604754,Normal,,,0.10111922846850269,
95,15482.272797646694,Normal,,,0.1074060151118515,
96,14893.607514718607,Normal,,,0.08781220479794782,
97,14346.008510052248,Normal,,,0.06958529158141658,
98,14954.299660238312,Normal,,,0.08983235176659826,
99,15246.598483878248,Normal,,,0.09956156099886365,
100,14878.494772440861,Normal,,,0.0873091749538229,
101,15015.2630148546,Normal,,,0.0918615259698215,
102,14579.831136395778,Normal,,,0.07736811200677801,
103,14923.925290829993,Normal,,,0.08882133642417706,
