Time_sec,Conductance_microS,Stage,HeartRate_BPM,RR_Interval_ms,Conductance_microS_Normalized,RR_Interval_ms_Normalized
1,0.001,Calibration,,,0.0,
2,0.001,Calibration,,,0.0,
3,0.001,Calibration,,,0.0,
4,0.001,Calibration,,,0.0,
5,0.001,Calibration,,,0.0,
6,0.001,Calibration,,,0.0,
7,0.001,Calibration,,,0.0,
8,0.001,Calibration,,,0.0,
9,0.001,Calibration,,,0.0,
10,0.001,Calibration,,,0.0,
11,0.001,Calibration,,,0.0,
12,0.001,Calibration,,,0.0,
13,0.001,Calibration,,,0.0,
14,0.001,Calibration,,,0.0,
15,0.001,Calibration,,,0.0,
16,0.001,Calibration,,,0.0,
17,0.001,Calibration,,,0.0,
18,0.001,Calibration,,,0.0,
19,0.001,Calibration,,,0.0,
20,0.001,Normal,,,0.0,
21,0.001,Normal,,,0.0,
22,0.001,Normal,,,0.0,
23,0.001,Normal,,,0.0,
24,0.001,Normal,,,0.0,
25,0.001,Normal,,,0.0,
26,0.001,Normal,,,0.0,
27,0.001,Normal,,,0.0,
28,0.001,Normal,,,0.0,
29,0.001,Normal,,,0.0,
30,0.001,Normal,,,0.0,
31,0.001,Normal,,,0.0,
32,0.001,Normal,,,0.0,
33,0.001,Normal,,,0.0,
34,0.001,Normal,,,0.0,
35,0.001,Normal,,,0.0,
36,0.001,Normal,,,0.0,
37,0.001,Normal,,,0.0,
38,0.001,Normal,,,0.0,
39,0.001,Normal,,,0.0,
40,0.001,Normal,,,0.0,
41,0.001,Normal,,,0.0,
42,0.001,Normal,,,0.0,
43,0.001,Normal,,,0.0,
44,0.001,Normal,,,0.0,
45,0.001,Normal,,,0.0,
46,0.001,Normal,,,0.0,
47,65.18756090962722,Normal,,,0.8221315411862685,
48,67.34777718661397,Normal,,,0.8493761436367175,
49,57.25806036030207,Normal,,,0.7221248463018439,
50,67.55318969273432,Normal,,,0.8519668018625716,
51,66.05840091107746,Normal,,,0.8331145570491777,
52,70.55395437275772,Normal,,,0.8898123831710435,
53,69.42491868606399,Normal,,,0.8755730087324585,
54,70.98118714615879,Normal,,,0.8952006339629277,
55,72.56636012217272,Normal,,,0.9151928023429088,
56,71.77014605942423,Normal,,,0.9051509672562396,
57,69.77612330836511,Normal,,,0.8800023940746989,
58,68.03447715164137,Normal,,,0.8580367892161526,
59,67.41619997802232,Normal,,,0.8502390904491871,
60,67.34777718661397,Normal,,,0.8493761436367175,
61,67.48467085701483,Normal,,,0.8511026437412612,
62,67.8278799717836,Normal,,,0.8554311899099294,
63,68.17250643718891,Normal,,,0.8597776116751463,
64,67.41619997802232,Normal,,,0.8502390904491871,
65,68.2415916122895,Normal,,,0.860648912456872,
66,68.51849314129883,Normal,,,0.8641411887424224,
67,68.51849314129883,Normal,,,0.8641411887424224,
68,69.28484871999706,Normal,,,0.873806449253486,
69,69.42491868606399,Normal,,,0.8755730087324585,
70,67.48467085701483,Normal,,,0.8511026437412612,
71,67.34777718661397,Normal,,,0.8493761436367175,
72,66.87044319723637,Normal,,,0.8433560173580564,
73,66.59886901800634,Normal,,,0.8399309294963679,
74,66.59886901800634,Normal,,,0.8399309294963679,
75,66.734513421979,Normal,,,0.8416416738788787,
76,67.34777718661397,Normal,,,0.8493761436367175,
77,67.62175635340212,Normal,,,0.8528315631511286,
78,67.55318969273432,Normal,,,0.8519668018625716,
79,66.93843671974884,Normal,,,0.8442135502402,
80,66.2606654823677,Normal,,,0.8356655135868721,
81,66.66666666666667,Normal,,,0.8407859920215899,
82,67.14284371428839,Normal,,,0.8467915269750523,
83,67.34777718661397,Normal,,,0.8493761436367175,
84,68.3799490842899,Normal,,,0.862393873996537,
85,68.86597029397507,Normal,,,0.8685235633158069,
86,69.07513233068477,Normal,,,0.8711615105429386,
87,69.49502137666856,Normal,,,0.8764571423984137,
88,69.56521739130434,Normal,,,0.8773424530650963,
89,69.91701549430981,Normal,,,0.8817793233735524,
90,69.35486108221325,Normal,,,0.8746894436996985,
91,69.91701549430981,Normal,,,0.8817793233735524,
92,69.91701549430981,Normal,,,0.8817793233735524,
93,69.98752822247076,Normal,,,0.8826686284245825,
94,70.90986576053312,Normal,,,0.894301130140886,
95,71.12410943724471,Normal,,,0.897003166905312,
96,71.8422287183562,Normal,,,0.9060600722412793,
97,72.05882882785507,Normal,,,0.9087918282866748,
98,72.34848238205932,Normal,,,0.9124449328469563,
99,72.71193711871678,Normal,,,0.9170288163749415,
100,72.56636012217272,Normal,,,0.9151928023429088,
101,73.2966410348313,Normal,,,0.9244030899212835,
102,73.2966410348313,Normal,,,0.9244030899212835,
103,74.18122473202033,Normal,,,0.9355594409870576,
104,74.32949223293971,Normal,,,0.9374293876039329,
105,75.14971702374055,Normal,,,0.9477740454900139,
106,75.5250501486333,Normal,,,0.9525077390016893,
107,76.12905092196087,Normal,,,0.9601253841071262,
108,76.12905092196087,Normal,,,0.9601253841071262,
109,76.43255629448852,Normal,,,0.9639531875100454,
110,73.44343973818883,Normal,,,0.9262545120940653,
111,71.12410943724471,Normal,,,0.897003166905312,
112,70.55395437275772,Normal,,,0.8898123831710435,
113,70.34109805267704,Normal,,,0.8871278437193952,
114,70.76730154371792,Normal,,,0.8925031132237059,
115,71.12410943724471,Normal,,,0.897003166905312,
