df_hash,22ZHK4.DV5PWR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.EPNQ
person_label,V74 (2)
date_time_start,2025-11-03_13-31-17.499000_+03
date_time_start_unix,1762162277.499
date_time_end,2025-11-03_13-39-35.191000_+03
length_difference_noticed,no

time,battery
6.197,21
16.093,21
26.111,21
36.134,21
46.126,21
56.121,21
66.110,21
76.225,21
86.098,21
96.188,21
106.085,21
116.128,21
126.127,21
136.124,21
146.115,20
156.102,20
166.096,20
176.090,20
186.084,20
196.178,20
206.178,20
216.070,20
226.107,20
236.106,20
246.097,20
256.191,20
266.087,20
276.173,20
286.070,20
296.161,20
306.155,20
316.248,20
326.094,20
336.087,20
346.081,20
356.123,20
366.135,20
376.062,20
386.056,20
396.146,20
406.143,20
416.037,20
426.079,20
436.219,19
446.073,19
456.071,19
466.100,19
476.048,19
486.042,19
