df_hash,22ZHK4.DV5PWR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.EPNQ
person_label,V74 (2)
date_time_start,2025-11-03_13-31-17.499000_+03
date_time_start_unix,1762162277.499
date_time_end,2025-11-03_13-39-35.191000_+03
length_difference_noticed,no

time,temperature
384.156,34.094
385.179,34.062
386.176,34.031
387.177,34.031
388.152,34.031
389.178,34.031
390.161,34.031
391.174,34.031
392.149,34.000
393.468,34.000
394.154,33.969
395.216,34.000
396.446,34.062
397.268,34.062
398.146,34.031
399.177,34.031
400.144,34.031
401.168,34.031
402.143,34.000
403.167,34.000
404.142,33.969
405.167,33.969
406.150,33.969
407.459,33.938
408.193,33.969
409.213,34.000
410.485,33.938
411.162,33.906
412.186,33.969
413.407,34.000
414.184,34.031
415.159,34.000
416.183,34.000
417.159,34.031
418.181,34.125
419.169,34.125
420.181,34.156
421.157,34.188
422.184,34.188
423.255,34.188
424.178,34.125
425.153,34.125
426.177,34.094
427.200,34.094
428.176,33.969
429.201,33.969
430.174,33.969
431.152,33.969
432.196,33.969
433.589,33.906
434.172,33.969
435.146,34.000
436.265,34.062
437.146,34.031
438.170,34.094
439.151,34.094
440.168,34.125
441.289,34.094
442.167,34.125
443.142,34.188
444.189,34.156
445.141,34.156
446.196,34.125
447.139,34.156
448.163,34.125
449.138,34.125
450.211,34.094
451.137,34.125
452.161,34.125
453.146,34.125
454.281,34.094
455.158,34.094
456.172,34.094
457.182,34.031
458.164,34.062
459.183,34.062
460.156,34.094
461.179,34.031
462.154,34.000
463.178,34.000
464.153,34.000
465.180,34.094
466.152,34.094
467.176,34.125
468.151,34.125
469.174,34.156
470.149,34.125
471.183,34.156
472.148,34.125
473.172,34.188
474.147,34.188
475.191,34.094
476.294,34.094
477.169,34.094
478.163,34.094
479.168,34.094
480.145,34.062
481.167,34.000
482.142,33.969
483.165,33.875
484.149,33.781
485.164,33.750
486.285,33.688
487.166,33.594
488.235,33.500
489.165,33.375
490.137,33.312
491.407,33.219
492.136,33.156
