df_hash,22ZHK4.34VB5M
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FPTK
person_label,V77
date_time_start,2025-11-03_14-11-39.549000_+03
date_time_start_unix,1762164699.549
date_time_end,2025-11-03_14-19-57.483000_+03
length_difference_noticed,no

time,rr_int
11.272,4390
13.076,2030
13.661,1915
14.099,470
14.635,520
15.027,500
15.660,500
16.001,500
16.586,465
16.976,495
17.561,495
17.707,495
18.097,165
18.536,345
19.072,510
19.511,510
20.047,485
20.486,480
21.022,510
21.461,490
22.000,490
22.436,490
23.000,505
23.508,495
23.947,500
24.483,480
24.922,515
25.214,505
25.218,260
25.499,10
26.043,265
26.189,510
26.192,240
26.287,10
26.482,205
27.408,520
27.995,460
28.383,525
28.968,435
29.358,520
29.846,470
30.333,485
30.918,520
31.337,510
31.893,520
32.429,525
32.994,530
33.429,535
33.940,500
34.428,490
34.976,500
35.501,495
36.037,525
36.475,540
36.720,490
37.015,225
37.451,285
38.022,515
38.572,490
38.962,505
39.547,520
39.937,470
40.260,525
40.522,215
40.526,235
41.502,450
42.033,560
42.497,525
43.008,545
43.545,545
43.690,535
44.131,175
44.715,335
45.251,540
45.641,540
46.226,530
46.615,510
47.201,495
47.737,505
48.175,515
48.712,500
49.248,540
49.687,520
50.223,460
50.226,510
50.687,10
51.460,470
51.791,510
52.173,510
52.758,465
53.151,540
53.763,510
54.126,495
54.952,370
55.245,890
55.756,295
55.929,460
56.229,10
56.805,490
57.194,510
57.341,480
57.487,205
57.490,40
57.633,250
58.706,495
59.148,495
59.681,500
60.168,490
60.656,505
61.095,495
61.387,505
61.390,175
61.484,20
61.488,20
61.491,10
61.536,10
61.539,20
61.549,15
61.680,170
62.606,535
63.099,500
63.581,475
64.165,500
64.702,510
64.706,515
64.848,260
64.995,195
65.969,560
66.313,415
66.361,280
66.514,10
66.518,210
67.481,485
68.066,540
68.212,470
68.215,195
68.260,20
68.264,15
68.270,10
68.330,15
68.455,10
68.459,15
68.586,225
68.748,195
68.751,10
69.577,305
69.723,540
69.772,180
69.775,15
69.875,15
69.879,10
70.015,15
70.552,265
70.991,495
71.551,505
72.063,510
72.066,505
72.503,10
72.516,500
73.039,10
73.652,505
74.013,495
74.017,510
74.598,10
74.988,475
74.991,495
75.636,10
75.963,470
76.575,520
76.958,500
77.525,490
77.771,525
77.916,275
78.059,195
78.064,10
79.035,495
79.622,485
80.058,520
80.107,490
80.156,10
80.546,140
80.984,370
81.521,515
81.960,505
82.531,500
83.081,500
83.470,505
84.056,505
84.446,515
85.030,505
85.567,510
86.006,485
86.577,500
87.030,495
87.518,515
88.156,500
88.564,510
89.077,500
89.545,495
90.077,500
90.443,495
90.978,495
91.563,515
91.953,515
92.538,520
93.074,495
93.529,500
94.049,495
94.492,500
94.732,525
94.735,175
94.881,60
95.025,10
95.560,260
95.564,515
95.999,10
96.544,500
97.120,480
97.125,540
97.544,10
98.099,460
98.535,500
99.070,505
99.218,480
99.367,260
99.461,245
100.436,530
101.022,490
101.118,520
101.586,10
102.142,525
102.705,540
103.149,525
103.704,520
104.287,525
104.775,520
105.164,525
105.750,500
106.145,510
106.724,490
107.121,500
107.700,500
108.236,510
108.242,495
108.921,10
109.211,500
109.698,505
110.216,515
110.756,515
111.309,545
111.844,545
112.428,550
112.818,525
113.747,520
113.940,540
114.525,540
114.915,520
115.587,520
116.133,500
116.140,500
116.475,10
117.013,500
117.450,500
117.985,505
117.989,500
118.522,10
118.961,505
119.497,500
120.082,500
120.085,515
120.521,10
121.057,545
121.593,540
122.178,560
122.715,510
123.251,535
123.690,520
124.226,525
124.665,520
125.499,480
125.502,530
125.785,10
126.175,470
127.007,505
127.303,500
127.736,505
128.272,515
128.759,480
129.052,515
129.299,195
129.685,290
129.689,505
130.222,10
130.660,500
131.197,490
131.490,525
131.782,235
132.172,265
132.708,495
132.711,490
133.293,10
133.760,530
134.268,490
134.658,515
135.243,495
135.246,485
135.633,10
136.218,500
136.755,495
137.193,505
137.781,515
137.875,520
137.879,10
138.266,160
138.706,325
139.290,500
139.680,505
140.011,530
140.216,180
140.804,325
141.191,525
141.779,505
142.409,505
142.752,500
143.287,510
143.292,535
143.433,10
143.439,135
143.482,15
143.496,15
143.507,10
143.639,10
143.872,10
144.262,295
144.847,490
145.237,515
145.822,510
146.358,510
146.797,515
146.905,510
147.337,10
147.869,495
148.308,505
148.845,495
149.431,520
149.823,515
150.797,520
150.941,535
151.386,525
151.988,495
152.501,510
152.988,520
153.427,515
153.573,530
153.577,160
154.012,15
154.548,305
154.989,540
155.328,495
155.331,250
155.577,240
155.624,10
156.498,530
157.119,505
157.473,540
158.058,490
158.449,495
158.887,500
159.619,290
160.206,745
160.739,535
160.754,540
161.227,10
161.373,545
161.666,170
162.202,350
162.787,535
162.793,525
163.323,10
163.899,530
164.057,545
164.298,10
164.932,530
165.420,535
165.809,510
166.395,505
166.968,520
167.516,515
167.962,520
168.052,525
168.490,150
169.220,365
169.468,525
170.002,500
170.538,525
170.542,520
171.172,10
171.659,530
172.098,540
172.634,535
172.638,510
173.219,10
173.609,500
174.194,525
174.730,520
175.316,530
175.855,510
176.245,515
176.293,490
176.839,10
177.217,495
177.951,505
178.192,520
178.777,500
179.313,535
179.752,505
180.337,510
180.727,500
