df_hash,22ZHK4.34VB5M
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FPTK
person_label,V77
date_time_start,2025-11-03_14-11-39.549000_+03
date_time_start_unix,1762164699.549
date_time_end,2025-11-03_14-19-57.483000_+03
length_difference_noticed,no

time,battery
8.106,17
18.048,17
28.042,17
38.075,17
48.030,17
58.023,17
68.017,17
78.011,17
88.055,17
98.095,17
108.040,17
118.035,17
128.175,17
138.022,17
148.113,17
158.010,16
168.003,16
177.997,16
187.991,16
198.038,16
208.027,16
218.218,16
228.014,16
238.008,16
248.002,16
257.996,16
268.005,16
278.008,16
287.977,16
298.020,16
308.013,16
318.015,16
328.001,16
337.998,16
347.988,16
358.080,16
368.104,16
377.972,16
388.061,16
398.054,16
408.000,16
417.993,16
427.988,16
437.981,16
447.976,16
458.066,16
468.014,16
478.007,16
488.003,16
