df_hash,22ZHK4.34VB5M
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FPTK
person_label,V77
date_time_start,2025-11-03_14-11-39.549000_+03
date_time_start_unix,1762164699.549
date_time_end,2025-11-03_14-19-57.483000_+03
length_difference_noticed,no

time,heart_rate
16.829,123
17.713,123
18.682,122
19.803,122
20.729,122
21.731,122
22.777,122
23.654,123
24.580,122
25.750,122
26.628,122
27.599,121
28.728,121
29.653,121
30.528,122
31.698,122
32.673,122
33.551,121
34.721,120
35.598,119
36.578,119
37.694,118
38.576,118
39.550,118
40.689,118
41.545,119
42.504,119
43.642,119
44.668,118
45.445,117
46.667,116
47.590,116
48.468,116
49.638,116
50.515,116
51.783,117
52.612,118
53.586,118
54.464,119
55.585,118
56.512,118
57.389,118
58.559,118
59.460,118
60.417,119
61.586,119
62.459,120
63.386,120
64.555,121
65.433,121
66.506,121
67.485,121
68.462,121
69.383,121
70.454,121
71.380,121
72.258,120
73.477,120
74.403,119
75.280,120
76.450,120
77.328,120
78.205,120
79.473,120
80.329,120
81.277,120
82.401,120
83.277,120
84.205,119
85.372,119
86.298,119
87.175,119
88.518,119
89.272,119
90.160,119
91.371,119
92.246,119
93.123,119
94.344,119
95.271,119
96.150,119
97.339,119
98.193,119
99.074,119
100.294,119
101.193,119
102.147,119
103.333,118
104.144,118
105.067,117
106.285,117
107.207,117
108.047,117
109.262,117
110.137,118
111.014,118
112.233,117
113.110,117
114.037,116
115.207,115
116.185,115
117.059,115
118.180,116
119.058,116
119.962,117
121.154,117
122.081,117
123.007,116
124.133,116
125.005,115
125.934,115
127.105,116
128.029,116
128.955,117
130.075,118
131.002,118
131.879,119
133.049,119
133.975,119
134.853,119
136.072,119
136.999,119
137.883,119
139.045,119
139.923,119
140.966,119
142.019,119
142.897,119
143.878,118
145.058,118
145.870,118
146.895,118
148.015,118
148.893,118
149.770,118
150.947,118
151.915,118
152.745,117
153.917,117
154.843,117
155.767,117
156.888,117
157.816,117
158.740,117
159.910,117
160.810,117
161.672,117
162.884,116
163.811,115
164.785,114
165.907,114
166.735,114
167.685,114
168.833,114
169.758,115
170.684,115
171.806,115
172.829,115
173.612,115
174.779,115
175.707,115
176.707,115
177.802,116
178.679,116
179.605,116
180.775,117
181.653,117
182.530,117
183.749,117
184.699,117
185.699,117
186.723,117
187.600,117
188.575,117
189.724,117
190.623,117
191.500,117
192.721,117
193.597,117
194.478,117
195.646,116
196.570,116
197.535,116
198.618,116
199.544,116
200.470,117
201.689,117
202.518,116
203.493,116
204.614,116
205.577,116
206.471,116
207.591,116
208.465,114
209.392,115
210.562,115
211.488,115
212.365,115
213.535,115
214.511,115
215.339,115
216.558,115
217.435,114
218.372,113
219.532,113
220.409,113
221.342,113
222.554,113
223.383,113
224.358,113
225.479,113
226.357,113
227.332,113
228.502,114
229.379,114
230.262,114
231.432,114
232.378,114
233.230,115
234.421,115
235.327,116
236.263,116
237.374,117
238.300,117
239.178,116
240.397,116
241.274,116
242.200,116
243.370,116
244.248,116
245.198,116
246.344,116
247.222,116
248.197,116
249.318,116
250.195,116
251.177,116
252.298,109
253.256,107
254.095,105
255.265,107
256.192,106
257.069,106
258.239,106
259.165,106
260.043,106
261.264,106
262.142,106
263.121,106
264.239,111
265.117,113
265.994,115
267.209,117
268.087,118
269.062,120
270.234,118
271.061,118
272.012,118
273.179,118
274.083,118
274.962,118
276.134,118
277.057,118
277.983,118
279.115,118
280.031,118
280.908,118
282.133,118
283.053,118
283.930,118
285.100,117
285.978,117
286.878,117
288.074,117
288.952,117
289.927,117
291.173,117
291.926,117
293.096,117
294.022,117
294.948,117
295.826,114
297.044,115
297.922,114
298.848,115
300.018,114
300.895,114
301.777,115
302.992,114
303.873,114
304.796,114
305.966,114
306.843,114
307.769,114
308.939,114
309.866,116
310.938,117
311.913,118
312.839,118
313.717,118
314.935,117
315.822,117
316.690,116
317.935,116
318.787,116
319.713,116
320.883,116
321.760,116
322.687,116
323.857,116
324.735,116
325.709,116
326.838,119
327.708,118
328.634,118
329.804,117
330.731,116
331.657,116
332.941,116
333.704,116
334.680,116
335.753,116
336.681,116
337.556,116
338.779,116
339.652,116
340.578,116
341.748,119
342.626,120
343.507,120
344.722,119
345.599,118
346.574,117
347.696,116
348.608,115
349.499,115
350.706,115
351.595,115
352.573,115
353.685,115
354.607,114
355.887,113
356.617,113
357.593,113
358.616,113
359.737,116
360.518,116
361.507,116
362.617,116
363.539,116
364.368,116
365.587,116
366.490,116
367.392,116
368.563,116
369.438,116
370.364,116
371.534,116
372.474,116
373.421,116
374.613,116
375.434,116
376.352,116
377.531,116
378.408,116
379.285,116
380.504,116
381.386,116
382.308,120
383.530,117
384.355,118
385.282,117
386.452,117
387.331,117
388.304,117
389.426,112
390.303,111
391.237,115
392.399,113
393.326,113
394.401,112
395.373,112
396.304,112
397.177,112
398.396,115
399.273,113
400.151,113
401.467,113
402.247,113
403.173,113
404.370,113
405.226,113
406.199,113
407.335,113
408.197,115
409.121,116
410.291,115
411.168,115
412.094,115
413.269,115
414.191,115
415.117,115
416.238,120
417.168,110
418.060,115
419.261,113
420.138,114
421.015,113
422.311,113
423.212,113
424.038,113
425.208,113
426.086,113
426.963,113
428.231,113
429.069,113
429.985,113
431.329,113
