df_hash,22ZHK4.34VB5M
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FPTK
person_label,V77
date_time_start,2025-11-03_14-11-39.549000_+03
date_time_start_unix,1762164699.549
date_time_end,2025-11-03_14-19-57.483000_+03
length_difference_noticed,no

time,ppg_quality
57.828,62
59.848,60
61.868,62
62.878,59
63.888,60
64.898,73
65.908,79
66.918,82
68.938,62
70.958,48
72.978,47
73.988,46
74.998,44
77.018,47
78.028,50
80.048,58
82.068,68
83.078,70
84.088,72
85.098,74
87.118,78
88.128,80
91.158,86
93.178,86
95.198,86
97.218,82
99.238,77
100.248,74
101.258,72
102.268,70
104.288,70
106.308,70
108.328,74
109.338,75
110.348,78
111.358,81
113.378,83
114.388,82
116.408,83
117.418,83
119.438,84
121.458,85
122.468,86
123.478,87
124.488,88
126.508,82
128.528,79
130.548,76
131.558,74
132.568,73
135.588,69
137.608,73
139.628,71
141.648,69
142.658,68
143.668,68
144.678,65
146.698,61
148.718,64
150.738,69
152.758,74
154.778,67
156.798,59
157.808,54
159.828,46
161.848,43
163.868,46
165.888,59
168.918,77
170.938,80
172.958,81
173.968,82
174.978,83
175.988,83
176.998,83
179.018,84
180.028,85
182.048,85
184.068,80
186.088,77
188.108,80
189.118,82
190.128,84
191.138,84
193.158,88
195.178,90
197.198,86
199.218,81
200.228,79
202.248,77
204.268,84
205.278,91
206.288,97
208.308,98
210.328,107
212.348,110
214.368,91
215.378,82
217.398,71
219.418,62
220.428,51
221.438,50
223.458,58
225.478,69
226.488,72
227.498,76
228.508,86
230.528,96
232.548,101
233.558,100
234.568,96
235.578,90
237.598,87
239.618,71
240.628,56
241.638,41
242.648,32
244.668,34
245.678,36
247.698,34
248.708,24
250.728,9
251.738,4
252.748,4
259.818,1
260.828,35
261.838,40
263.858,36
265.878,65
266.888,69
267.898,64
268.908,44
270.928,4
272.948,10
284.058,11
286.078,48
287.088,55
288.098,53
289.108,62
290.118,70
292.138,73
293.148,61
295.168,46
297.188,33
299.208,40
302.238,33
303.248,46
304.258,49
306.278,44
308.298,30
309.308,29
310.318,38
312.338,44
313.348,23
314.358,13
317.388,25
318.398,50
319.408,58
321.428,43
323.448,58
324.458,66
326.478,82
328.498,63
330.518,68
332.538,74
334.558,67
336.578,21
338.598,13
339.608,6
341.628,8
342.638,7
343.648,16
345.668,20
347.688,33
348.698,43
350.718,47
352.738,45
353.748,48
354.758,51
356.778,61
358.798,70
360.818,85
361.828,84
362.838,71
363.848,63
365.868,46
366.878,39
367.888,27
369.908,9
373.948,6
374.958,26
375.968,39
376.978,34
378.998,12
381.018,6
383.038,32
385.058,7
388.088,39
390.108,51
392.128,58
393.138,69
395.158,87
396.168,91
397.178,86
399.198,68
401.218,71
403.238,71
404.248,66
405.258,60
407.278,63
408.288,83
410.308,99
412.328,72
414.348,76
416.368,80
417.378,69
419.398,41
420.408,48
421.418,79
423.438,63
425.458,66
427.478,72
428.488,66
429.498,60
431.518,66
432.528,67
434.548,76
436.568,64
437.578,63
438.588,70
440.608,76
442.628,76
443.638,74
445.658,67
446.668,70
447.678,72
449.698,70
451.718,72
453.738,50
454.748,43
456.768,55
458.788,57
460.808,59
461.818,54
462.828,57
464.848,61
465.858,47
467.878,23
469.898,3
474.948,15
475.958,16
476.968,18
478.988,36
481.008,54
483.028,57
485.048,59
486.058,66
487.068,72
490.098,70
492.118,65
494.138,58
