df_hash,22ZHK4.YBNJA6
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.V8T1
person_label,V73
date_time_start,2025-11-03_13-10-52.149000_+03
date_time_start_unix,1762161052.149
date_time_end,2025-11-03_13-19-39.096000_+03
length_difference_noticed,no

time,rr_int
9.020,3850
9.755,330
10.435,835
10.726,610
10.970,345
11.262,220
11.946,270
12.092,915
14.334,1555
14.627,610
15.162,265
16.430,665
16.775,1215
17.259,285
18.087,560
18.380,855
18.917,200
19.891,650
20.038,925
20.574,215
21.549,540
22.377,920
22.963,890
23.255,570
24.377,285
25.746,1010
26.789,1390
27.838,1055
28.964,1070
29.890,1105
30.178,1030
30.763,255
31.155,630
31.168,440
31.445,10
32.567,280
32.968,1055
34.224,390
35.492,1330
36.418,1210
37.393,985
38.514,975
39.489,1095
40.616,1080
41.731,1065
42.560,1050
43.389,890
44.364,825
45.686,1010
46.868,1270
48.167,1295
49.142,1205
50.103,1030
51.043,905
52.311,1065
53.578,1230
54.672,1185
54.796,1340
56.454,695
57.433,900
58.258,1060
59.087,835
60.063,840
61.037,935
62.158,1070
63.279,1115
64.254,1090
65.131,910
66.058,890
67.038,935
67.866,955
68.691,850
69.672,830
70.640,975
71.957,1095
72.741,1165
73.566,905
73.864,1100
75.565,645
76.347,965
77.319,960
77.904,955
78.588,600
78.733,640
79.028,65
80.098,410
80.536,990
80.930,515
81.905,445
82.877,920
83.735,1000
84.827,850
85.805,1080
86.241,1030
86.386,345
87.898,235
89.019,1485
89.023,1090
89.994,10
90.969,970
91.944,1015
92.919,1030
93.753,975
94.577,820
95.698,870
96.819,1015
97.941,1110
99.013,1210
100.134,1145
100.138,1060
101.256,10
102.085,1065
103.059,895
104.034,980
104.327,1190
106.667,675
107.693,1705
108.227,1010
108.231,635
108.666,15
109.592,315
110.713,1075
111.834,1100
112.810,1070
113.785,1040
113.930,945
113.934,205
114.759,625
115.490,195
116.417,665
117.687,935
118.513,1055
119.400,1050
119.491,860
119.542,10
119.545,155
119.548,15
120.172,20
120.999,635
122.023,885
123.245,970
123.778,1085
124.120,960
126.020,1105
126.849,900
127.678,860
128.361,775
129.190,770
129.335,825
130.164,165
131.142,765
132.115,1000
133.089,1015
134.239,985
134.894,950
135.820,880
136.701,835
137.574,890
138.550,910
139.527,960
140.508,930
141.498,985
142.450,1050
143.376,995
144.258,875
145.180,910
146.057,925
147.037,925
147.861,915
148.398,940
149.080,445
150.494,690
151.322,1480
152.157,820
152.444,790
152.980,275
153.817,565
154.832,910
155.759,940
156.588,950
157.450,850
158.007,840
158.537,570
158.543,550
159.241,15
159.525,680
159.951,260
160.926,515
161.906,965
162.876,975
163.704,935
164.534,935
165.362,835
166.046,720
166.730,760
167.653,755
168.531,855
169.652,850
169.949,1115
169.994,295
170.091,135
171.358,310
172.289,1060
173.166,950
174.089,855
174.382,885
175.014,285
175.941,675
176.916,985
177.747,975
178.135,845
178.573,380
179.402,370
179.549,820
179.746,240
179.751,15
180.084,25
180.914,465
181.915,885
183.009,965
184.136,1115
184.182,1075
185.106,10
186.081,940
187.056,1015
188.129,1030
189.104,1015
190.081,1040
191.053,1030
192.177,880
192.760,885
193.738,890
194.807,995
195.685,1005
196.669,965
197.586,915
198.610,995
199.585,990
200.560,1010
200.950,990
200.953,290
201.388,10
201.535,515
201.639,165
201.730,15
202.364,15
203.290,730
204.168,940
205.191,950
206.117,990
206.946,905
207.924,890
208.898,965
209.957,965
210.846,1010
211.824,995
212.785,970
212.796,900
213.624,10
214.599,910
215.579,965
216.549,990
217.378,960
217.768,800
218.210,440
219.041,360
219.343,890
220.159,315
221.522,460
221.960,1690
221.965,470
222.128,10
222.256,95
222.261,20
222.350,15
223.326,345
224.349,985
225.130,995
226.006,760
226.835,830
226.838,845
227.664,10
227.667,865
228.639,10
229.622,960
230.589,1015
231.612,960
232.394,895
233.367,935
234.342,940
234.347,950
234.488,10
235.351,200
235.610,760
236.000,305
236.488,415
237.121,415
237.365,740
238.925,205
239.217,1575
239.364,270
239.754,425
239.757,10
240.582,760
241.183,190
241.854,650
241.996,690
242.679,180
243.946,675
244.680,1255
245.164,395
245.168,820
245.994,10
246.871,790
247.846,920
248.674,890
249.064,840
249.390,465
250.333,345
250.344,900
250.480,185
250.487,10
251.843,515
252.136,835
252.672,245
253.549,610
253.647,985
255.355,915
256.328,465
256.574,1250
257.011,255
258.278,420
259.402,1375
259.935,935
260.472,680
260.764,555
261.598,320
262.281,795
262.568,745
263.261,255
263.990,635
264.225,770
264.712,330
264.957,300
265.785,365
266.468,865
267.150,610
267.979,745
268.274,780
268.808,315
269.247,560
269.832,515
270.382,550
270.514,450
270.904,260
271.734,335
271.879,855
272.025,165
272.031,60
272.610,10
272.636,505
272.707,155
272.756,15
272.759,15
272.805,20
272.808,20
272.853,15
272.857,15
272.860,20
272.863,20
272.905,15
272.908,10
274.121,10
274.469,1310
274.709,245
274.956,10
275.243,575
275.633,355
276.074,380
277.046,325
278.313,1105
278.996,1180
280.365,725
282.314,1465
283.432,1765
285.089,1220
285.821,1695
287.045,730
287.771,1310
288.014,660
288.892,315
289.136,1055
290.403,950
291.378,290
291.622,995
291.915,275
292.066,365
292.110,10
292.113,15
292.207,230
294.162,945
295.424,1010
296.402,1245
