df_hash,22ZHK4.YBNJA6
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.V8T1
person_label,V73
date_time_start,2025-11-03_13-10-52.149000_+03
date_time_start_unix,1762161052.149
date_time_end,2025-11-03_13-19-39.096000_+03
length_difference_noticed,no

time,quality
23.796,57
24.721,48
25.892,33
26.865,0
27.697,28
28.959,63
29.885,74
30.669,82
31.887,60
32.962,51
33.645,14
34.862,0
35.896,8
36.711,6
37.835,36
38.757,32
39.590,58
40.857,70
41.687,72
42.712,75
43.977,65
44.952,53
45.680,62
46.855,40
47.728,0
48.561,5
49.779,39
50.656,21
51.630,50
52.779,66
53.630,71
54.567,58
55.680,65
56.604,64
57.531,0
58.699,0
59.577,51
60.455,65
61.674,74
62.551,58
63.477,41
64.647,69
65.728,66
66.452,45
67.623,51
68.498,68
69.571,77
70.595,74
71.567,70
72.401,46
73.619,52
74.689,71
75.373,59
76.544,58
77.470,64
78.347,59
79.565,41
80.442,40
81.368,34
82.539,39
83.416,46
84.323,57
85.512,72
86.686,51
87.510,42
88.532,41
89.365,46
90.293,43
91.460,49
92.676,57
93.267,75
94.436,79
95.362,67
96.238,65
97.407,64
98.334,43
99.308,49
100.430,69
101.307,75
102.185,59
103.404,66
104.281,72
105.185,66
106.386,67
107.255,49
108.132,56
109.351,56
110.229,51
111.158,44
112.327,65
113.251,73
114.323,82
115.309,68
116.179,52
117.113,52
118.272,59
119.201,48
120.076,48
121.246,56
122.221,46
123.101,58
124.609,47
125.146,51
126.169,55
127.243,58
128.126,45
129.095,35
130.460,33
131.094,67
132.020,56
133.190,57
134.229,66
135.335,73
136.164,76
137.041,73
137.968,77
139.381,83
140.112,83
141.233,83
142.111,83
143.066,83
143.915,86
145.085,81
146.011,77
147.032,84
148.108,88
148.988,41
149.913,35
151.087,25
152.150,20
152.838,23
154.055,18
154.933,43
155.810,48
157.029,68
158.001,79
158.786,76
160.004,68
160.882,51
161.895,48
163.026,44
164.000,44
164.829,64
165.952,68
166.876,47
167.754,46
168.924,49
169.944,31
170.922,36
171.909,47
172.828,55
173.703,54
174.872,64
175.798,74
176.677,79
177.846,77
178.822,54
179.711,38
180.868,32
181.899,44
182.644,42
184.131,36
184.719,32
185.597,57
186.844,63
187.696,64
188.714,70
189.840,75
190.666,88
191.646,87
192.957,69
193.689,66
194.567,74
195.940,73
196.659,74
197.541,84
198.856,83
199.637,87
200.515,85
201.781,84
202.611,70
203.488,65
204.707,68
205.633,71
206.463,73
207.765,83
208.558,84
209.773,86
210.656,85
211.532,84
212.458,90
213.722,85
214.506,81
215.574,83
216.696,85
217.527,78
218.457,31
219.718,35
220.698,34
221.380,32
222.551,29
223.475,28
224.598,37
225.522,42
226.448,38
227.326,42
228.546,52
229.423,62
230.299,47
231.567,84
232.407,80
233.273,77
234.538,76
235.371,82
236.347,54
237.466,29
238.344,39
239.324,32
240.439,31
241.365,33
242.245,26
243.420,37
244.342,33
245.218,34
246.389,42
247.315,43
248.287,42
249.698,30
250.288,47
251.215,45
252.385,35
253.262,47
254.188,46
255.657,31
256.237,37
257.163,25
258.376,29
259.258,35
260.136,31
261.305,24
262.276,25
263.250,25
264.277,31
265.205,19
266.081,27
267.299,25
268.180,0
269.103,19
270.374,22
271.153,31
272.563,30
273.246,26
274.332,22
275.099,0
276.221,32
277.099,0
278.024,2
279.440,12
280.120,0
281.241,39
282.168,49
283.289,2
283.971,0
285.143,23
286.068,24
287.040,0
288.210,4
289.049,0
289.919,37
291.137,41
292.060,40
292.896,34
294.157,37
295.024,36
295.915,45
297.231,50
297.971,43
298.889,35
300.153,23
301.131,23
302.158,17
303.033,27
304.053,22
305.128,32
306.055,26
307.078,0
307.811,1
309.320,0
309.905,0
310.842,41
312.003,47
312.880,38
313.806,53
314.975,48
315.905,58
316.780,48
317.949,0
318.876,38
320.048,8
320.974,6
321.851,7
322.821,4
323.946,16
324.839,4
325.749,0
326.920,36
327.797,36
328.820,58
329.893,57
330.819,42
331.697,28
332.946,1
333.794,17
334.716,39
335.889,41
336.766,10
337.644,39
338.959,32
339.786,26
340.617,22
341.847,24
343.009,26
343.691,30
344.819,35
345.782,52
346.614,46
347.784,34
348.709,10
349.587,15
350.757,4
351.683,3
352.704,26
353.779,28
354.707,33
355.678,30
356.753,31
357.693,29
358.550,0
359.727,0
360.605,5
361.482,3
362.798,7
363.580,0
364.507,3
365.679,11
366.600,10
367.482,0
368.748,26
369.578,5
370.452,34
371.670,24
372.548,0
373.425,0
374.645,26
375.618,0
376.399,34
377.617,50
378.520,48
379.618,59
380.591,40
381.495,0
382.395,4
383.613,18
384.588,13
385.369,0
386.539,0
387.418,0
388.343,0
389.707,25
390.438,31
391.317,38
392.488,53
393.653,48
394.290,39
395.461,57
396.387,56
397.263,6
398.530,45
399.606,41
400.237,31
401.497,0
402.334,0
403.216,8
404.670,7
405.316,0
406.525,1
407.403,0
408.281,0
409.213,0
410.378,3
411.450,7
412.180,4
413.355,7
414.277,14
415.156,8
416.326,49
417.250,43
418.128,30
419.347,0
420.467,14
421.102,20
422.612,20
423.197,0
424.075,0
425.294,13
426.317,13
427.050,28
428.272,13
429.147,52
430.023,52
431.242,59
432.119,43
433.293,39
434.216,0
435.092,0
436.067,0
437.198,0
438.115,16
