df_hash,22ZHK4.YBNJA6
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.V8T1
person_label,V73
date_time_start,2025-11-03_13-10-52.149000_+03
date_time_start_unix,1762161052.149
date_time_end,2025-11-03_13-19-39.096000_+03
length_difference_noticed,no

time,ppg_quality
57.795,70
59.815,67
61.835,68
63.855,67
66.885,86
67.895,88
68.905,88
70.925,86
72.945,89
74.965,81
75.975,74
77.995,65
80.015,61
81.025,53
82.035,45
84.055,37
85.065,37
86.075,36
87.085,35
88.095,35
89.105,37
90.115,50
91.125,64
93.145,72
94.155,76
95.165,80
96.175,82
97.185,89
99.205,96
100.215,91
102.225,84
104.245,77
106.265,74
108.285,75
109.295,72
110.305,68
111.315,64
112.325,65
113.335,68
115.355,73
117.375,65
119.395,58
121.415,62
122.425,63
123.435,65
124.445,53
126.465,49
128.485,45
129.495,45
130.505,42
131.515,45
132.525,49
133.525,51
135.545,66
137.565,77
138.575,78
139.585,78
140.595,79
141.605,79
143.625,74
144.635,73
146.655,76
148.675,76
150.695,60
152.715,45
153.725,49
154.735,47
155.745,42
157.765,41
159.785,48
161.805,55
163.825,49
164.835,49
165.845,54
167.865,51
168.875,56
169.885,59
170.895,58
172.915,42
173.925,42
174.935,41
176.955,33
179.985,24
182.005,19
184.025,38
185.035,42
187.055,45
188.065,47
190.085,56
191.095,64
193.115,78
195.135,76
196.145,78
198.165,82
199.175,81
202.205,77
204.225,69
206.245,70
208.265,69
209.275,67
211.295,65
213.315,70
215.335,74
217.355,78
219.375,81
221.395,71
224.425,67
225.435,61
226.445,55
228.465,48
229.475,49
230.485,54
231.495,60
232.505,67
235.535,66
237.555,65
239.575,67
241.595,69
242.605,62
244.625,53
245.635,51
246.645,47
248.665,51
250.685,53
252.705,49
254.725,47
255.735,49
256.745,54
258.765,64
259.775,68
261.795,59
263.815,82
265.835,80
267.855,54
268.865,45
269.875,30
270.885,19
272.905,10
276.945,1
281.995,5
283.005,13
284.015,16
286.035,25
288.055,55
289.065,51
291.085,52
292.095,44
294.115,35
295.125,24
297.145,7
299.165,26
301.185,27
303.205,18
305.225,36
307.245,58
308.255,53
310.275,45
312.295,52
314.315,69
315.325,60
317.345,52
319.365,38
321.385,34
323.405,37
325.425,22
327.445,20
328.455,16
330.475,44
332.495,60
334.515,73
336.535,62
338.555,63
340.575,66
342.595,66
343.605,70
345.625,63
346.635,64
347.645,69
349.665,78
351.685,53
352.695,44
354.715,50
356.735,73
358.755,72
360.775,79
361.785,85
362.795,87
363.805,77
364.815,70
366.835,57
367.845,45
368.855,25
370.875,22
371.885,23
373.905,36
375.925,36
378.955,55
380.975,51
382.995,46
384.005,38
385.015,39
386.025,36
387.035,34
389.055,42
390.065,34
392.085,25
393.095,25
394.105,39
396.125,54
398.145,35
399.155,23
401.175,34
403.195,35
405.215,10
407.235,4
408.245,17
409.255,31
411.275,41
412.285,42
414.305,46
416.325,54
418.345,64
420.365,70
421.375,58
422.385,51
424.405,42
426.425,30
428.445,13
429.455,2
433.495,21
434.505,31
436.525,41
438.545,81
440.565,107
441.575,118
442.585,125
444.605,113
445.615,113
447.635,90
449.655,72
450.665,74
452.685,59
453.695,47
455.715,37
456.725,36
458.745,49
460.765,26
462.785,24
464.805,36
465.815,45
467.835,41
469.855,53
471.875,74
473.895,81
475.915,72
476.925,73
477.935,76
478.945,75
480.965,53
482.985,36
486.015,43
487.025,44
489.045,46
490.055,54
492.075,67
493.085,77
494.095,78
496.115,80
497.125,83
498.135,83
500.155,79
501.165,95
502.175,96
503.185,85
504.195,75
505.205,73
506.215,77
507.225,75
509.245,69
510.255,67
511.265,52
512.275,55
513.285,54
515.305,50
516.315,43
518.335,47
520.355,12
521.365,19
522.375,20
