df_hash,22ZHK4.YBNJA6
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.V8T1
person_label,V73
date_time_start,2025-11-03_13-10-52.149000_+03
date_time_start_unix,1762161052.149
date_time_end,2025-11-03_13-19-39.096000_+03
length_difference_noticed,no

time,omega
208.917,0.710
209.978,0.721
215.730,0.721
216.608,0.710
217.479,0.696
227.768,0.686
231.661,0.686
246.975,0.686
288.069,0.686
329.313,0.686
465.756,1.371
469.269,1.368
490.526,1.368
491.352,1.123
494.420,0.878
495.403,0.876
497.687,0.875
