df_hash,22ZHK4.YBNJA6
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.V8T1
person_label,V73
date_time_start,2025-11-03_13-10-52.149000_+03
date_time_start_unix,1762161052.149
date_time_end,2025-11-03_13-19-39.096000_+03
length_difference_noticed,no

time,heart_rate
23.791,71
24.717,71
25.887,71
26.817,71
27.691,71
28.866,62
29.814,58
30.665,56
31.884,55
32.957,53
33.639,54
34.858,54
35.737,54
36.614,53
37.831,53
38.709,53
39.586,55
40.854,56
41.683,57
42.563,57
43.783,57
44.728,59
45.631,61
46.757,59
47.635,59
48.556,59
49.775,59
50.653,59
51.532,57
52.776,57
53.626,57
54.504,56
55.674,54
56.600,53
57.516,54
58.696,54
59.574,59
60.451,63
61.670,65
62.548,64
63.474,63
64.644,60
65.717,58
66.448,59
67.618,61
68.495,63
69.423,65
70.591,66
71.518,66
72.395,65
73.614,63
74.493,61
75.369,61
76.539,62
77.465,63
78.343,64
79.562,63
80.439,63
81.321,63
82.535,65
83.413,66
84.319,66
85.509,65
86.682,64
87.315,63
88.485,61
89.360,59
90.287,60
91.457,60
92.506,60
93.260,59
94.430,60
95.357,62
96.234,63
97.404,64
98.330,63
99.210,59
100.427,57
101.304,55
102.182,55
103.400,56
104.278,58
105.180,60
106.374,61
107.252,62
108.129,64
109.348,66
110.225,66
111.152,65
112.322,61
113.208,59
114.136,57
115.296,57
116.173,59
117.099,62
118.269,64
119.195,64
120.073,64
121.243,63
122.218,63
123.095,65
124.268,66
125.143,65
126.024,62
127.239,61
128.117,62
128.997,62
130.214,61
131.090,66
132.017,68
133.187,67
134.165,65
135.025,63
136.161,63
137.038,64
137.964,66
139.136,67
140.109,67
140.967,67
142.108,65
143.063,63
143.912,62
145.082,62
146.008,63
146.928,64
148.104,65
148.982,64
149.908,64
151.079,64
151.959,64
152.833,64
154.052,64
154.929,69
155.807,69
157.026,69
157.910,68
158.781,67
159.999,67
160.877,68
161.868,69
163.022,69
163.853,68
164.826,66
165.947,65
166.873,67
167.751,66
168.921,71
169.849,69
170.728,68
171.894,68
172.821,66
173.698,65
174.868,65
175.794,65
176.672,65
177.842,65
178.817,64
179.694,64
180.865,64
181.894,69
182.641,67
183.844,66
184.716,66
185.593,63
186.835,61
187.689,60
188.608,60
189.835,60
190.663,60
191.638,60
192.763,61
193.637,62
194.563,63
195.931,64
196.613,64
197.537,63
198.711,63
199.633,63
200.511,63
201.733,62
202.607,62
203.485,63
204.703,64
205.629,64
206.458,64
207.757,64
208.554,64
209.503,64
210.651,64
211.528,63
212.454,62
213.631,62
214.502,62
215.430,63
216.609,63
217.480,64
218.450,63
219.574,63
220.693,63
221.375,63
222.545,63
223.471,63
224.352,66
225.519,65
226.445,66
227.322,67
228.542,68
229.419,69
230.296,69
231.564,66
232.400,65
233.270,64
234.530,64
235.366,64
236.341,64
237.462,64
238.340,64
239.302,64
240.436,64
241.362,64
242.240,64
243.409,71
244.336,70
245.213,72
246.383,73
247.309,73
248.190,73
249.428,72
250.283,71
251.209,70
252.379,70
253.257,72
254.183,73
255.648,72
256.230,71
257.156,71
258.327,71
259.253,62
260.130,65
261.300,66
262.243,66
263.154,65
264.274,59
265.200,61
266.077,59
267.296,60
268.175,59
269.053,59
270.368,59
271.147,56
272.098,53
273.243,54
274.128,54
275.051,54
276.217,52
277.095,52
278.021,52
279.194,52
280.117,52
281.009,53
282.165,53
283.100,52
283.968,52
285.139,52
286.064,52
286.967,52
288.160,52
289.038,52
289.916,54
291.134,56
292.013,55
292.889,56
294.111,55
295.009,56
295.912,58
297.087,59
297.960,58
298.885,57
300.078,57
300.987,57
302.154,57
303.029,57
303.958,57
304.857,62
306.051,60
306.943,59
307.806,59
309.034,59
309.902,59
310.829,58
311.999,58
312.876,58
313.802,57
314.972,56
315.898,54
316.776,52
317.946,53
318.872,53
319.753,53
320.969,52
321.846,52
322.725,52
323.942,52
324.820,52
325.746,52
326.916,58
327.793,61
328.724,63
329.889,63
330.816,62
331.693,62
332.943,62
333.789,62
334.691,54
335.886,51
336.763,54
337.640,54
338.863,53
339.740,53
340.614,53
341.833,53
342.714,53
343.642,53
344.807,53
345.687,64
346.611,59
347.780,67
348.706,63
349.584,63
350.754,63
351.680,63
352.565,59
353.776,60
354.664,60
355.534,60
356.750,63
357.677,61
358.545,61
359.724,61
360.601,61
361.479,61
362.701,61
363.575,61
364.501,61
365.671,61
366.597,61
367.476,61
368.742,69
369.571,66
370.448,59
371.667,61
372.544,62
373.422,62
374.641,66
375.521,64
376.396,62
377.614,61
378.517,59
379.609,57
380.588,55
381.489,56
382.392,56
383.565,56
384.442,55
385.365,55
386.535,55
387.413,55
388.339,55
389.540,55
390.435,54
391.313,54
392.483,54
393.491,52
394.286,51
395.456,51
396.383,51
397.260,51
398.501,52
399.603,51
400.234,51
401.494,51
402.330,51
403.207,51
404.477,51
405.304,51
406.237,51
407.400,51
408.277,51
409.205,51
410.374,51
411.256,51
412.177,51
413.347,51
414.274,51
415.151,51
416.321,52
417.247,53
418.125,53
419.343,52
420.229,52
421.099,52
422.336,52
423.195,52
424.072,52
425.291,52
426.217,52
427.046,50
428.265,50
429.142,50
430.019,52
431.238,53
432.116,53
433.046,53
434.212,52
435.089,52
436.064,52
437.187,52
438.112,52
