df_hash,22ZHK4.YBNJA6
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.V8T1
person_label,V73
date_time_start,2025-11-03_13-10-52.149000_+03
date_time_start_unix,1762161052.149
date_time_end,2025-11-03_13-19-39.096000_+03
length_difference_noticed,no

time,temperature
4.732,33.406
5.851,33.438
6.729,33.500
7.753,33.562
8.728,33.562
9.751,33.656
10.731,33.656
11.753,33.656
12.774,33.656
13.749,33.625
14.724,33.656
15.748,33.656
16.969,33.625
17.769,33.625
18.722,33.688
19.747,33.688
20.720,33.688
21.744,33.688
22.719,33.688
23.743,33.688
24.726,33.750
25.741,33.781
26.814,33.844
27.740,33.844
28.715,33.844
29.739,33.875
30.714,33.938
31.741,33.969
32.772,33.969
33.934,34.000
34.734,34.031
35.909,34.031
36.715,34.062
37.736,34.094
38.764,34.125
39.733,34.156
40.708,34.125
41.978,34.156
42.725,34.219
43.730,34.219
44.958,34.156
45.729,34.250
46.753,34.219
47.733,34.250
48.752,34.156
49.726,34.156
50.750,34.219
51.729,34.219
52.784,34.250
53.724,34.312
54.748,34.375
55.723,34.375
56.746,34.406
57.770,34.406
58.749,34.531
59.721,34.531
60.796,34.531
61.719,34.562
62.743,34.531
63.818,34.562
64.742,34.594
65.734,34.625
67.033,34.656
67.716,34.656
68.739,34.688
69.960,34.656
70.738,34.688
71.713,34.688
72.736,34.719
73.712,34.688
74.736,34.719
75.711,34.750
76.734,34.750
77.709,34.719
79.026,34.688
79.709,34.688
80.731,34.719
81.902,34.719
82.731,34.750
83.732,34.750
84.730,34.719
85.802,34.719
86.776,34.750
87.757,34.750
88.727,34.812
89.781,34.875
90.726,34.875
91.749,34.875
92.746,34.875
93.748,34.875
94.723,34.875
95.747,34.875
96.722,34.875
97.746,34.875
98.724,34.875
99.744,34.875
101.014,34.906
101.747,34.938
102.767,34.938
103.743,34.969
104.717,34.969
105.741,34.969
106.716,35.000
107.740,35.000
108.715,35.031
109.738,35.031
110.737,35.031
111.737,35.000
112.761,35.062
113.736,35.031
114.711,35.062
115.735,35.094
116.710,35.094
117.782,35.094
118.711,35.125
119.732,35.125
120.707,35.125
121.733,35.125
122.706,35.094
123.730,35.125
124.705,35.125
125.728,35.125
126.703,35.125
127.727,35.125
128.994,35.125
129.726,35.125
130.701,35.125
131.725,35.094
132.946,35.094
133.772,35.125
134.699,35.125
135.722,35.156
136.697,35.156
137.721,35.188
138.846,35.188
139.719,35.156
140.765,35.188
141.719,35.219
142.742,35.188
143.717,35.188
144.742,35.188
145.741,35.188
146.793,35.219
147.715,35.156
148.743,35.219
149.714,35.250
150.786,35.281
151.712,35.281
152.736,35.312
153.790,35.344
154.735,35.375
155.710,35.375
156.733,35.375
157.903,35.375
158.737,35.375
159.756,35.375
160.731,35.312
161.709,35.344
162.779,35.344
163.709,35.312
164.729,35.312
165.803,35.312
166.727,35.312
167.702,35.344
168.726,35.344
169.701,35.344
170.724,35.375
171.703,35.406
172.723,35.406
173.847,35.406
174.722,35.406
175.698,35.438
176.721,35.438
177.696,35.438
178.721,35.438
179.941,35.438
180.719,35.406
181.888,35.375
182.718,35.406
183.838,35.375
184.816,35.344
185.691,35.344
186.715,35.375
187.793,35.375
188.729,35.344
189.738,35.344
190.712,35.344
191.742,35.344
192.711,35.344
193.735,35.344
194.712,35.375
195.735,35.406
196.783,35.375
197.735,35.406
198.707,35.438
199.784,35.469
200.706,35.469
201.786,35.469
202.705,35.469
203.729,35.438
204.999,35.438
205.727,35.406
206.702,35.438
207.921,35.438
208.701,35.406
209.779,35.406
210.700,35.406
211.820,35.406
212.699,35.438
213.733,35.469
214.707,35.500
216.136,35.469
216.702,35.469
217.719,35.469
219.035,35.531
219.726,35.531
220.705,35.562
221.717,35.562
222.692,35.562
223.764,35.562
224.691,35.562
225.763,35.531
226.760,35.531
227.960,35.531
228.729,35.531
229.712,35.531
230.782,35.500
231.793,35.500
232.931,35.500
233.709,35.469
234.684,35.500
235.708,35.531
236.978,35.500
237.706,35.500
238.778,35.531
239.760,35.562
240.777,35.562
241.850,35.500
242.728,35.500
243.702,35.500
244.765,35.406
245.701,35.406
246.728,35.469
247.700,35.469
248.724,35.594
249.705,35.562
250.771,35.562
251.751,35.594
252.967,35.562
253.696,35.562
254.720,35.656
255.695,35.625
256.720,35.625
257.721,35.594
258.723,35.438
259.692,35.469
260.717,35.469
261.696,35.500
262.716,35.500
263.983,35.469
264.718,35.500
265.688,35.531
266.760,35.500
267.687,35.500
268.711,35.469
269.685,35.500
270.858,35.469
271.684,35.469
272.710,35.500
273.683,35.500
274.950,35.500
275.682,35.469
276.710,35.438
277.730,35.500
278.703,35.562
279.779,35.562
280.751,35.562
281.726,35.594
282.701,35.562
283.678,35.625
284.850,35.562
285.678,35.594
286.747,35.625
287.725,35.594
288.697,35.594
289.770,35.594
290.696,35.625
291.720,35.469
292.695,35.500
293.718,35.500
294.693,35.531
295.732,35.625
296.692,35.594
297.727,35.625
298.691,35.594
299.715,35.594
300.981,35.562
301.716,35.656
302.688,35.625
303.712,35.625
304.761,35.594
305.710,35.469
306.688,35.500
307.709,35.469
308.733,35.469
309.708,35.469
310.683,35.500
311.713,35.469
312.708,35.500
313.705,35.500
314.781,35.500
315.704,35.531
316.679,35.531
317.743,35.500
