df_hash,22ZHK4.YBNJA6
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.V8T1
person_label,V73
date_time_start,2025-11-03_13-10-52.149000_+03
date_time_start_unix,1762161052.149
date_time_end,2025-11-03_13-19-39.096000_+03
length_difference_noticed,no

time,battery
11.750,23
21.649,23
31.660,23
41.634,23
51.725,23
61.622,23
71.616,23
81.609,23
91.603,23
101.743,23
111.640,23
121.633,23
131.627,23
141.621,23
151.615,23
161.619,23
171.700,23
181.596,23
191.736,22
201.632,22
211.626,22
221.619,22
231.744,22
241.606,22
251.746,22
261.642,22
271.587,22
281.580,22
291.573,22
301.616,22
311.706,22
321.700,22
331.645,22
341.606,22
351.583,22
361.577,22
371.570,22
381.564,22
391.662,22
401.599,22
411.618,22
421.586,22
431.629,22
441.573,22
451.567,22
461.601,22
471.651,22
481.558,22
491.541,22
501.680,21
511.625,21
521.571,21
