df_hash,22ZHK4.YBNJA6
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.V8T1
person_label,V73
date_time_start,2025-11-03_13-10-52.149000_+03
date_time_start_unix,1762161052.149
date_time_end,2025-11-03_13-19-39.096000_+03
length_difference_noticed,no

time,perfusion_ir
208.913,0.240
209.974,0.240
215.726,0.230
216.599,0.230
217.475,0.230
227.765,0.220
231.618,0.220
246.969,0.220
288.066,0.220
329.309,0.220
465.752,0.730
469.265,0.660
490.521,0.660
491.348,0.460
494.372,0.260
495.397,0.240
497.683,0.230
