df_hash,22ZHK4.9VZJG1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.P9YT
person_label,V19
date_time_start,2025-05-23_10-38-40.608000_+03
date_time_start_unix,1747985920.608
date_time_end,2025-05-23_10-47-26.620000_+03
length_difference_noticed,no

time,ppg_quality
57.916,114
59.936,116
60.946,118
62.966,117
64.986,118
67.006,119
68.016,117
69.016,117
72.046,113
74.066,110
76.086,109
78.106,109
79.116,108
80.126,109
81.136,111
83.156,111
85.176,91
87.196,82
89.216,76
91.236,70
92.246,69
93.256,73
94.266,82
95.276,94
96.286,101
98.306,101
100.326,107
102.346,107
105.376,105
107.396,109
108.406,111
109.416,113
110.426,118
111.436,119
112.446,119
113.456,120
116.486,120
118.506,118
120.526,112
122.546,113
123.556,113
124.566,113
125.576,114
126.586,114
127.596,116
129.616,117
131.636,121
133.656,120
135.676,122
137.696,120
139.716,119
140.726,116
141.736,116
142.746,115
144.766,115
146.786,114
148.806,115
149.816,116
151.836,115
153.856,114
155.876,113
156.886,113
158.906,111
159.916,108
160.926,107
162.946,108
164.966,107
166.986,109
167.996,109
169.006,110
171.026,116
172.036,116
173.046,115
174.056,116
176.076,116
178.096,114
180.116,114
182.136,114
183.146,114
185.166,113
186.176,113
187.186,114
189.206,115
191.226,116
193.246,117
194.256,117
196.276,118
198.296,118
200.316,118
202.336,117
203.346,119
204.356,118
205.366,118
207.386,118
209.406,117
211.426,116
213.446,115
215.466,116
216.476,115
218.496,116
219.506,116
220.516,115
222.536,116
224.556,116
225.566,116
226.576,117
229.606,116
231.626,115
232.636,115
233.646,115
235.666,112
237.686,107
240.716,109
242.736,109
244.756,110
246.776,117
247.786,119
249.806,118
250.816,114
251.826,107
253.846,86
255.866,81
257.886,80
259.906,77
260.916,79
261.926,87
262.936,98
264.956,110
265.966,110
266.976,108
268.996,111
271.016,111
274.046,112
276.066,114
278.086,115
280.106,116
281.116,118
282.126,119
284.146,118
285.156,118
287.176,117
289.196,117
291.216,117
293.236,117
295.256,118
296.266,119
297.276,120
298.286,121
300.306,122
303.336,122
304.346,121
306.366,120
307.376,119
309.396,118
311.416,119
313.436,118
314.446,119
315.456,119
318.486,119
320.506,117
322.526,117
324.546,117
325.556,116
327.576,116
329.596,116
330.606,116
331.616,116
333.636,118
335.656,118
337.676,118
338.686,118
340.706,116
341.716,116
342.726,116
344.746,116
346.766,116
348.786,117
349.796,118
351.816,119
353.836,119
355.856,117
357.876,118
358.886,116
360.906,115
361.916,116
362.926,115
364.946,116
366.966,117
368.986,120
371.006,122
372.016,122
373.026,123
374.036,123
376.056,123
378.076,125
380.096,123
381.106,124
382.116,124
384.136,124
385.146,123
387.156,123
388.166,121
389.176,121
390.186,121
391.196,120
392.206,120
393.216,120
395.236,121
396.246,120
397.256,121
398.266,121
400.286,124
402.306,124
404.326,123
405.336,123
406.346,123
409.376,122
411.396,121
413.416,114
415.436,105
416.446,105
417.456,105
418.466,105
419.476,106
420.486,107
422.506,109
424.526,120
426.546,124
428.566,123
431.596,122
432.606,122
433.616,123
435.636,124
437.656,124
438.666,125
439.676,125
440.686,125
442.706,124
444.726,121
446.746,119
448.766,118
449.776,116
451.796,116
453.816,116
455.836,116
457.856,115
459.876,113
461.896,114
463.916,117
464.926,118
466.946,116
468.966,116
470.986,116
473.006,115
476.036,113
477.046,115
478.056,115
480.076,116
481.086,116
483.106,117
485.126,117
486.136,117
487.146,116
489.166,115
491.186,115
493.206,114
495.226,115
497.246,106
498.256,97
500.276,86
502.296,84
504.316,83
505.326,80
506.336,78
508.356,46
509.366,46
510.376,42
511.386,59
512.396,42
513.406,41
514.416,26
517.446,53
519.466,77
521.486,62
523.506,65
