df_hash,22ZHK4.9VZJG1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.P9YT
person_label,V19
date_time_start,2025-05-23_10-38-40.608000_+03
date_time_start_unix,1747985920.608
date_time_end,2025-05-23_10-47-26.620000_+03
length_difference_noticed,no

time,perfusion_ir
130.083,0.270
133.153,0.260
138.900,0.260
150.213,0.260
151.534,0.260
158.208,0.260
204.713,0.260
211.538,0.260
217.416,0.250
233.783,0.250
296.564,0.230
311.190,0.220
333.853,0.220
336.147,0.220
336.881,0.220
339.803,0.210
342.831,0.210
347.164,0.210
387.917,0.210
399.235,0.210
400.838,0.210
412.587,0.210
415.808,0.220
416.634,0.220
425.413,0.220
426.969,0.230
429.162,0.250
429.846,0.250
486.688,0.250
493.269,0.250
