df_hash,22ZHK4.9VZJG1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.P9YT
person_label,V19
date_time_start,2025-05-23_10-38-40.608000_+03
date_time_start_unix,1747985920.608
date_time_end,2025-05-23_10-47-26.620000_+03
length_difference_noticed,no

time,rr_int
10.394,3980
10.686,1380
10.692,290
10.735,15
10.741,15
10.747,15
10.786,10
11.223,10
11.906,430
12.344,790
12.734,435
13.180,380
13.612,450
14.440,375
15.123,825
15.805,745
16.634,745
17.370,740
18.195,800
18.876,740
19.706,755
20.534,810
21.363,845
22.241,855
23.077,810
23.752,800
24.581,820
25.263,795
26.092,750
26.823,735
27.651,760
28.334,765
29.022,740
29.846,755
30.723,795
31.406,820
32.103,755
32.922,740
33.844,760
34.477,785
35.159,795
35.991,740
36.816,775
37.499,770
38.355,830
39.063,760
39.743,730
40.570,725
41.399,775
42.133,810
42.959,820
43.789,815
44.763,855
45.592,915
46.570,905
47.250,870
48.104,790
48.761,770
49.590,765
50.321,795
51.150,780
51.985,800
52.960,880
53.788,905
54.774,920
55.440,850
56.268,805
57.146,805
57.979,825
58.657,825
59.486,780
60.168,755
61.005,790
61.874,830
62.703,810
63.386,785
64.215,765
64.897,775
65.726,790
66.457,780
67.335,735
67.973,775
68.845,795
69.528,800
70.357,740
71.039,750
71.868,755
72.556,810
73.529,750
74.112,745
74.939,765
75.622,795
76.452,780
77.134,740
77.865,755
78.695,760
79.376,765
80.059,735
80.790,705
81.619,720
82.308,740
82.984,765
83.838,720
84.495,765
85.372,755
86.054,780
86.883,780
87.566,740
87.860,765
87.863,215
87.866,25
87.871,15
88.004,10
88.009,95
88.316,15
88.979,295
89.663,715
90.494,665
91.027,680
91.759,700
92.299,700
92.994,675
93.710,690
94.391,715
95.221,715
95.902,710
96.749,705
97.316,725
97.999,730
98.833,755
99.510,720
100.241,705
100.923,705
101.606,735
102.435,755
103.133,750
103.852,720
104.531,720
105.368,745
106.046,780
106.871,770
107.602,740
108.432,765
109.260,805
110.089,830
110.917,835
111.608,825
112.331,755
113.111,740
113.847,745
114.525,755
115.503,765
116.036,750
116.769,720
117.745,725
118.279,745
118.969,770
119.790,780
120.619,755
121.350,795
122.189,825
122.861,800
123.691,745
124.422,735
125.104,730
125.786,735
126.469,700
127.200,685
127.931,710
128.712,730
129.394,745
130.077,725
130.814,730
131.636,740
132.319,765
133.004,725
133.684,715
134.415,700
135.120,715
135.780,710
136.464,695
137.292,700
138.027,735
138.852,825
139.680,835
140.388,755
141.196,750
141.923,770
142.751,795
143.434,760
144.263,760
144.948,765
145.803,780
146.505,750
147.187,735
148.017,745
148.850,755
149.384,745
150.113,745
150.942,695
151.487,720
152.307,730
153.038,755
153.867,785
154.549,750
155.231,725
156.061,750
156.892,735
157.474,735
158.156,735
158.986,725
159.668,750
160.497,785
161.325,805
162.059,795
162.886,805
163.860,835
164.543,860
165.371,820
166.201,775
166.931,790
167.760,780
168.443,790
169.273,760
169.954,775
170.783,795
171.663,805
172.343,765
173.028,745
173.855,755
174.536,755
175.268,740
176.097,725
176.779,740
177.461,765
178.294,765
179.022,745
179.704,730
180.533,750
181.215,755
181.948,750
182.776,725
183.458,740
184.295,765
184.969,770
185.947,750
186.520,720
187.065,715
187.894,740
188.580,740
189.312,720
189.990,710
190.820,730
191.502,760
192.335,790
193.066,760
193.744,750
194.868,765
195.256,775
196.085,760
196.854,735
197.651,745
198.327,775
199.155,795
199.840,770
200.667,755
201.404,765
202.228,795
202.955,810
203.741,755
204.420,745
205.250,760
205.998,770
206.810,775
207.492,760
208.176,735
209.003,765
209.742,770
210.563,770
211.273,750
211.931,710
212.665,725
213.488,740
214.171,770
214.999,785
215.703,770
216.560,780
217.389,815
218.220,820
218.909,775
219.731,750
220.411,770
221.143,755
221.825,725
222.507,695
223.190,690
223.921,710
224.750,730
225.434,760
226.114,750
226.943,745
227.675,780
228.503,765
229.186,730
229.891,740
230.697,770
231.429,765
232.257,750
232.942,775
233.770,775
234.454,780
235.182,725
235.865,725
236.585,720
237.230,715
237.961,705
238.643,680
239.326,700
240.304,715
240.837,745
241.666,755
242.397,755
243.237,785
244.055,810
244.737,800
245.420,740
246.153,710
246.834,715
247.662,735
248.786,810
249.174,765
249.321,790
249.325,120
249.347,10
249.350,15
249.371,10
249.904,10
250.734,550
251.416,785
252.102,695
252.959,750
252.962,780
253.800,10
254.487,795
255.316,775
256.025,790
256.830,770
257.510,745
258.241,720
258.975,735
259.753,745
260.435,745
261.166,725
261.848,725
262.553,730
263.214,720
263.945,700
264.641,700
265.751,705
266.139,715
266.833,710
267.609,705
268.235,740
269.019,750
269.749,730
270.477,730
271.186,705
271.843,730
272.525,710
273.256,715
274.085,725
274.769,760
275.606,775
276.278,760
277.107,745
277.842,780
278.669,780
279.353,770
280.043,740
280.861,735
281.544,750
282.295,735
282.959,720
283.786,745
284.469,735
285.206,735
285.882,725
286.566,715
287.393,750
288.125,775
288.808,745
289.636,730
290.319,730
291.002,740
291.830,760
292.561,735
293.244,725
293.931,735
294.755,755
295.486,785
296.315,735
296.997,730
297.680,720
298.363,730
299.094,710
300.128,705
300.459,710
301.287,745
302.021,765
302.847,785
303.530,775
304.361,740
305.337,755
305.871,775
306.848,765
307.284,740
308.113,735
308.795,745
