df_hash,22ZHK4.9VZJG1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.P9YT
person_label,V19
date_time_start,2025-05-23_10-38-40.608000_+03
date_time_start_unix,1747985920.608
date_time_end,2025-05-23_10-47-26.620000_+03
length_difference_noticed,no

time,omega
130.176,0.378
133.157,0.375
138.904,0.378
150.216,0.382
151.538,0.389
158.212,0.395
204.716,0.389
211.542,0.389
217.420,0.382
233.789,0.378
296.570,0.352
311.204,0.313
333.860,0.314
336.153,0.321
336.886,0.328
339.817,0.321
342.838,0.328
347.168,0.331
387.924,0.328
399.238,0.331
400.842,0.335
412.591,0.342
415.812,0.335
416.637,0.331
425.427,0.335
426.973,0.331
429.166,0.335
429.850,0.340
486.695,0.347
493.275,0.349
