df_hash,22ZHK4.9VZJG1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.P9YT
person_label,V19
date_time_start,2025-05-23_10-38-40.608000_+03
date_time_start_unix,1747985920.608
date_time_end,2025-05-23_10-47-26.620000_+03
length_difference_noticed,no

time,quality
15.952,75
17.365,64
18.051,68
18.833,69
20.342,76
20.930,69
21.948,69
23.070,71
23.901,78
24.830,80
26.000,74
26.875,73
27.802,77
29.017,78
29.948,80
30.776,79
32.088,72
32.917,75
33.753,79
34.920,74
35.847,78
36.731,79
37.944,79
38.962,75
39.696,74
40.916,73
41.792,71
42.693,70
43.888,68
44.912,73
45.643,72
46.864,74
47.740,72
48.708,71
49.836,66
50.714,70
51.834,82
52.812,82
53.782,64
54.762,60
55.784,74
56.716,70
57.587,68
58.760,69
59.694,78
60.561,74
61.733,76
62.657,78
63.681,78
64.754,75
65.632,75
66.509,82
67.731,79
68.608,83
69.485,79
70.714,83
71.586,83
72.551,82
73.819,87
74.553,81
75.479,81
76.650,80
77.529,79
78.454,81
79.817,79
80.501,78
81.426,77
82.601,78
83.523,71
84.400,59
85.570,63
86.513,63
87.374,67
88.690,65
89.471,58
90.348,48
91.566,55
92.736,58
93.321,61
94.549,68
95.418,69
96.295,76
97.515,73
98.392,78
99.308,79
100.780,81
101.365,77
102.245,77
103.462,78
104.387,79
105.363,78
106.435,78
107.313,77
108.239,78
109.409,82
110.287,70
111.456,69
112.383,77
113.267,74
114.187,64
115.364,73
116.526,81
117.306,81
118.428,80
119.211,81
120.154,80
121.305,80
122.474,78
123.108,77
124.412,75
125.402,69
126.378,67
127.252,69
128.182,76
129.055,74
130.225,73
131.152,74
132.033,76
133.258,76
134.127,73
135.107,73
136.222,75
137.197,77
137.977,74
139.197,61
140.122,55
141.191,67
142.318,79
143.047,76
144.119,83
145.143,82
146.022,80
146.899,79
148.117,79
149.011,81
149.872,80
151.481,79
151.968,73
152.895,75
154.065,77
155.088,76
155.870,76
157.038,79
158.013,79
158.843,80
160.014,84
160.890,77
161.816,75
162.986,75
163.909,75
164.935,76
165.962,78
166.886,77
167.907,75
169.131,74
169.906,82
170.737,81
171.956,80
172.834,79
173.806,79
174.929,82
175.810,78
176.685,80
177.906,81
178.781,80
179.658,81
180.877,83
181.755,82
182.666,81
183.851,81
184.731,78
185.655,78
186.827,77
187.704,77
188.872,77
189.801,77
190.744,77
191.609,79
192.772,75
193.699,74
194.576,78
195.748,79
196.676,81
197.645,80
198.722,79
199.648,78
200.526,77
201.791,81
202.621,79
203.497,81
204.908,84
205.593,76
206.480,79
207.691,81
208.568,81
209.737,82
210.664,81
211.687,81
212.660,79
213.830,78
214.515,78
215.445,75
216.613,73
217.489,81
218.415,76
219.586,79
220.463,77
221.391,74
222.656,73
223.497,74
224.363,74
225.727,71
226.462,72
227.344,74
228.652,78
229.433,82
230.312,80
231.577,82
232.406,81
233.284,77
234.892,79
235.388,78
236.547,70
237.478,67
238.354,68
239.232,76
240.450,74
241.336,73
242.205,69
243.667,70
244.350,70
245.204,79
246.409,74
247.367,66
248.201,69
249.472,76
250.253,72
251.175,72
252.411,71
253.518,73
254.149,71
255.468,70
256.197,73
257.123,73
258.293,75
259.171,79
260.143,81
261.268,82
262.193,81
263.070,82
264.243,80
265.314,77
266.044,80
267.603,79
268.147,81
269.310,76
270.237,76
271.180,77
272.018,82
273.211,80
274.134,76
275.212,74
276.184,74
277.064,78
277.941,83
279.160,79
280.038,80
280.926,83
282.275,77
283.012,77
283.889,80
285.200,82
285.983,81
286.910,78
288.092,79
288.957,78
289.883,78
291.054,77
292.125,80
292.886,78
294.371,77
295.050,80
295.833,76
297.295,74
297.938,77
298.804,75
300.251,74
300.902,76
301.779,78
302.948,72
303.920,75
304.754,77
306.020,80
306.894,84
307.727,80
308.975,79
309.822,81
310.699,81
311.915,81
312.796,81
313.819,76
314.893,79
315.770,83
316.648,79
317.912,80
318.744,80
319.622,82
320.845,77
321.719,80
322.887,82
323.814,76
324.692,79
325.569,82
326.882,79
327.665,81
328.789,83
329.761,79
330.641,82
331.519,79
332.737,76
333.616,77
334.491,78
335.709,79
336.731,77
337.463,79
338.684,79
339.575,79
340.486,78
341.656,80
342.676,78
343.508,80
344.633,76
345.507,77
346.434,78
347.604,79
348.482,77
349.410,76
350.623,77
351.517,79
352.381,81
353.791,78
354.482,78
355.355,77
356.719,77
357.455,76
358.330,72
359.644,78
360.432,82
361.303,81
362.475,84
363.402,81
364.276,79
365.495,73
366.388,76
367.250,75
368.469,71
369.490,75
370.372,78
371.443,77
372.320,78
373.198,74
374.806,69
375.294,68
376.196,74
377.392,76
378.268,78
379.194,77
380.365,78
381.244,80
382.170,75
383.340,78
384.218,81
385.142,78
386.311,78
387.190,81
388.118,77
389.299,80
390.163,79
391.186,75
392.304,79
393.163,76
394.063,80
395.625,79
396.161,76
397.037,77
398.255,77
399.133,79
400.010,77
401.473,75
402.152,77
402.988,79
404.249,79
405.080,76
406.250,75
407.320,73
408.056,72
409.224,81
410.150,78
411.028,69
412.148,59
413.124,61
414.294,63
414.925,72
416.195,74
417.021,74
417.899,75
419.073,76
420.241,77
420.876,75
422.432,75
423.163,75
423.849,73
425.121,71
426.090,76
426.823,75
427.994,78
428.871,78
429.804,75
