df_hash,22ZHK4.9VZJG1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.P9YT
person_label,V19
date_time_start,2025-05-23_10-38-40.608000_+03
date_time_start_unix,1747985920.608
date_time_end,2025-05-23_10-47-26.620000_+03
length_difference_noticed,no

time,battery
13.856,23
23.849,23
33.851,23
43.837,23
53.854,23
63.971,23
73.831,23
83.959,23
93.952,23
103.848,23
113.842,23
123.836,23
133.879,23
143.824,23
153.818,23
163.812,23
173.813,23
183.800,22
193.842,22
203.836,22
213.835,22
223.825,22
233.915,22
243.811,22
253.805,22
263.896,22
273.890,22
283.790,22
293.829,22
303.871,22
313.914,22
323.908,22
333.863,22
343.798,22
353.797,22
363.788,22
373.780,22
383.773,22
393.816,21
403.810,21
413.805,21
423.797,21
433.791,21
443.785,21
453.779,21
463.870,21
473.772,21
483.932,21
493.900,21
503.800,21
513.791,21
