df_hash,22ZHK4.9VZJG1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.P9YT
person_label,V19
date_time_start,2025-05-23_10-38-40.608000_+03
date_time_start_unix,1747985920.608
date_time_end,2025-05-23_10-47-26.620000_+03
length_difference_noticed,no

time,heart_rate
15.880,76
17.081,78
17.956,78
18.828,80
20.048,80
20.924,78
21.827,76
23.023,75
23.898,74
24.824,74
25.994,74
26.871,75
27.798,76
28.971,78
29.943,79
30.772,79
31.948,79
32.870,78
33.745,78
34.915,78
35.842,78
36.719,78
37.938,78
38.817,78
39.693,78
40.912,78
41.789,78
42.690,78
43.885,77
44.768,77
45.640,75
46.859,72
47.737,71
48.696,71
49.833,71
50.711,73
51.639,75
52.807,75
53.709,75
54.613,73
55.781,71
56.707,70
57.584,70
58.754,71
59.680,73
60.558,74
61.728,75
62.654,75
63.535,75
64.750,76
65.628,76
66.505,76
67.724,77
68.602,77
69.479,77
70.698,78
71.576,78
72.464,78
73.675,78
74.549,78
75.476,78
76.646,78
77.523,78
78.449,78
79.622,78
80.497,79
81.423,79
82.594,80
83.520,81
84.397,81
85.567,81
86.494,81
87.371,80
88.548,79
89.467,80
90.344,79
91.563,82
92.470,83
93.318,84
94.538,84
95.414,85
96.292,85
97.511,85
98.388,84
99.304,84
100.486,84
101.362,84
102.240,84
103.459,83
104.337,83
105.360,83
106.432,82
107.310,82
108.236,81
109.406,81
110.284,79
111.214,78
112.380,77
113.257,77
114.183,77
115.354,78
116.233,78
117.161,79
118.329,79
119.205,79
120.133,80
121.301,80
122.233,79
123.105,78
124.389,78
125.205,78
126.374,79
127.248,80
128.175,81
129.052,82
130.222,82
131.148,82
132.027,82
133.245,82
134.122,82
135.037,82
136.219,82
137.100,83
137.974,83
139.192,83
140.071,82
140.963,81
142.170,80
143.044,79
143.924,79
145.140,79
146.018,78
146.895,79
148.114,79
148.991,79
149.869,79
151.477,80
151.965,80
152.891,81
154.062,81
154.942,81
155.865,81
157.035,81
157.916,81
158.839,81
160.009,81
160.886,81
161.812,80
162.983,79
163.863,78
164.789,77
165.956,76
166.883,76
167.764,75
168.935,75
169.883,76
170.734,77
171.953,77
172.830,77
173.713,77
174.926,78
175.804,78
176.682,79
177.901,79
178.778,80
179.655,80
180.874,80
181.752,80
182.661,80
183.848,80
184.725,80
185.652,80
186.822,80
187.699,80
188.632,80
189.795,81
190.730,81
191.599,81
192.769,81
193.695,81
194.573,80
195.743,80
196.669,80
197.548,80
198.717,80
199.643,80
200.520,80
201.726,79
202.617,79
203.494,78
204.718,78
205.590,78
206.468,78
207.687,78
208.564,79
209.734,79
210.660,79
211.566,79
212.431,79
213.643,80
214.512,80
215.438,80
216.608,80
217.486,79
218.412,78
219.582,78
220.459,77
221.386,77
222.557,78
223.483,79
224.359,80
225.531,81
226.456,81
227.333,81
228.507,81
229.429,81
230.307,81
231.529,81
232.403,81
233.281,81
234.525,80
235.377,80
236.271,80
237.473,80
238.351,81
239.228,82
240.447,82
241.325,83
242.202,83
243.446,82
244.347,81
245.201,80
246.394,79
247.323,80
248.198,80
249.469,80
250.246,80
251.172,80
252.395,80
253.515,80
254.146,80
255.324,80
256.193,79
257.120,79
258.290,78
259.167,79
260.093,79
261.263,80
262.190,80
263.067,81
264.237,81
265.166,82
266.041,82
267.212,83
268.137,83
269.102,83
270.233,83
271.174,83
272.015,83
273.207,83
274.124,83
274.974,83
276.181,83
277.058,82
277.936,81
279.155,81
280.033,80
280.923,80
282.140,80
283.006,80
283.884,80
285.104,81
285.980,81
286.906,81
288.077,81
288.954,81
289.880,81
291.050,81
291.931,81
292.881,81
294.045,81
294.922,81
295.827,81
297.004,81
297.925,81
298.801,81
300.247,81
300.897,82
301.775,82
302.945,82
303.875,81
304.749,81
306.016,80
306.858,80
307.722,80
308.959,80
309.819,80
310.696,80
311.879,80
312.792,80
313.711,80
314.889,79
315.766,79
316.644,78
317.897,78
318.740,77
319.618,77
320.838,77
321.714,77
322.594,78
323.810,78
324.688,79
325.565,79
326.787,79
327.661,79
328.785,79
329.758,79
330.635,79
331.513,79
332.731,79
333.609,79
334.487,78
335.705,79
336.610,79
337.460,80
338.679,80
339.557,80
340.483,80
341.653,80
342.531,80
343.458,80
344.627,80
345.504,81
346.430,81
347.600,82
348.478,82
349.404,82
350.575,82
351.500,82
352.378,82
353.551,82
354.474,82
355.352,82
356.524,82
357.448,82
358.325,82
359.499,81
360.422,80
361.299,79
362.469,79
363.395,78
364.273,78
365.492,77
366.369,77
367.247,77
368.465,77
369.344,78
370.224,79
371.439,79
372.317,80
373.194,80
374.417,79
375.290,78
376.193,77
377.387,77
378.264,76
379.190,76
380.360,76
381.238,77
382.164,78
383.334,79
384.212,79
385.138,79
386.308,79
387.186,79
388.112,79
389.285,79
390.159,79
391.124,80
392.256,80
393.158,81
394.059,81
395.622,82
396.156,82
397.034,83
398.211,83
399.129,83
400.007,83
401.469,83
402.106,83
402.982,83
404.153,83
405.077,83
405.958,83
407.177,83
408.051,82
408.953,81
410.147,80
411.024,80
411.907,80
413.121,81
414.000,82
414.878,84
416.097,85
416.975,86
417.852,86
419.068,87
419.972,87
420.872,88
422.073,88
422.954,88
423.846,88
425.021,87
425.897,86
426.820,85
427.990,84
428.867,83
429.794,82
