df_hash,22ZHK4.S8VSPF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9DLG
person_label,V46
date_time_start,2025-10-27_15-17-34.481000_+03
date_time_start_unix,1761563854.481
date_time_end,2025-10-27_15-25-50.085000_+03
length_difference_noticed,no

time,heart_rate
19.635,46
20.464,46
21.752,46
22.563,46
23.486,46
25.046,46
25.534,67
26.707,65
27.679,64
28.535,64
29.385,64
30.851,67
31.481,69
32.408,70
33.626,69
34.631,68
35.357,65
36.556,64
37.477,64
38.356,64
39.574,65
40.476,67
41.432,68
42.573,68
43.425,68
44.303,67
45.473,66
46.399,65
47.276,66
48.495,67
49.373,67
50.300,67
51.472,67
52.593,66
53.468,65
54.446,66
55.445,67
56.428,67
57.514,68
58.301,68
59.318,68
60.439,68
61.366,67
62.194,67
63.364,67
64.290,68
65.217,69
66.391,70
67.267,70
68.190,70
69.312,69
70.309,68
71.126,68
72.383,68
73.220,68
74.089,68
75.358,68
76.234,67
77.063,66
78.321,65
79.160,66
80.380,66
81.257,67
82.133,68
83.354,68
84.230,68
85.164,68
86.056,68
87.203,68
88.225,68
89.007,68
90.225,68
91.134,68
92.029,68
93.199,68
94.125,69
94.955,69
96.222,70
97.051,70
97.928,70
99.488,69
100.024,69
101.000,69
102.169,69
103.047,69
103.973,69
105.094,69
106.069,65
106.901,65
108.068,66
108.946,67
109.875,68
111.115,68
112.066,68
112.860,69
114.016,69
115.091,69
115.819,69
117.040,69
117.964,69
118.842,68
120.012,68
120.889,68
121.839,68
122.986,67
123.863,67
124.789,66
126.353,65
126.837,65
127.763,65
128.933,66
129.811,67
130.737,67
131.907,67
132.784,67
133.711,67
134.881,67
135.758,67
136.685,66
137.855,66
138.786,67
139.658,68
140.831,69
141.755,69
142.634,69
143.813,69
145.209,68
145.612,68
147.266,68
147.706,68
148.586,68
149.798,68
150.684,68
151.576,68
152.773,68
153.651,68
154.560,68
155.746,68
156.623,69
157.566,69
158.720,69
159.892,70
160.523,70
161.714,70
162.620,69
163.497,69
164.667,69
165.618,69
166.471,75
168.082,72
168.567,71
169.445,70
170.716,69
171.541,68
172.418,68
173.637,68
174.517,68
175.396,68
176.615,67
177.488,66
178.396,65
179.585,66
180.465,66
181.393,67
182.559,68
183.436,68
184.366,68
185.532,68
186.514,68
187.336,68
188.506,68
189.432,69
190.312,70
191.480,70
192.406,70
193.284,70
194.454,70
195.380,70
196.257,70
197.525,70
198.354,70
199.284,70
200.450,69
201.327,69
202.206,69
203.451,69
204.302,69
205.374,69
206.401,69
207.275,69
208.168,69
209.372,68
210.251,67
211.175,67
212.345,66
213.223,65
214.151,65
215.324,66
216.261,67
217.123,66
218.293,66
219.221,66
220.096,66
221.271,66
222.193,66
223.070,66
224.312,66
225.166,74
226.073,78
227.263,80
228.140,79
229.066,78
230.236,76
231.114,74
232.040,72
233.210,73
234.088,74
235.014,74
236.184,74
237.061,73
237.988,72
239.158,72
240.084,72
240.964,72
242.131,72
243.061,72
243.935,72
245.197,72
246.032,72
246.952,72
248.080,77
249.037,81
249.905,85
251.101,81
251.979,82
252.857,85
254.075,83
254.953,83
255.830,88
257.049,85
257.928,85
258.807,85
260.053,84
260.900,83
261.827,81
262.996,81
263.874,81
264.800,81
265.995,81
266.848,81
267.820,81
268.947,81
270.214,81
270.748,83
271.918,81
272.844,81
273.722,81
274.892,81
275.818,81
276.744,81
277.869,81
278.794,81
279.669,81
280.888,74
281.765,79
282.665,77
283.862,77
284.740,76
285.617,76
286.835,66
287.713,69
288.639,70
289.810,70
290.833,69
291.615,70
292.783,69
293.664,69
294.587,69
295.758,69
296.683,69
297.562,65
298.731,65
299.657,66
300.534,66
301.949,70
302.633,72
303.803,73
304.727,75
305.604,75
306.482,74
307.701,74
308.597,74
309.504,74
310.674,74
311.578,74
312.478,74
313.651,74
314.526,74
315.458,74
316.622,74
317.499,74
318.443,74
319.596,74
320.532,74
321.399,74
322.593,74
323.496,74
324.468,74
325.543,74
326.470,74
327.347,77
328.567,76
329.443,75
330.321,75
331.540,69
332.443,65
333.295,68
334.514,68
335.394,67
336.272,67
337.487,67
338.368,66
339.242,67
340.461,67
341.338,66
342.265,66
343.483,66
344.312,66
345.262,66
346.408,64
347.384,64
348.213,64
349.821,64
350.359,70
351.310,67
352.360,59
353.380,62
354.160,63
355.330,62
356.256,61
357.133,70
358.303,75
359.230,78
360.107,80
361.337,81
362.281,81
363.081,81
364.300,82
365.177,82
366.059,81
367.274,81
368.193,81
369.029,81
370.303,81
371.125,81
372.056,81
373.221,81
374.102,81
375.025,81
376.342,81
377.074,81
377.999,81
379.169,81
380.095,81
380.973,81
382.142,84
383.069,86
383.946,87
385.116,85
386.042,85
386.943,84
388.090,84
389.016,85
389.894,84
391.112,84
391.990,84
392.868,84
394.086,84
394.964,84
395.841,84
397.387,85
397.986,84
398.864,84
400.054,84
400.911,84
401.838,84
403.012,84
403.885,85
405.107,84
405.985,84
406.907,84
407.785,84
408.955,84
409.881,84
410.763,89
411.929,91
412.855,94
413.733,91
414.951,92
415.829,91
416.710,91
417.950,91
418.803,91
419.680,91
420.899,91
421.780,91
422.712,91
423.873,87
424.751,86
425.676,87
426.860,86
427.724,83
428.650,80
429.821,77
430.746,79
431.626,72
432.794,70
433.724,72
