df_hash,22ZHK4.S8VSPF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9DLG
person_label,V46
date_time_start,2025-10-27_15-17-34.481000_+03
date_time_start_unix,1761563854.481
date_time_end,2025-10-27_15-25-50.085000_+03
length_difference_noticed,no

time,ppg_quality
69.438,95
71.458,103
72.468,102
73.478,100
75.498,98
77.518,104
78.528,105
80.538,105
82.558,100
84.578,100
86.598,101
88.618,101
90.638,94
91.648,92
92.658,95
93.668,98
94.678,101
95.688,100
97.708,93
99.728,89
101.748,92
102.758,93
103.768,92
104.778,90
106.798,94
108.818,92
109.828,97
110.838,100
111.838,103
112.848,103
114.868,101
115.878,100
116.888,102
117.898,105
119.918,110
121.938,106
123.958,103
125.978,107
129.008,107
130.018,107
131.028,106
132.038,104
133.048,104
135.068,106
136.078,106
137.088,107
139.108,103
140.118,100
142.138,102
144.148,107
146.168,106
147.178,102
148.188,98
151.218,105
153.238,105
154.248,101
155.258,97
156.268,95
157.278,98
159.298,104
160.308,101
161.318,97
162.328,94
164.348,92
166.368,86
168.388,77
170.408,74
171.418,76
172.428,79
173.438,83
175.458,92
177.478,100
179.498,99
181.518,104
182.528,105
183.538,104
184.548,103
186.568,100
188.588,105
190.608,110
191.618,108
192.628,104
194.648,104
195.658,107
197.678,108
199.698,104
200.708,106
201.718,108
202.728,111
204.748,107
205.758,104
207.778,108
208.788,110
210.808,108
212.828,103
213.838,102
215.858,103
216.868,105
217.878,97
219.898,80
220.908,72
221.918,70
223.938,71
225.958,55
226.968,42
227.978,41
228.988,40
231.008,66
233.028,66
234.038,63
235.048,67
237.068,71
239.088,62
240.098,39
241.108,41
242.118,35
244.138,21
246.158,24
248.178,31
250.198,51
251.208,43
252.218,44
253.228,51
255.248,55
257.268,45
259.288,51
261.308,49
263.328,36
266.358,23
267.368,26
268.378,21
270.398,18
272.418,21
275.448,29
276.458,27
279.488,29
281.508,40
283.528,58
285.548,68
286.558,71
287.568,78
290.598,64
291.608,54
292.618,49
293.628,39
294.638,42
296.658,56
297.668,51
298.678,56
300.698,52
301.708,49
303.728,57
305.748,46
307.768,42
309.788,46
310.798,60
311.808,70
312.818,72
313.828,65
314.838,62
316.858,70
317.868,63
318.878,64
319.888,72
320.898,69
321.908,67
323.928,103
325.948,110
327.968,114
329.988,108
332.008,97
335.038,43
336.048,54
337.058,64
338.068,68
339.078,67
341.098,68
343.118,70
345.138,71
346.148,72
347.158,52
348.168,32
349.178,20
350.188,19
352.208,19
354.228,7
358.268,17
359.278,30
361.298,43
363.318,50
364.328,60
365.338,82
367.358,95
369.378,80
371.398,75
374.428,81
375.438,68
376.448,68
377.458,63
378.468,66
379.478,67
381.498,61
382.508,48
385.538,36
387.558,48
389.578,61
390.588,60
391.598,59
393.618,58
396.648,63
398.668,49
400.688,30
402.708,63
403.718,82
404.728,70
405.738,64
406.748,60
407.758,61
409.778,48
411.798,35
413.818,1
415.838,15
416.848,23
418.868,37
419.878,41
420.888,48
422.908,61
424.928,74
426.948,62
428.968,58
430.988,62
431.998,65
433.008,50
435.028,22
436.038,32
438.058,46
440.078,57
441.088,60
442.098,66
443.108,75
444.118,84
447.148,108
449.168,104
451.188,107
453.208,102
455.228,102
458.258,103
460.278,103
462.298,103
464.318,105
466.338,103
467.348,102
469.368,108
470.378,109
471.388,106
472.398,103
473.408,102
475.428,108
477.448,118
480.478,111
482.498,97
483.508,89
484.518,78
485.528,68
486.538,67
488.558,52
489.568,33
491.588,14
