df_hash,22ZHK4.S8VSPF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9DLG
person_label,V46
date_time_start,2025-10-27_15-17-34.481000_+03
date_time_start_unix,1761563854.481
date_time_end,2025-10-27_15-25-50.085000_+03
length_difference_noticed,no

time,omega
51.327,0.371
52.258,0.374
53.328,0.375
54.059,0.376
54.839,0.380
55.856,0.376
61.274,0.380
62.105,0.376
62.935,0.380
64.638,0.376
65.415,0.375
67.222,0.375
69.054,0.375
72.684,0.372
74.291,0.368
75.273,0.373
76.144,0.375
80.674,0.368
81.752,0.375
82.382,0.381
82.474,0.375
85.163,0.371
85.943,0.371
86.964,0.371
87.893,0.368
89.543,0.371
90.521,0.371
91.254,0.371
92.180,0.371
92.907,0.375
93.839,0.385
97.350,0.385
97.555,0.385
106.594,0.385
107.490,0.394
108.344,0.394
109.299,0.399
110.133,0.403
111.047,0.405
111.682,0.405
113.487,0.405
115.283,0.406
116.216,0.406
118.716,0.406
119.786,0.407
121.580,0.407
122.453,0.409
123.453,0.412
124.403,0.411
125.246,0.411
127.040,0.411
130.691,0.411
131.424,0.411
135.180,0.411
136.931,0.414
137.670,0.412
140.300,0.410
142.053,0.412
142.980,0.414
143.811,0.414
145.611,0.414
146.827,0.418
147.413,0.418
149.078,0.418
150.148,0.414
150.882,0.412
153.649,0.412
154.493,0.407
156.334,0.403
159.604,0.403
160.481,0.400
161.456,0.397
170.379,0.391
173.984,0.384
178.669,0.384
179.401,0.381
180.227,0.381
184.665,0.378
189.832,0.378
192.275,0.377
196.020,0.372
197.483,0.368
201.919,0.368
202.990,0.368
203.675,0.368
204.407,0.368
212.595,0.368
230.978,0.368
233.504,0.368
237.896,0.373
303.522,0.373
308.591,0.378
326.769,0.379
