df_hash,22ZHK4.QRYGM8
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.36SK
person_label,v140
date_time_start,2026-04-14_16-39-11.053000_+03
date_time_start_unix,1776166751.053
date_time_end,2026-04-14_16-47-59.231000_+03
length_difference_noticed,no

time,rr_int
15.158,9190
15.890,725
16.572,635
16.578,640
17.115,10
17.257,610
17.791,10
18.522,645
18.525,695
19.205,10
19.887,745
19.891,710
20.570,10
21.205,650
21.837,650
21.840,665
22.422,10
23.105,570
23.788,715
24.470,655
25.153,665
25.737,655
26.462,620
26.518,635
27.055,10
27.688,605
28.370,685
29.088,725
29.784,655
29.788,720
29.795,10
30.321,10
30.857,580
31.450,555
32.271,495
34.165,945
34.465,1735
34.615,600
34.908,10
36.171,735
36.174,730
37.153,10
37.390,685
38.121,640
38.124,655
38.807,10
38.855,675
39.486,10
40.169,685
40.753,685
40.758,625
41.440,10
41.583,620
41.973,180
42.557,430
43.240,630
43.923,660
44.507,655
45.223,600
45.727,670
46.311,585
46.322,610
47.043,10
47.433,645
47.458,10
47.531,445
47.677,10
48.606,280
48.609,755
48.798,10
48.802,260
49.778,1025
50.361,15
51.045,590
51.723,655
52.260,640
52.264,630
52.893,10
52.991,600
53.141,270
53.676,370
54.112,10
54.795,580
55.477,650
55.480,695
56.160,10
56.913,745
57.288,710
57.576,10
57.819,680
58.256,210
58.259,440
58.844,10
59.524,625
60.206,645
60.792,635
61.474,645
62.157,710
62.863,705
63.525,665
64.253,695
64.935,665
65.618,715
66.204,660
66.798,640
67.422,610
68.113,610
68.255,655
68.689,10
69.372,650
70.201,715
70.886,730
71.468,700
71.471,655
72.151,10
72.836,660
73.565,690
74.247,715
74.784,675
75.076,620
75.079,285
75.224,15
75.272,15
75.275,10
75.612,265
75.619,200
75.759,75
75.782,15
76.054,10
76.588,285
76.880,650
76.883,220
77.172,10
77.855,325
78.684,710
79.366,810
80.197,725
81.024,810
81.756,780
82.584,790
83.267,725
83.949,710
83.952,740
84.681,10
85.363,730
86.046,700
86.729,700
87.411,680
87.996,655
88.678,650
88.757,670
89.361,10
90.239,730
91.067,770
91.770,815
92.585,795
93.261,785
93.944,700
94.001,665
94.675,10
95.212,660
95.896,665
96.625,690
97.308,650
97.844,680
98.575,660
99.258,680
100.088,720
100.137,755
100.770,10
101.465,690
101.506,660
101.748,355
102.894,290
103.012,885
103.402,10
104.669,475
105.352,1300
105.645,655
106.035,265
106.620,415
106.625,630
106.766,10
106.772,130
106.913,15
106.927,15
106.963,15
106.970,10
106.976,10
107.156,10
107.896,375
108.570,625
109.106,670
109.109,610
109.253,10
109.398,180
109.943,10
110.421,685
111.057,360
111.213,745
111.349,205
111.353,10
111.397,10
111.401,25
111.405,35
111.544,10
112.036,420
112.326,255
113.981,1250
113.986,735
114.127,10
114.130,125
114.234,10
114.274,15
114.277,15
114.281,10
114.811,10
115.639,570
116.327,800
117.053,775
117.735,700
117.753,685
117.917,10
117.930,95
117.937,10
117.942,20
117.947,20
118.478,15
119.102,490
119.832,725
120.671,735
121.489,840
122.172,790
123.001,770
123.830,830
124.561,780
125.288,740
125.926,685
126.609,670
127.313,680
128.168,765
128.317,825
128.851,200
129.127,570
129.681,180
130.216,540
130.948,665
131.631,640
132.312,705
132.324,755
133.142,10
133.970,810
134.799,835
135.492,755
136.214,715
136.895,735
136.899,735
137.578,10
138.312,710
138.992,700
138.998,690
139.698,10
140.362,625
140.503,795
141.186,10
142.015,750
142.238,830
142.243,110
142.258,15
142.262,75
142.310,15
142.328,10
142.356,15
142.360,35
142.365,35
142.368,15
142.746,15
143.433,350
144.257,725
144.940,780
145.769,770
145.819,790
145.915,110
145.918,25
146.356,25
147.192,505
147.231,745
147.350,10
147.865,155
148.599,545
148.696,770
149.377,10
149.967,720
150.790,645
150.939,770
151.522,220
152.204,505
153.082,780
153.717,760
154.290,680
154.452,675
155.025,10
155.812,685
156.649,775
156.699,820
157.469,10
157.473,805
158.224,10
158.984,730
159.663,725
159.717,765
160.395,10
161.124,760
161.759,730
162.442,675
162.495,685
163.177,10
163.856,705
164.685,740
164.738,720
165.402,10
165.416,685
166.073,10
166.951,745
167.610,805
168.293,700
168.975,765
169.706,675
170.389,700
170.392,735
171.071,10
171.074,640
171.774,10
171.903,670
172.339,10
173.022,660
173.713,605
174.387,680
174.390,770
175.264,10
175.267,860
176.191,10
176.923,855
177.604,780
178.433,745
179.115,745
179.949,795
180.773,780
181.504,770
182.041,715
182.724,660
183.455,655
183.991,640
184.674,645
185.405,680
186.087,710
186.793,735
188.185,670
189.013,1390
189.695,760
190.378,705
191.258,815
191.792,620
192.328,730
193.010,605
193.729,640
193.842,675
194.424,10
195.106,685
195.646,715
196.375,655
197.058,670
197.885,725
199.009,790
199.397,810
200.128,735
200.848,655
201.347,660
202.029,640
202.761,650
202.815,670
203.151,10
203.980,415
204.126,845
204.274,260
204.419,10
205.247,275
205.784,705
206.370,610
207.082,605
207.102,675
207.734,10
207.880,670
208.319,225
209.001,410
209.541,625
210.269,630
210.954,655
211.097,740
211.195,140
211.199,25
211.244,15
211.249,20
211.342,30
211.687,355
212.463,960
212.755,250
214.121,630
214.708,695
215.534,590
216.098,755
216.219,685
217.507,10
218.167,1360
218.855,655
219.678,745
219.683,800
