df_hash,22ZHK4.QRYGM8
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.36SK
person_label,v140
date_time_start,2026-04-14_16-39-11.053000_+03
date_time_start_unix,1776166751.053
date_time_end,2026-04-14_16-47-59.231000_+03
length_difference_noticed,no

time,temperature
5.586,34.031
6.529,34.062
7.505,34.062
8.774,34.062
9.504,34.062
10.527,34.094
11.557,34.094
12.525,34.094
13.549,34.094
14.525,34.062
15.549,34.094
16.528,34.094
17.552,34.125
18.575,34.156
19.546,34.156
20.521,34.188
21.544,34.188
22.520,34.219
23.544,34.344
24.519,34.375
25.543,34.406
26.545,34.438
27.541,34.406
28.517,34.375
29.541,34.406
30.519,34.438
31.540,34.438
32.515,34.406
33.541,34.344
34.610,34.312
35.537,34.312
36.514,34.312
37.536,34.344
38.803,34.344
39.535,34.344
40.510,34.312
41.534,34.344
42.509,34.375
43.533,34.406
44.511,34.438
45.532,34.469
46.528,34.469
47.557,34.469
48.508,34.500
49.773,34.500
50.505,34.531
51.528,34.531
52.552,34.531
53.530,34.531
54.503,34.531
55.526,34.562
56.501,34.562
57.566,34.594
58.503,34.625
59.670,34.625
60.499,34.625
61.531,34.656
62.547,34.625
63.522,34.656
64.546,34.656
65.521,34.688
66.789,34.656
67.520,34.688
68.543,34.719
69.813,34.719
70.542,34.812
71.518,34.812
72.541,34.875
73.516,34.875
74.581,34.906
75.616,34.875
76.539,34.938
77.514,34.906
78.538,34.906
79.513,34.906
80.586,34.844
81.520,34.844
82.539,34.750
83.708,34.719
84.559,34.719
85.558,34.719
86.534,34.719
87.509,34.719
88.532,34.719
89.508,34.688
90.559,34.688
91.551,34.719
92.554,34.781
93.532,34.812
94.584,34.844
95.799,34.875
96.536,34.875
97.773,34.938
98.527,34.938
99.507,35.000
100.553,35.000
101.744,35.000
102.525,35.000
103.548,35.000
104.554,35.031
105.499,35.000
106.536,35.031
107.517,35.031
108.521,35.031
109.519,35.031
110.864,35.062
111.552,35.062
112.549,35.062
113.543,35.094
114.518,35.062
115.546,35.062
116.539,35.062
117.541,35.062
118.516,35.062
119.540,35.094
120.661,35.094
121.886,35.219
122.514,35.219
123.537,35.219
124.536,35.219
125.536,35.281
126.513,35.312
127.535,35.281
128.510,35.344
129.534,35.312
130.509,35.344
131.533,35.219
132.508,35.219
133.532,35.219
134.507,35.250
135.581,35.219
136.506,35.219
137.530,35.219
138.505,35.219
139.566,35.219
140.507,35.188
141.527,35.188
142.502,35.188
143.526,35.188
144.501,35.188
145.525,35.188
146.600,35.188
147.524,35.188
148.499,35.219
149.523,35.219
150.548,35.125
151.525,35.156
152.505,35.188
153.521,35.156
154.496,35.156
155.519,35.156
156.643,35.156
157.518,35.156
158.542,35.094
159.517,35.062
160.611,35.188
161.616,35.188
162.552,35.156
163.515,35.188
164.538,35.094
165.517,35.125
166.538,35.188
167.565,35.188
168.537,35.250
169.512,35.250
170.535,35.250
171.766,35.219
172.534,35.250
173.512,35.250
174.554,35.406
175.510,35.406
176.532,35.375
177.507,35.375
178.531,35.375
179.506,35.438
180.534,35.469
181.571,35.500
182.534,35.500
183.504,35.531
184.528,35.531
185.503,35.469
186.528,35.500
187.501,35.531
188.525,35.531
189.500,35.500
190.527,35.500
191.502,35.500
192.523,35.500
193.498,35.469
194.521,35.500
195.497,35.500
196.543,35.531
197.602,35.469
198.520,35.469
199.543,35.469
200.523,35.469
201.496,35.531
202.517,35.500
203.493,35.531
204.516,35.531
205.491,35.531
206.516,35.500
207.636,35.531
208.513,35.500
209.537,35.469
210.513,35.500
211.683,35.438
212.530,35.469
213.535,35.438
214.511,35.469
215.541,35.500
216.509,35.531
217.534,35.562
218.508,35.594
219.532,35.594
220.507,35.594
221.538,35.625
222.511,35.625
223.574,35.656
224.505,35.625
225.585,35.625
226.799,35.625
227.527,35.625
228.507,35.625
229.526,35.656
230.505,35.656
231.557,35.656
232.500,35.656
233.524,35.625
234.525,35.688
235.564,35.656
236.498,35.625
237.525,35.656
238.511,35.656
239.545,35.656
240.519,35.625
241.863,35.594
242.495,35.625
243.552,35.656
244.531,35.625
245.517,35.625
246.572,35.625
247.516,35.625
248.491,35.625
249.561,35.625
250.490,35.625
251.514,35.625
252.930,35.625
253.513,35.625
254.488,35.594
255.526,35.594
256.487,35.625
257.515,35.594
258.534,35.562
259.509,35.562
260.557,35.594
261.536,35.625
262.557,35.531
263.507,35.531
264.541,35.562
265.554,35.594
266.534,35.625
267.665,35.625
268.529,35.656
269.504,35.688
270.527,35.656
271.503,35.688
272.526,35.719
273.894,35.750
274.525,35.781
275.500,35.750
276.524,35.750
277.601,35.719
278.523,35.688
279.518,35.688
280.570,35.688
281.501,35.688
282.520,35.656
283.496,35.656
284.540,35.625
285.494,35.656
286.518,35.625
287.495,35.625
288.911,35.625
289.495,35.625
290.517,35.625
291.492,35.625
292.807,35.688
293.490,35.656
294.514,35.656
295.589,35.594
296.513,35.625
297.500,35.656
298.706,35.688
299.486,35.688
300.510,35.719
301.535,35.656
302.509,35.688
303.633,35.688
304.513,35.688
305.484,35.688
306.555,35.719
307.530,35.656
308.564,35.688
309.555,35.594
310.505,35.594
311.529,35.625
312.503,35.594
313.527,35.625
314.551,35.594
315.526,35.625
316.501,35.625
317.524,35.625
318.500,35.625
