df_hash,22ZHK4.QRYGM8
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.36SK
person_label,v140
date_time_start,2026-04-14_16-39-11.053000_+03
date_time_start_unix,1776166751.053
date_time_end,2026-04-14_16-47-59.231000_+03
length_difference_noticed,no

time,omega
85.516,0.787
87.023,0.786
87.465,0.783
88.160,0.781
88.751,0.771
88.869,0.761
90.347,0.761
91.122,0.761
91.808,0.765
92.614,0.769
93.316,0.771
93.998,0.771
95.410,0.765
98.825,0.765
99.311,0.759
100.135,0.759
100.147,0.759
108.726,0.759
110.547,0.759
123.056,0.759
124.574,0.759
125.302,0.761
127.481,0.761
128.224,0.761
132.392,0.761
134.029,0.765
134.863,0.771
135.545,0.770
136.951,0.770
147.242,0.774
156.697,0.764
159.716,0.764
159.771,0.764
161.249,0.764
161.814,0.764
162.495,0.771
162.548,0.771
163.911,0.771
164.737,0.758
164.795,0.769
165.514,0.765
167.083,0.765
167.762,0.765
174.444,0.765
177.757,0.768
179.170,0.767
180.003,0.765
180.825,0.760
181.570,0.756
184.046,0.752
184.729,0.752
185.466,0.752
186.191,0.756
186.830,0.760
188.202,0.765
199.453,0.765
200.187,0.760
202.328,0.756
202.814,0.756
219.741,0.756
223.631,0.756
224.727,0.756
237.821,0.761
240.843,0.768
247.158,0.764
248.105,0.764
248.651,0.787
248.745,0.791
251.600,0.791
279.358,0.809
281.844,0.829
327.287,0.849
371.841,0.845
395.732,0.829
490.948,0.774
