df_hash,22ZHK4.QRYGM8
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.36SK
person_label,v140
date_time_start,2026-04-14_16-39-11.053000_+03
date_time_start_unix,1776166751.053
date_time_end,2026-04-14_16-47-59.231000_+03
length_difference_noticed,no

time,ppg_quality
58.196,41
59.206,46
61.226,56
62.236,56
63.246,60
64.256,64
65.266,66
67.286,67
69.306,67
70.316,66
71.326,67
72.336,66
74.356,64
76.376,64
78.396,54
79.406,57
80.416,60
82.436,55
83.446,59
85.466,60
86.476,59
87.486,69
89.506,67
90.516,64
91.526,65
92.536,69
94.556,68
96.576,68
98.596,68
99.606,69
100.616,69
101.626,71
102.636,68
105.666,36
107.686,24
109.706,15
115.766,8
116.776,24
117.786,23
118.796,28
120.816,26
122.836,53
124.856,63
126.876,59
129.906,67
130.916,69
131.926,70
133.946,72
134.956,70
136.976,69
137.986,68
141.016,58
143.036,43
145.056,37
147.076,39
149.096,30
150.106,31
151.116,33
152.126,32
154.146,34
156.166,34
158.186,40
160.206,50
161.216,53
162.226,62
163.236,69
165.256,68
167.276,69
169.296,68
170.306,68
171.316,69
172.326,66
174.346,62
176.366,62
178.386,58
180.406,59
181.416,58
182.426,61
183.436,63
185.456,65
187.476,66
189.496,62
190.506,61
192.526,64
193.536,65
194.546,63
196.566,54
197.576,54
198.586,56
200.606,57
202.626,53
204.646,36
205.656,31
207.676,14
208.686,12
209.696,10
211.716,9
214.746,3
215.756,12
218.786,25
220.806,34
222.826,37
223.836,46
225.856,43
226.866,44
229.896,34
230.906,17
231.916,24
233.936,22
235.956,25
236.966,17
237.976,2
238.986,8
241.006,16
243.026,9
245.046,13
247.066,25
249.086,37
250.096,47
252.116,64
254.136,74
256.156,96
258.176,90
259.186,96
260.196,93
261.196,87
263.216,91
265.236,51
267.256,45
269.276,9
271.296,2
272.306,5
273.316,2
274.326,6
276.346,18
278.366,43
280.386,55
281.396,55
283.416,50
284.426,46
285.436,45
287.456,39
289.476,16
291.496,11
293.516,10
295.536,28
296.546,30
298.566,43
300.586,57
302.606,64
303.616,66
304.626,69
306.646,60
307.656,66
309.676,71
310.686,73
311.696,81
313.716,66
315.736,30
317.756,16
318.766,8
320.786,2
324.826,6
325.836,19
327.856,37
328.866,34
329.876,29
331.896,36
333.916,50
335.936,56
337.956,43
338.966,42
339.976,48
341.996,46
343.006,39
345.026,25
347.046,27
349.066,32
351.086,28
354.116,27
356.136,22
358.156,29
360.176,17
362.196,33
363.206,42
364.216,56
365.226,51
366.236,48
367.246,45
369.266,53
371.286,54
373.306,17
374.316,4
376.336,25
378.356,31
380.376,21
382.396,51
383.406,64
384.416,59
387.446,38
389.466,32
391.486,23
392.496,21
393.506,25
394.516,30
396.536,28
397.546,24
398.556,23
400.576,25
402.596,30
404.616,55
406.636,35
407.646,31
409.666,41
410.676,47
413.706,2
414.716,16
415.726,30
417.746,52
419.766,34
420.776,25
421.786,24
422.796,26
424.816,19
426.836,7
427.846,8
429.866,18
430.876,21
432.896,41
434.916,62
435.926,71
437.946,91
439.966,81
441.986,68
444.006,51
445.016,51
446.026,51
448.046,39
449.056,38
451.076,49
453.096,55
455.116,51
457.136,45
458.146,39
459.156,38
460.166,34
461.176,36
462.186,29
464.206,27
466.226,18
468.246,11
469.256,19
470.266,27
471.276,26
473.296,18
475.316,8
477.336,39
479.356,4
482.386,6
484.406,30
485.416,38
486.426,33
488.446,55
489.456,70
491.476,73
492.486,66
493.496,62
495.516,55
497.536,47
498.546,38
499.556,27
501.576,17
502.586,22
504.606,20
506.626,16
508.646,28
509.656,39
510.666,59
512.686,52
513.696,48
515.716,31
517.726,3
