df_hash,22ZHK4.QRYGM8
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.36SK
person_label,v140
date_time_start,2026-04-14_16-39-11.053000_+03
date_time_start_unix,1776166751.053
date_time_end,2026-04-14_16-47-59.231000_+03
length_difference_noticed,no

time,acc_mag
5.156,0.947
5.186,0.955
5.216,0.948
5.246,0.952
5.276,0.946
5.306,0.954
5.336,0.950
5.366,0.947
5.396,0.947
5.426,0.950
5.456,0.947
5.486,0.951
5.516,0.950
5.546,0.949
5.576,0.953
5.606,0.948
5.636,0.947
5.666,0.949
5.696,0.953
5.726,0.948
5.756,0.950
5.786,0.949
5.816,0.946
5.846,0.952
5.876,0.951
5.906,0.947
5.936,0.950
5.966,0.951
5.996,0.950
6.026,0.949
6.056,0.949
6.086,0.947
6.116,0.950
6.146,0.954
6.176,0.955
6.206,0.945
6.236,0.954
6.266,0.947
6.296,0.943
6.326,0.945
6.356,0.952
6.386,0.950
6.416,0.952
6.446,0.948
6.476,0.949
6.506,0.948
6.536,0.946
6.566,0.949
6.596,0.951
6.626,0.949
6.656,0.950
6.686,0.949
6.716,0.953
6.746,0.950
6.776,0.953
6.806,0.951
6.836,0.943
6.866,0.952
6.896,0.948
6.926,0.946
6.956,0.948
6.986,0.949
7.016,0.949
7.046,0.951
7.076,0.951
7.106,0.950
7.136,0.945
7.166,0.948
7.196,0.953
7.226,0.953
7.256,0.953
7.286,0.945
7.316,0.948
7.346,0.951
7.376,0.950
7.406,0.951
7.436,0.948
7.466,0.945
7.496,0.959
7.526,0.946
7.556,0.947
7.586,0.947
7.616,0.951
7.646,0.949
7.676,0.945
7.706,0.950
7.736,0.950
7.766,0.943
7.796,0.951
7.826,0.948
7.856,0.949
7.886,0.948
7.916,0.949
7.946,0.951
7.976,0.949
8.006,0.953
8.036,0.950
8.066,0.949
8.096,0.950
8.126,0.953
8.156,0.948
8.186,0.949
8.216,0.949
8.246,0.950
8.276,0.949
8.306,0.950
8.336,0.950
8.366,0.950
8.396,0.952
8.426,0.942
8.456,0.948
8.486,0.950
8.516,0.950
8.546,0.949
8.576,0.951
8.606,0.946
8.636,0.953
8.666,0.949
8.696,0.955
8.726,0.951
8.756,0.950
8.786,0.950
8.816,0.950
8.846,0.945
8.876,0.949
8.906,0.952
8.936,0.950
8.966,0.955
8.996,0.950
9.026,0.948
9.056,0.951
9.086,0.946
9.116,0.951
9.146,0.953
9.176,0.950
9.206,0.949
9.236,0.955
9.266,0.954
9.296,0.947
9.326,0.951
9.356,0.950
9.386,0.951
9.416,0.953
9.446,0.956
9.476,0.944
9.506,0.951
9.536,0.955
9.566,0.948
9.596,0.949
9.626,0.949
9.656,0.950
9.686,0.953
9.716,0.952
9.746,0.951
9.776,0.949
9.806,0.950
9.836,0.949
9.866,0.950
9.896,0.956
9.926,0.949
9.956,0.949
9.986,0.951
10.016,0.953
10.046,0.953
10.076,0.948
10.106,0.948
10.136,0.949
10.166,0.948
10.196,0.956
10.226,0.956
10.256,0.944
10.286,0.953
10.316,0.954
10.346,0.946
10.376,0.952
10.406,0.952
10.436,0.953
10.466,0.949
10.496,0.953
10.526,0.949
10.556,0.952
10.586,0.950
10.616,0.947
10.646,0.950
10.676,0.953
10.706,0.943
10.736,0.952
10.766,0.953
10.796,0.952
10.826,0.950
10.856,0.952
10.886,0.947
10.916,0.952
10.946,0.954
10.976,0.954
11.006,0.948
11.036,0.955
11.066,0.953
11.096,0.945
11.126,0.952
11.156,0.950
11.186,0.948
11.216,0.949
11.246,0.952
11.276,0.949
11.306,0.952
11.336,0.952
11.366,0.947
11.396,0.949
11.426,0.948
11.456,0.952
11.486,0.950
11.516,0.946
11.546,0.951
11.576,0.950
11.606,0.953
11.636,0.953
11.666,0.949
11.696,0.947
11.726,0.955
11.756,0.948
11.786,0.947
11.816,0.950
11.846,0.952
11.876,0.943
11.906,0.952
11.936,0.949
11.966,0.954
11.996,0.953
12.026,0.949
12.056,0.946
12.086,0.953
12.116,0.955
12.146,0.949
12.176,0.947
12.206,0.951
12.236,0.950
12.266,0.952
12.296,0.951
12.326,0.953
12.356,0.950
12.386,0.956
12.416,0.952
12.446,0.950
12.476,0.951
12.506,0.953
12.536,0.951
12.566,0.952
12.596,0.949
12.626,0.952
12.656,0.955
12.686,0.950
12.716,0.947
12.746,0.951
12.776,0.954
12.806,0.952
12.836,0.949
12.866,0.950
12.896,0.949
12.926,0.952
12.956,0.953
12.986,0.954
13.016,0.946
13.046,0.955
13.076,0.953
13.106,0.948
13.136,0.954
13.166,0.951
13.196,0.954
13.226,0.952
13.256,0.948
13.286,0.952
13.316,0.953
13.346,0.948
13.376,0.951
13.406,0.953
13.436,0.957
13.466,0.952
13.496,0.950
13.526,0.947
13.556,0.956
13.586,0.950
13.616,0.946
13.646,0.951
13.676,0.952
13.706,0.957
13.736,0.947
13.766,0.949
13.796,0.951
13.826,0.946
13.856,0.955
13.886,0.950
13.916,0.952
13.946,0.952
13.976,0.957
14.006,0.948
14.036,0.950
14.066,0.947
14.096,0.954
14.126,0.954
14.156,0.950
14.186,0.947
14.216,0.950
14.246,0.953
14.276,0.950
14.306,0.951
14.336,0.949
14.366,0.949
14.396,0.958
14.426,0.948
14.456,0.949
14.486,0.951
14.516,0.950
