df_hash,22ZHK4.QRYGM8
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.36SK
person_label,v140
date_time_start,2026-04-14_16-39-11.053000_+03
date_time_start_unix,1776166751.053
date_time_end,2026-04-14_16-47-59.231000_+03
length_difference_noticed,no

time,battery
11.551,97
21.448,97
31.442,97
41.436,97
51.433,96
61.429,96
71.420,96
81.466,96
91.411,96
101.441,96
111.547,96
121.464,96
131.461,96
141.430,95
151.477,95
161.419,95
171.413,95
181.411,95
191.402,95
201.396,95
211.390,95
221.534,95
231.434,95
241.464,94
251.416,94
261.532,94
271.408,94
281.421,94
291.479,94
301.485,94
311.431,94
321.425,94
331.468,94
341.418,94
351.408,93
361.415,93
371.447,93
381.594,93
391.384,93
401.388,93
411.373,93
421.470,93
431.410,93
441.414,93
451.398,93
461.392,93
471.438,93
481.381,92
491.378,92
501.369,92
511.363,92
521.406,92
