df_hash,22ZHK4.QRYGM8
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.36SK
person_label,v140
date_time_start,2026-04-14_16-39-11.053000_+03
date_time_start_unix,1776166751.053
date_time_end,2026-04-14_16-47-59.231000_+03
length_difference_noticed,no

time,quality
8.165,100
9.214,100
10.335,100
11.119,100
12.045,0
12.927,0
14.092,0
15.019,29
16.136,50
17.070,55
17.992,52
18.866,61
20.182,63
20.964,57
21.989,62
23.059,58
23.963,60
24.830,71
26.059,73
27.005,73
27.789,73
29.008,68
29.886,69
30.762,63
31.981,14
32.885,0
33.788,0
34.957,24
35.832,20
37.149,16
37.974,26
38.862,62
39.733,68
40.904,67
41.780,72
42.999,69
43.877,68
45.194,65
45.686,67
46.852,70
47.778,61
48.655,44
49.835,24
50.751,31
51.629,37
52.847,34
53.728,41
54.605,52
55.828,69
56.708,56
57.726,46
58.796,53
59.676,67
60.553,61
61.769,70
62.649,75
63.574,75
64.744,76
65.667,81
66.548,79
67.721,72
68.595,68
69.522,75
70.692,65
71.569,62
72.497,76
73.667,82
74.591,76
75.518,69
76.639,62
77.520,40
78.444,52
79.614,30
80.541,31
81.418,44
82.637,62
83.514,78
84.391,74
85.565,71
86.488,76
87.365,79
88.593,72
89.462,74
90.531,73
91.559,58
92.438,48
93.527,69
94.532,72
95.507,52
96.528,49
97.508,73
98.383,82
99.502,83
100.526,73
101.403,64
102.235,51
103.457,50
104.335,52
105.260,35
106.430,25
107.307,0
108.234,23
109.452,0
110.281,0
111.208,47
112.519,48
113.265,29
114.227,0
115.349,31
116.227,48
117.153,50
118.420,53
119.202,55
120.130,60
121.301,61
122.321,51
123.111,59
124.272,73
125.199,81
126.075,70
127.262,55
128.286,61
129.098,57
130.223,55
131.147,60
132.025,48
133.196,53
134.120,52
135.094,45
136.167,67
137.337,75
137.971,70
139.191,67
140.069,69
140.946,68
142.164,65
143.044,53
143.920,58
145.139,63
146.016,70
147.187,65
148.112,68
148.991,70
149.962,68
151.378,69
151.964,72
152.841,65
154.061,63
154.938,66
155.868,64
157.179,63
157.913,55
158.838,59
160.011,72
160.887,76
161.910,76
162.985,78
164.151,76
164.834,80
165.994,88
166.839,82
168.160,81
168.929,75
169.857,77
170.734,74
171.950,67
172.831,66
173.707,66
174.880,71
175.812,44
176.682,31
177.851,43
178.778,65
179.944,69
181.069,77
181.753,84
182.629,74
183.799,49
185.118,50
185.607,70
186.919,74
187.702,71
188.579,71
189.796,71
190.976,70
191.551,55
192.795,53
193.658,45
194.573,52
195.792,54
196.621,74
197.596,81
198.718,72
199.639,63
200.518,67
201.691,60
202.569,44
203.471,23
204.666,0
205.543,0
206.471,0
207.643,0
208.565,0
209.457,45
210.613,68
211.568,70
212.417,58
213.587,23
214.465,30
215.391,33
216.568,25
217.441,21
218.367,46
219.539,54
220.458,51
221.390,59
222.561,56
223.438,41
224.313,42
225.546,49
226.455,36
227.286,37
228.457,27
229.383,26
230.403,0
231.529,0
232.385,0
233.236,41
234.456,42
235.334,35
236.224,0
237.475,24
238.305,27
239.276,43
240.413,49
241.375,67
242.158,52
243.378,55
244.255,39
245.281,48
246.351,54
247.373,55
248.201,47
249.515,46
250.395,41
251.152,52
252.299,42
253.178,38
254.103,0
255.275,0
256.149,37
257.074,0
258.247,0
259.122,21
260.341,28
261.219,27
262.483,41
263.022,52
264.193,36
265.120,31
265.996,34
267.167,32
268.094,0
268.973,30
270.170,0
271.106,7
272.397,1
273.169,0
274.040,12
274.918,0
276.137,2
277.016,0
277.892,0
279.113,47
279.989,47
281.121,46
282.230,48
282.969,63
283.839,68
285.059,61
285.982,43
286.862,42
288.032,36
288.970,38
289.836,33
291.056,37
291.884,40
292.956,36
293.984,31
294.908,0
295.786,0
296.978,0
297.883,7
298.760,26
299.957,36
300.855,35
302.170,1
302.999,0
303.828,0
304.706,4
305.927,0
306.802,0
307.949,0
309.044,0
309.778,0
310.991,10
311.969,0
312.750,0
313.628,0
314.798,28
315.749,23
316.695,30
317.820,35
318.698,32
319.575,25
320.794,18
321.964,16
322.549,25
323.779,22
324.649,0
325.571,0
326.744,31
327.622,35
328.568,38
329.717,36
330.595,0
331.517,2
332.933,6
333.569,0
334.490,0
335.664,1
336.590,3
337.419,0
338.642,0
339.756,9
340.441,17
341.708,9
342.537,26
343.415,0
344.585,38
345.490,41
346.391,33
347.560,31
348.436,0
349.363,0
350.533,0
351.459,0
352.341,33
353.555,31
354.433,23
355.370,27
356.481,0
357.410,0
358.285,0
359.505,25
360.381,0
361.402,0
362.433,22
363.357,18
364.236,18
365.405,25
366.331,48
367.208,52
368.428,0
369.351,3
370.326,5
371.399,9
372.386,1
373.159,32
374.373,33
375.251,41
376.271,39
377.349,37
378.224,29
379.104,44
380.513,34
381.506,0
382.125,33
383.295,26
384.173,39
385.075,48
386.268,38
387.146,9
388.364,40
389.243,0
390.125,0
391.052,0
392.216,0
393.486,0
394.024,0
395.194,40
396.118,40
397.146,20
398.261,22
399.190,20
399.968,0
401.140,8
402.065,15
402.942,0
404.113,13
405.330,0
406.013,0
407.086,0
408.255,0
408.889,0
410.089,32
410.990,0
412.253,0
413.957,31
414.885,33
416.005,35
417.857,30
419.027,41
419.953,36
420.783,35
422.001,35
422.879,36
423.954,29
424.975,33
