df_hash,22ZHK4.LDJS1X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.K7SC
person_label,V9
date_time_start,2025-05-22_11-15-08.285000_+03
date_time_start_unix,1747901708.285
date_time_end,2025-05-22_11-23-57.022000_+03
length_difference_noticed,no

time,acc_mag
15.930,0.972
15.960,0.979
15.990,0.984
16.020,0.987
16.050,0.994
16.080,0.986
16.110,0.988
16.140,0.997
16.170,1.000
16.200,1.000
16.230,0.988
16.260,0.994
16.290,0.994
16.320,0.994
16.350,0.982
16.380,0.983
16.410,0.988
16.440,0.986
16.470,0.991
16.500,0.996
16.530,0.989
16.560,0.993
16.590,0.995
16.620,0.985
16.650,0.987
16.680,0.986
16.710,0.983
16.740,0.982
16.770,0.988
16.800,0.994
16.830,0.999
16.860,0.999
16.890,0.999
16.920,0.999
16.950,1.003
16.980,1.018
17.010,1.000
17.040,0.976
17.070,0.972
17.100,0.973
17.130,0.978
17.160,0.980
17.190,0.989
17.220,0.994
17.250,0.991
17.280,0.991
17.310,0.987
17.340,0.992
17.370,0.994
17.400,0.994
17.430,0.997
17.460,0.993
17.490,0.989
17.520,0.979
17.550,0.985
17.580,1.001
17.610,1.003
17.640,0.991
17.670,0.990
17.700,0.998
17.730,0.994
17.760,0.991
17.790,0.992
17.820,0.982
17.850,0.995
17.880,0.993
17.910,0.995
17.940,0.986
17.970,0.989
18.000,0.989
18.030,0.989
18.060,0.998
18.090,0.994
18.120,0.999
18.150,0.994
18.180,1.015
18.210,1.028
18.240,1.009
18.270,0.981
18.300,0.951
18.330,0.960
18.360,0.973
18.390,0.973
18.420,0.980
18.450,1.005
18.480,1.019
18.510,1.014
18.540,1.000
18.570,0.998
18.600,0.994
18.630,0.991
18.660,0.996
18.690,0.981
18.720,0.981
18.750,0.991
18.780,0.993
18.810,0.996
18.840,0.997
18.870,1.014
18.900,0.998
18.930,0.990
18.960,0.992
18.990,0.997
19.020,0.985
19.050,0.993
19.080,0.997
19.110,0.992
19.140,0.988
19.170,0.991
19.200,0.995
19.230,0.999
19.260,0.995
19.290,0.997
19.320,0.991
19.350,0.989
19.380,1.000
19.410,0.992
19.440,0.994
19.470,0.988
19.500,0.992
19.530,0.998
19.560,0.995
19.590,0.993
19.620,0.994
19.650,0.995
19.680,0.989
19.710,0.992
19.740,0.995
19.770,0.985
19.800,0.994
19.830,0.992
19.860,0.991
19.890,0.995
19.920,0.998
19.950,1.001
19.980,0.997
20.010,0.996
20.040,1.000
20.070,0.997
20.100,0.998
20.130,1.001
20.160,1.011
20.190,0.994
20.220,0.985
20.250,0.990
20.280,0.975
20.310,0.983
20.340,0.984
20.370,0.989
20.400,0.989
20.430,0.997
20.460,1.003
20.490,0.998
20.520,0.994
20.550,0.995
20.580,0.991
20.610,0.992
20.640,0.990
20.670,0.992
20.700,0.992
20.730,0.991
20.760,0.993
20.790,0.996
20.820,0.999
20.850,0.998
20.880,1.000
20.910,0.997
20.940,1.002
20.970,1.001
21.000,0.997
21.030,0.995
21.060,0.992
21.090,0.989
21.120,0.991
21.150,0.992
21.180,0.995
21.210,0.996
21.240,1.001
21.270,0.998
21.300,0.996
21.330,0.997
21.360,0.996
21.390,0.992
21.420,0.993
21.450,0.990
21.480,0.999
21.510,0.994
21.540,0.993
21.570,0.998
21.600,0.997
21.630,1.001
21.660,0.995
21.690,0.996
21.720,0.993
21.750,1.001
21.780,1.002
21.810,1.000
21.840,1.000
21.870,1.005
21.900,0.997
21.930,1.002
21.960,1.003
21.990,0.998
22.020,0.983
22.050,0.978
22.080,0.971
22.110,0.983
22.140,0.997
22.170,0.997
22.200,1.002
22.230,1.004
22.260,0.997
22.290,0.999
22.320,0.997
22.350,0.996
22.380,1.001
22.410,0.995
22.440,0.990
22.470,0.994
22.500,1.002
22.530,0.993
22.560,0.996
22.590,0.996
22.620,0.997
22.650,0.995
22.680,0.991
22.710,0.979
22.740,0.978
22.770,0.992
22.800,1.010
22.830,1.020
22.860,1.000
22.890,0.996
22.920,0.995
22.950,1.002
22.980,1.008
23.010,1.002
23.040,0.995
23.070,0.999
23.100,1.001
23.130,0.995
23.160,0.997
23.190,1.000
23.220,0.997
23.250,0.990
23.280,0.991
23.310,1.000
23.340,1.003
23.370,1.005
23.400,1.003
23.430,0.998
23.460,0.997
23.490,0.998
23.520,0.995
23.550,0.997
23.580,1.000
23.610,1.004
23.640,1.000
23.670,0.998
23.700,0.999
23.730,0.997
23.760,1.000
23.790,1.002
23.820,0.999
23.850,0.999
23.880,1.004
23.910,1.000
23.940,0.998
23.970,1.000
24.000,0.999
24.030,0.998
24.060,0.999
24.090,0.997
24.120,0.995
24.150,0.999
24.180,1.001
24.210,0.997
24.240,0.993
24.270,1.001
24.300,1.003
24.330,1.003
24.360,0.997
24.390,0.996
24.420,1.000
24.450,0.999
24.480,0.998
24.510,0.997
24.540,0.998
24.570,0.997
24.600,1.005
24.630,1.003
24.660,1.000
24.690,0.998
24.720,1.001
24.750,0.998
24.780,0.997
24.810,0.999
24.840,0.998
24.870,0.996
24.900,0.997
24.930,0.998
24.960,1.000
24.990,0.998
25.020,0.991
25.050,0.997
25.080,1.003
25.110,1.000
25.140,1.000
25.170,1.000
25.200,0.994
25.230,1.002
25.260,0.999
25.290,1.001
25.320,0.999
25.350,1.000
25.380,0.993
25.410,1.002
25.440,1.000
25.470,0.992
25.500,0.999
25.530,0.997
25.560,0.999
25.590,1.001
25.620,1.002
25.650,1.001
25.680,0.999
25.710,1.000
25.740,0.998
25.770,1.003
25.800,1.004
25.830,1.001
25.860,1.000
