df_hash,22ZHK4.LDJS1X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.K7SC
person_label,V9
date_time_start,2025-05-22_11-15-08.285000_+03
date_time_start_unix,1747901708.285
date_time_end,2025-05-22_11-23-57.022000_+03
length_difference_noticed,no

time,ppg_quality
58.525,124
59.535,128
60.545,127
62.565,122
64.585,121
65.595,120
67.605,119
68.615,120
71.645,119
73.665,119
74.675,123
75.685,126
77.705,125
79.725,123
81.745,125
83.765,123
84.775,123
85.785,122
86.795,120
87.805,120
89.825,119
90.835,116
92.855,117
94.875,112
95.885,111
96.895,115
98.915,118
100.935,120
101.945,121
103.965,124
104.975,128
108.005,123
109.015,123
110.025,124
112.045,124
114.065,119
116.085,120
118.105,122
120.125,121
122.145,123
123.155,123
125.175,122
127.195,118
129.215,119
131.235,114
133.255,117
134.265,114
135.275,113
136.285,117
137.295,117
139.315,112
140.325,111
142.345,106
144.365,104
145.375,102
146.385,100
148.405,100
150.425,102
152.445,108
154.465,112
155.475,114
157.495,116
159.515,117
161.535,119
163.555,115
165.575,120
167.595,115
168.605,116
169.615,118
170.625,117
171.635,115
172.645,115
174.665,112
175.675,109
176.685,110
178.705,110
180.725,107
181.735,106
182.745,107
183.755,107
184.765,111
186.785,112
187.795,110
188.805,112
189.815,115
191.835,122
192.845,122
193.855,122
195.875,124
197.895,125
199.915,124
200.925,121
201.935,117
202.945,117
203.955,119
205.975,119
206.985,119
209.005,120
210.015,118
211.025,117
213.045,119
215.065,114
217.085,116
219.105,117
220.115,116
221.125,120
223.145,121
224.155,120
225.165,124
226.175,127
228.195,124
230.215,127
232.235,121
234.255,127
236.275,122
237.285,121
238.295,124
239.305,127
240.315,126
241.325,126
243.345,127
245.365,127
247.385,128
248.395,129
249.405,128
250.415,130
251.425,130
253.445,124
254.455,122
255.465,123
257.485,121
258.495,116
260.515,107
262.535,97
263.545,97
264.555,95
266.575,91
267.585,92
269.605,92
270.615,96
271.625,103
272.635,111
273.645,113
275.665,113
277.685,113
278.695,115
279.705,119
280.715,118
281.725,115
283.745,113
285.765,113
287.785,114
288.795,117
289.805,118
290.815,120
292.835,121
293.845,123
294.855,124
296.875,122
298.895,120
300.915,122
301.925,124
302.935,122
304.955,117
306.975,121
307.985,118
308.995,114
310.005,112
312.025,111
314.045,109
316.065,108
317.075,108
318.085,109
320.105,109
321.115,108
322.125,109
323.135,112
324.145,115
325.155,114
327.175,110
329.195,118
331.215,121
333.235,115
335.255,121
336.265,125
337.275,126
340.305,118
341.315,120
342.325,124
344.345,122
346.365,118
348.385,118
350.405,116
352.425,111
353.435,109
355.455,111
357.475,105
359.495,111
361.515,110
363.535,113
364.545,116
365.555,118
367.575,119
368.585,118
370.605,118
371.615,119
372.625,118
374.645,113
376.665,113
377.675,113
378.685,114
379.695,114
380.705,114
381.715,116
383.735,117
385.755,115
387.775,121
389.795,120
391.815,117
393.835,121
395.855,119
397.875,116
398.885,118
399.895,121
400.905,124
401.915,123
402.925,120
404.945,122
406.965,126
408.985,121
411.005,116
413.025,120
415.045,122
416.055,118
417.065,116
418.075,117
420.095,116
422.115,112
424.135,101
425.145,102
426.155,101
428.175,92
430.195,90
431.205,89
433.225,86
435.245,88
437.265,90
439.285,80
440.295,71
442.315,65
443.325,64
446.355,63
447.365,63
448.375,71
450.395,96
452.415,107
454.435,108
455.445,109
456.455,112
458.475,117
459.485,116
461.505,113
462.515,113
463.525,114
465.545,112
466.555,110
467.565,108
469.585,108
470.595,107
471.605,106
472.615,106
474.635,108
476.655,112
478.675,115
480.695,115
482.715,117
483.725,117
484.735,117
485.745,116
486.755,117
488.775,118
490.795,116
491.805,114
493.825,117
495.845,120
497.865,119
498.875,116
499.885,113
500.895,112
501.905,108
502.915,106
503.925,103
505.945,97
506.955,96
507.965,97
508.975,96
510.995,95
513.015,104
515.035,107
516.045,110
517.055,110
519.075,108
520.085,111
522.105,114
524.125,109
526.145,139
