df_hash,22ZHK4.TV3FRY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BYSR
person_label,V149
date_time_start,2026-06-08_17-46-39.600000_+03
date_time_start_unix,1780922799.6
date_time_end,2026-06-08_17-58-20.159000_+03
length_difference_noticed,no

time,temperature
5.341,35.625
6.316,35.594
7.341,35.594
8.316,35.594
9.340,35.562
10.314,35.594
11.343,35.562
12.313,35.531
13.339,35.531
14.606,35.562
15.335,35.531
16.407,35.562
17.383,35.594
18.311,35.625
19.722,35.625
20.308,35.625
21.380,35.625
22.308,35.656
23.355,35.656
24.409,35.625
25.329,35.688
26.383,35.688
27.334,35.656
28.303,35.688
29.341,35.656
30.441,35.656
31.331,35.625
32.322,35.625
33.328,35.594
34.383,35.625
35.372,35.625
36.364,35.625
37.322,35.625
38.302,35.625
39.471,35.625
40.345,35.625
41.320,35.656
42.541,35.688
43.318,35.688
44.609,35.719
45.317,35.719
46.295,35.750
47.562,35.750
48.291,35.750
49.315,35.750
50.339,35.750
51.313,35.750
52.337,35.719
53.314,35.719
54.336,35.719
55.315,35.688
56.339,35.688
57.311,35.719
58.382,35.688
59.457,35.688
60.381,35.719
61.308,35.688
62.331,35.719
63.306,35.719
64.330,35.750
65.354,35.719
66.347,35.750
67.304,35.781
68.327,35.781
69.449,35.781
70.326,35.750
71.301,35.844
72.325,35.781
73.303,35.781
74.327,35.750
75.299,35.719
76.335,35.688
77.297,35.656
78.325,35.656
79.299,35.656
80.615,35.656
81.303,35.656
82.321,35.688
83.489,35.688
84.464,35.688
85.344,35.688
86.365,35.688
87.293,35.688
88.315,35.688
89.347,35.656
90.314,35.656
91.289,35.656
92.316,35.656
93.342,35.656
94.607,35.625
95.482,35.625
96.311,35.562
97.532,35.562
98.312,35.594
99.391,35.594
100.308,35.562
101.335,35.594
102.307,35.625
103.339,35.500
104.403,35.562
105.645,35.562
106.329,35.594
107.332,35.594
108.351,35.625
109.473,35.625
110.307,35.625
111.333,35.594
112.447,35.594
113.383,35.688
114.476,35.688
115.323,35.719
116.299,35.750
117.325,35.750
118.297,35.750
119.370,35.719
120.493,35.750
121.330,35.750
122.302,35.719
123.341,35.719
124.363,35.688
125.320,35.750
126.292,35.750
127.316,35.719
128.296,35.719
129.315,35.750
130.582,35.719
131.314,35.750
132.295,35.781
133.328,35.812
134.295,35.812
135.704,35.750
136.286,35.719
137.358,35.719
138.285,35.750
139.308,35.750
140.355,35.812
141.307,35.812
142.291,35.781
143.310,35.781
144.305,35.781
145.556,35.781
146.286,35.812
147.323,35.844
148.376,35.812
149.302,35.812
150.327,35.812
151.307,35.781
152.325,35.812
153.301,35.812
154.327,35.750
155.397,35.781
156.323,35.781
157.298,35.781
158.371,35.875
159.332,35.875
160.321,35.875
161.296,35.938
162.377,35.938
163.298,35.938
164.340,35.969
165.293,35.969
166.317,35.938
167.294,35.938
168.315,35.875
169.291,35.906
170.315,35.875
171.290,35.844
172.314,35.875
173.288,35.875
174.312,35.844
175.535,35.844
176.311,35.875
177.488,35.844
178.310,35.812
179.674,35.781
180.314,35.812
181.287,35.781
182.307,35.781
183.297,35.750
184.306,35.750
185.674,35.719
186.314,35.719
187.280,35.719
188.303,35.750
189.327,35.750
190.303,35.719
191.277,35.750
192.399,35.750
193.280,35.781
194.300,35.781
195.324,35.812
196.300,35.812
197.323,35.781
198.299,35.812
199.321,35.812
200.404,35.812
201.324,35.781
202.298,35.781
203.319,35.844
204.394,35.844
205.318,35.938
206.342,35.938
207.317,35.938
208.295,35.938
209.413,35.906
210.311,35.938
211.363,36.062
212.289,36.062
213.313,36.031
214.291,36.031
215.324,35.938
216.335,35.938
217.312,35.938
218.334,35.969
219.612,36.000
220.482,36.031
221.378,35.906
222.291,35.906
223.356,35.906
224.282,35.938
225.354,35.906
226.281,35.906
227.353,35.906
228.293,35.906
229.303,35.938
230.476,35.875
231.307,35.906
232.327,35.875
233.356,35.875
234.276,35.844
235.302,35.875
236.575,35.875
237.298,35.875
238.322,35.875
239.319,35.875
240.418,35.906
241.296,35.875
242.271,35.875
243.295,35.906
244.324,35.875
245.299,35.844
246.322,35.844
247.346,35.875
248.320,35.906
249.344,35.875
250.315,35.875
251.290,35.875
252.313,35.906
253.303,35.906
254.361,36.000
255.315,36.000
256.311,35.969
257.290,35.938
258.364,35.906
259.288,35.938
260.309,35.875
261.353,35.875
262.308,35.875
263.283,35.844
264.307,35.844
265.305,35.844
266.315,35.875
267.575,35.906
268.347,35.938
269.279,35.938
270.303,36.000
271.278,36.000
272.353,36.000
273.282,36.031
274.334,36.000
275.279,36.000
276.360,35.969
277.305,35.969
278.298,35.938
279.277,35.906
280.686,35.906
281.326,35.875
282.308,35.906
283.320,35.938
284.294,35.938
285.318,35.938
286.293,35.969
287.268,35.969
288.342,35.969
289.312,35.969
290.438,35.938
291.610,35.969
292.290,35.938
293.265,35.938
294.289,35.906
295.312,35.938
296.301,35.938
297.311,35.906
298.286,35.906
299.367,35.938
300.335,35.969
301.555,36.000
302.284,36.000
303.308,36.000
304.283,35.969
305.409,35.969
306.287,35.969
307.305,35.938
308.330,35.938
309.309,35.938
310.279,35.969
311.303,35.875
312.621,35.875
313.302,35.844
314.282,35.875
315.300,35.875
316.616,35.875
317.404,35.875
318.274,35.875
