df_hash,22ZHK4.TV3FRY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BYSR
person_label,V149
date_time_start,2026-06-08_17-46-39.600000_+03
date_time_start_unix,1780922799.6
date_time_end,2026-06-08_17-58-20.159000_+03
length_difference_noticed,no

time,rr_int
11.098,4255
11.102,1675
11.250,250
11.253,10
12.215,305
12.849,625
13.483,695
14.165,690
14.999,705
15.676,740
16.411,760
17.090,720
17.772,705
18.604,690
19.045,650
19.727,640
20.405,640
21.286,710
21.965,775
22.648,750
23.522,750
24.305,820
24.310,760
24.405,10
24.500,185
24.504,10
24.600,165
24.695,10
24.699,15
24.702,10
24.841,10
24.845,15
24.849,15
24.852,200
26.304,705
26.938,670
27.622,650
28.352,725
29.036,720
30.012,715
30.454,700
30.991,675
31.667,630
32.208,610
33.032,605
33.638,635
34.299,705
34.982,725
35.718,695
36.407,700
37.078,720
37.809,750
38.492,705
39.320,705
40.004,720
40.743,705
40.832,710
40.981,230
41.958,420
42.639,670
43.172,655
43.757,530
44.014,660
44.148,210
44.151,15
44.154,10
44.293,15
44.296,10
44.300,15
44.980,250
45.414,655
45.561,610
46.929,645
47.608,725
48.393,695
49.031,725
49.714,690
50.387,700
50.987,640
51.654,640
51.817,675
51.947,185
52.240,55
52.923,385
53.463,605
54.141,615
54.872,665
55.555,745
56.000,740
56.318,640
57.699,675
58.090,770
58.387,325
58.627,385
59.162,265
59.899,450
60.137,705
60.429,305
61.112,385
61.851,685
62.477,680
63.209,655
63.744,655
64.438,680
65.205,665
65.841,670
66.523,720
67.059,620
67.648,625
68.331,600
68.495,625
68.623,185
68.626,30
68.656,15
68.865,15
69.452,330
70.131,645
70.960,680
71.643,735
72.471,770
73.203,760
73.886,735
74.568,695
75.152,670
75.835,690
76.522,690
77.200,705
78.014,685
78.648,700
79.296,690
79.980,685
80.722,660
81.246,670
82.075,675
82.763,710
83.493,745
84.171,745
85.000,715
85.295,740
85.537,275
86.270,395
87.633,670
88.318,1370
88.900,675
89.294,640
89.592,340
90.411,355
90.621,735
90.948,275
91.683,360
92.313,625
92.957,640
93.491,655
94.027,600
94.710,585
95.286,635
95.823,580
96.555,600
97.237,660
97.924,690
98.627,675
99.333,705
100.016,750
100.893,745
101.526,735
102.210,700
102.971,705
103.623,725
104.406,710
104.988,680
105.695,665
106.276,705
106.947,685
107.621,700
108.355,675
108.892,690
109.037,210
109.575,415
110.302,665
110.841,645
111.521,620
112.281,650
112.938,670
113.617,665
114.479,750
115.215,785
116.008,785
116.703,745
117.370,760
118.200,750
118.887,730
119.564,720
120.344,720
120.978,715
121.660,730
122.347,740
123.228,640
123.523,780
123.613,320
123.617,15
123.757,245
125.026,690
125.268,660
125.271,190
125.274,10
125.278,10
125.317,10
125.707,10
126.390,405
127.221,705
127.804,740
128.486,695
129.169,720
129.851,715
130.585,695
131.270,680
131.947,690
132.630,695
133.510,700
134.043,675
134.579,655
135.311,660
135.998,680
136.676,685
137.362,665
138.090,680
138.773,730
139.455,740
140.285,705
140.820,690
141.551,710
142.233,675
142.770,630
143.355,635
144.037,605
144.574,585
145.214,585
145.995,655
146.524,655
147.352,690
148.035,795
148.379,805
148.864,205
149.610,540
150.424,770
151.106,800
151.803,730
152.618,715
153.349,725
153.891,705
154.568,675
155.400,710
156.186,730
156.810,755
157.493,725
158.176,720
158.919,705
159.152,695
159.202,180
159.207,10
159.212,50
159.638,20
160.176,450
160.808,545
161.393,625
162.075,630
162.374,840
163.441,385
163.879,630
164.562,615
165.244,685
166.126,715
167.048,910
167.341,880
167.779,265
168.462,470
169.144,765
169.827,695
170.558,675
171.243,645
171.777,685
172.608,660
173.727,740
174.702,1125
174.999,955
175.163,320
175.289,165
175.293,10
175.678,345
175.705,190
175.708,10
175.725,15
175.729,10
176.238,10
176.945,520
177.091,750
177.189,260
177.237,10
178.072,330
178.748,420
179.040,815
179.333,235
179.968,310
180.405,655
180.409,370
180.844,10
181.234,495
182.063,385
182.892,825
183.721,830
184.572,850
185.329,830
186.159,785
186.939,825
187.623,795
188.307,735
189.034,710
189.718,710
190.546,700
191.082,725
192.206,685
192.642,705
193.325,725
194.017,760
194.836,750
195.527,730
196.691,760
197.110,760
197.765,740
198.590,740
198.736,950
199.765,435
200.445,605
201.076,655
201.661,650
202.198,620
202.887,585
203.466,595
204.247,590
204.879,670
205.562,700
206.097,710
206.929,685
207.511,670
208.194,680
209.051,675
209.418,645
210.149,640
211.030,645
211.368,665
212.094,665
212.779,655
212.971,660
212.977,220
213.317,20
213.997,415
214.727,670
215.263,620
215.945,675
216.677,655
217.272,650
217.895,625
218.042,665
218.481,225
219.172,360
219.671,625
220.285,550
220.825,570
221.510,605
222.088,635
222.917,695
223.745,770
224.428,810
224.720,765
225.257,210
226.044,560
226.670,775
227.505,750
228.036,705
228.767,685
229.598,700
229.989,670
230.136,215
230.815,450
231.548,685
232.379,710
233.057,790
233.739,745
234.422,685
235.153,675
235.837,720
236.674,760
236.811,755
236.921,195
236.937,10
236.951,10
236.975,10
237.347,20
238.120,490
238.809,725
239.448,700
240.152,700
240.825,685
241.423,660
242.076,665
242.909,715
243.734,805
243.879,755
243.883,190
244.488,15
245.155,520
245.829,705
246.561,705
247.104,655
247.780,630
247.926,645
247.929,185
