df_hash,22ZHK4.TV3FRY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BYSR
person_label,V149
date_time_start,2026-06-08_17-46-39.600000_+03
date_time_start_unix,1780922799.6
date_time_end,2026-06-08_17-58-20.159000_+03
length_difference_noticed,no

time,battery
11.245,90
21.283,90
31.228,90
41.228,90
51.216,90
61.210,90
71.204,90
81.198,90
91.192,90
101.332,90
111.228,90
121.222,90
131.266,90
141.217,90
151.210,90
161.229,90
171.197,90
181.194,90
191.192,90
201.174,90
211.218,90
221.257,90
231.279,90
241.199,90
251.200,90
261.187,90
271.192,90
281.175,90
291.173,90
301.212,90
311.206,90
321.221,90
331.193,90
341.187,89
351.357,89
361.272,89
371.218,89
381.261,89
391.352,89
401.211,89
411.291,89
421.212,89
431.328,89
441.273,89
451.196,89
461.261,89
471.157,89
481.151,89
491.292,89
501.188,89
511.183,89
521.293,89
531.181,89
541.186,89
551.166,89
561.270,89
571.148,89
581.194,89
591.135,89
601.178,89
611.172,89
621.165,89
631.160,89
641.157,89
651.197,89
661.167,89
671.137,89
681.179,89
691.124,89
