df_hash,22ZHK4.QK206M
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.D6JC
person_label,V12
date_time_start,2025-05-22_10-41-54.002000_+03
date_time_start_unix,1747899714.002
date_time_end,2025-05-22_10-49-07.831000_+03
length_difference_noticed,no

time,temperature
4.759,37.469
5.783,37.500
6.772,37.531
7.781,37.562
8.756,37.531
9.779,37.531
10.755,37.500
11.779,37.531
12.829,37.562
13.780,37.594
14.753,37.594
15.776,37.594
16.751,37.531
17.778,37.531
18.885,37.562
19.774,37.562
20.752,37.562
21.773,37.562
23.040,37.531
23.774,37.500
24.746,37.500
25.770,37.531
26.798,37.562
27.769,37.562
28.744,37.594
29.798,37.594
30.743,37.625
31.821,37.625
33.038,37.625
33.765,37.656
34.789,37.625
35.766,37.625
36.787,37.656
37.763,37.625
38.786,37.656
39.761,37.625
40.785,37.625
41.761,37.625
42.784,37.594
44.005,37.594
44.783,37.594
45.758,37.562
46.781,37.594
48.069,37.594
48.780,37.500
49.755,37.531
50.784,37.562
51.754,37.562
52.778,37.531
53.753,37.562
54.790,37.562
55.752,37.562
56.813,37.562
57.750,37.562
58.774,37.594
59.749,37.625
60.773,37.594
61.748,37.594
62.852,37.625
63.747,37.625
64.770,37.625
65.749,37.625
66.772,37.656
67.793,37.656
68.768,37.625
69.892,37.625
70.767,37.625
71.742,37.625
72.765,37.625
73.743,37.656
74.764,37.656
75.758,37.656
76.831,37.656
77.738,37.688
78.766,37.719
79.983,37.719
80.760,37.781
81.784,37.750
82.759,37.781
83.880,37.750
84.758,37.750
85.782,37.719
86.759,37.719
87.780,37.719
88.757,37.719
89.782,37.719
91.046,37.656
91.778,37.688
92.753,37.688
93.777,37.781
94.752,37.781
95.776,37.812
96.785,37.812
97.774,37.812
98.774,37.812
99.775,37.812
100.748,37.812
102.067,37.812
102.746,37.812
103.771,37.688
104.993,37.719
105.769,37.688
106.744,37.688
107.779,37.688
108.767,37.688
109.766,37.688
110.742,37.688
111.766,37.688
112.743,37.656
113.769,37.688
114.739,37.688
115.961,37.656
116.738,37.656
117.762,37.656
118.885,37.688
119.761,37.656
120.736,37.656
121.759,37.656
122.783,37.625
123.758,37.688
124.740,37.688
125.768,37.719
126.784,37.656
127.760,37.656
128.734,37.688
129.754,37.719
130.778,37.688
131.753,37.688
132.785,37.656
133.752,37.625
134.830,37.531
135.751,37.531
136.775,37.594
137.749,37.594
138.774,37.625
139.748,37.625
140.772,37.750
141.747,37.812
142.822,37.812
143.746,37.844
144.770,37.938
145.745,37.938
146.768,37.938
147.746,37.938
148.767,37.875
149.742,37.875
150.766,37.750
151.939,37.750
152.769,37.750
154.183,37.750
154.763,37.750
155.738,37.750
156.762,37.750
158.194,37.750
158.761,37.781
159.737,37.750
160.780,37.750
161.735,37.719
162.759,37.781
163.734,37.781
164.757,37.750
165.732,37.719
166.757,37.750
167.781,37.781
168.755,37.781
169.730,37.812
170.756,37.781
171.729,37.812
172.774,37.812
173.732,37.781
174.755,37.844
175.774,37.844
176.750,37.875
177.725,37.844
178.749,37.812
179.772,37.781
180.747,37.812
181.787,37.781
182.944,37.781
183.770,37.750
184.745,37.781
185.770,37.750
186.743,37.750
187.767,37.781
188.742,37.812
189.767,37.844
190.741,37.812
191.773,37.844
192.740,37.844
193.764,37.875
194.739,37.875
195.762,37.844
196.744,37.844
197.761,37.781
198.841,37.812
199.761,37.812
200.735,37.812
201.760,37.812
202.787,37.781
203.758,37.781
204.733,37.812
205.756,37.844
206.731,37.875
207.950,37.875
208.924,37.875
209.754,37.875
210.729,37.875
211.752,37.844
212.876,37.875
213.751,37.875
214.726,37.875
215.759,37.875
216.726,37.875
217.749,37.875
219.001,37.906
219.748,37.875
220.723,37.875
221.746,37.906
222.868,37.906
223.852,37.906
224.734,37.906
225.744,37.906
226.770,37.875
227.743,37.875
228.767,37.812
229.742,37.812
230.765,37.781
231.740,37.781
232.764,37.781
233.739,37.781
234.763,37.750
235.738,37.750
236.761,37.812
237.897,37.750
238.760,37.906
239.735,37.906
240.759,37.938
241.734,37.969
242.758,37.938
243.737,37.969
244.757,38.000
245.731,37.969
246.755,37.969
247.730,38.031
248.949,37.875
249.729,37.875
250.753,37.875
251.876,37.844
252.781,37.844
253.727,37.812
254.752,37.844
255.725,37.844
256.749,37.844
257.747,37.844
258.748,37.844
259.722,37.875
260.750,37.844
261.722,37.844
262.843,37.844
263.736,37.875
264.744,37.875
265.778,37.875
266.743,37.875
267.867,37.906
268.742,37.875
269.717,37.875
270.740,37.906
271.715,37.938
272.739,37.938
273.999,37.906
274.738,37.875
275.713,37.844
276.834,37.812
277.761,37.812
278.735,37.781
279.759,37.781
280.734,37.781
281.781,37.781
282.782,37.781
283.954,37.781
284.732,37.812
285.755,37.812
286.730,37.844
287.754,37.812
289.122,37.812
289.805,37.812
290.736,37.781
291.751,37.781
293.071,37.750
293.751,37.781
294.726,37.812
295.749,37.812
296.724,37.781
297.748,37.812
298.723,37.812
299.747,37.844
300.727,37.812
301.746,37.875
302.928,37.875
303.745,37.844
304.720,37.844
305.743,37.844
306.718,37.875
307.939,37.875
308.717,37.844
309.741,37.844
310.716,37.875
311.751,37.812
312.715,37.781
313.738,37.844
314.740,37.844
315.738,37.812
316.712,37.781
317.832,37.781
