df_hash,22ZHK4.QK206M
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.D6JC
person_label,V12
date_time_start,2025-05-22_10-41-54.002000_+03
date_time_start_unix,1747899714.002
date_time_end,2025-05-22_10-49-07.831000_+03
length_difference_noticed,no

time,heart_rate
23.478,80
24.356,78
25.575,78
26.452,78
27.330,78
28.549,78
29.721,78
30.303,78
31.522,78
32.400,79
33.277,79
34.496,80
35.374,80
36.255,79
37.470,79
38.347,79
39.225,79
40.444,79
41.340,79
42.249,79
43.417,79
44.444,79
45.270,79
46.391,82
47.273,84
48.218,86
49.365,88
50.371,89
51.190,89
52.338,88
53.216,85
54.142,83
55.312,81
56.242,80
57.116,79
58.286,79
59.212,79
60.090,80
61.260,80
62.189,80
63.064,79
64.234,79
65.160,79
66.037,79
67.231,79
68.134,82
69.049,82
70.230,83
71.107,82
71.985,82
73.204,81
74.081,81
74.961,81
76.177,81
77.055,81
78.179,78
79.151,77
80.029,76
80.906,75
82.125,74
83.003,74
83.884,75
85.099,76
86.002,78
86.854,79
88.072,79
88.950,79
89.876,78
91.052,78
91.928,78
92.850,77
94.054,77
94.899,76
95.826,76
96.994,76
97.871,76
98.809,76
99.968,76
100.847,75
101.772,75
102.941,76
103.819,77
104.745,77
105.916,77
106.842,78
107.719,78
108.893,78
109.770,79
110.693,80
111.863,80
112.833,80
113.678,80
114.838,80
115.714,81
116.640,81
117.810,82
118.736,82
119.614,83
120.784,84
121.710,85
122.588,86
123.764,87
124.685,87
125.757,86
126.732,85
127.659,84
128.535,83
129.705,83
130.632,84
131.509,85
132.682,86
133.606,87
134.483,87
135.653,87
136.579,87
137.457,86
138.627,85
139.553,85
140.430,85
141.601,85
142.527,86
143.404,86
144.579,87
145.500,86
146.378,85
147.597,84
148.478,82
149.352,82
150.525,82
151.452,82
152.326,82
153.495,82
154.422,82
155.299,82
156.469,82
157.421,82
158.273,82
159.443,83
160.369,83
161.247,83
162.417,82
163.343,82
164.220,81
165.390,81
166.317,81
167.194,82
168.364,81
169.290,81
170.168,81
171.364,81
172.264,81
173.146,81
174.361,81
175.238,81
176.116,82
177.334,83
178.212,84
179.089,85
180.311,87
181.186,88
182.098,88
183.282,88
184.159,87
185.037,86
186.273,85
187.133,84
188.011,84
189.229,83
190.163,83
190.984,82
192.225,82
193.081,82
193.958,82
195.177,82
196.054,82
196.933,82
198.151,82
199.028,82
199.954,82
201.141,82
202.002,82
202.928,82
204.099,82
204.976,83
205.902,83
207.072,84
207.953,84
208.928,85
210.046,86
210.946,86
211.910,86
213.020,85
213.897,84
214.824,84
215.996,83
216.920,83
217.797,83
219.006,84
219.893,83
220.771,88
221.941,85
222.871,86
223.749,81
224.915,79
225.841,78
226.718,79
227.986,78
228.815,78
229.717,82
230.862,79
231.788,80
232.666,80
233.836,80
234.766,80
235.640,79
236.810,79
237.785,78
238.614,78
239.840,78
240.710,78
241.587,78
242.806,78
243.684,78
244.568,78
245.780,78
246.657,78
247.535,71
248.754,64
249.631,67
250.512,68
251.727,67
252.630,66
253.482,60
254.701,62
255.579,62
256.456,62
257.675,61
258.552,61
259.431,61
260.651,56
261.527,56
262.404,55
263.675,56
264.500,60
265.716,58
266.596,57
267.476,57
268.351,57
269.570,57
270.450,57
271.325,57
272.549,57
273.717,57
274.347,57
275.521,57
276.398,55
277.321,54
278.491,53
279.369,53
280.324,53
281.465,53
282.343,53
283.274,53
284.439,53
285.316,53
286.266,53
287.413,52
288.290,52
289.216,52
290.386,52
291.264,52
292.190,52
293.360,52
294.291,52
295.164,52
296.334,52
297.260,52
298.138,54
299.308,55
300.250,55
301.112,56
302.282,55
303.230,55
304.086,55
305.262,55
306.181,55
307.059,55
308.278,55
309.157,55
310.033,53
311.251,53
312.131,53
313.007,57
314.225,55
315.103,54
315.980,54
317.199,54
318.077,62
318.954,59
320.173,58
321.050,58
321.930,58
323.147,58
324.024,73
324.951,82
326.169,87
326.998,89
327.924,89
329.094,89
330.021,89
330.898,89
332.068,89
332.945,89
333.899,90
335.042,91
335.934,92
336.845,94
338.446,95
338.942,96
339.819,97
341.004,98
341.917,98
342.793,98
343.963,97
344.932,96
345.767,96
347.009,96
347.863,96
348.745,96
349.910,95
350.838,95
351.714,94
352.933,94
353.811,94
354.688,95
355.907,95
357.080,95
357.662,95
358.881,95
359.758,95
360.642,95
361.855,96
362.735,96
363.644,97
364.828,97
365.706,97
366.583,97
367.805,97
368.679,97
369.568,97
370.776,97
371.653,97
372.531,97
373.753,97
374.627,97
375.748,96
376.723,96
377.604,96
378.722,96
379.697,96
380.599,95
381.452,95
382.671,93
383.548,93
384.468,92
385.645,92
386.522,92
387.448,92
388.618,93
389.496,93
390.422,94
391.592,94
392.470,94
393.396,94
394.568,94
395.452,95
396.370,95
397.540,96
398.421,96
399.344,97
400.611,97
401.391,97
402.317,96
403.487,95
404.365,95
405.340,94
406.480,94
407.339,94
408.265,94
409.435,94
410.312,95
411.238,95
412.408,95
413.290,95
414.212,95
415.420,95
416.260,95
417.186,95
418.356,95
419.266,95
420.163,95
421.330,91
422.259,89
423.134,90
424.319,90
425.230,90
426.107,89
427.277,95
428.204,97
