df_hash,22ZHK4.QK206M
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.D6JC
person_label,V12
date_time_start,2025-05-22_10-41-54.002000_+03
date_time_start_unix,1747899714.002
date_time_end,2025-05-22_10-49-07.831000_+03
length_difference_noticed,no

time,battery
10.660,38
20.651,38
30.648,38
40.639,38
50.681,38
60.675,38
70.669,38
80.663,38
90.657,38
100.650,38
110.648,38
120.640,38
130.680,38
140.626,38
150.673,38
160.662,38
170.656,38
180.650,38
190.644,38
200.637,38
210.631,38
220.665,38
230.619,38
240.661,37
250.676,37
260.747,37
270.646,37
280.640,37
290.728,37
300.624,37
310.618,37
320.622,37
330.606,37
340.648,37
350.670,37
360.636,37
370.630,37
380.629,37
390.618,37
400.620,37
410.605,37
420.599,37
