df_hash,22ZHK4.QK206M
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.D6JC
person_label,V12
date_time_start,2025-05-22_10-41-54.002000_+03
date_time_start_unix,1747899714.002
date_time_end,2025-05-22_10-49-07.831000_+03
length_difference_noticed,no

time,omega
173.731,0.389
181.676,0.375
196.402,0.375
199.279,0.375
202.786,0.383
204.394,0.383
234.720,0.386
346.651,0.396
349.868,0.460
350.551,0.412
357.900,0.523
360.985,0.530
368.343,0.523
369.561,0.530
371.071,0.540
372.198,0.551
374.010,0.553
374.582,0.555
383.896,0.555
390.576,0.569
403.693,0.555
408.132,0.569
409.297,0.555
411.805,0.553
