df_hash,22ZHK4.25F3JF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7JT9
person_label,V145
date_time_start,2026-06-08_16-35-56.969000_+03
date_time_start_unix,1780918556.969
date_time_end,2026-06-08_16-48-43.335000_+03
length_difference_noticed,no

time,ppg_quality
58.220,58
60.240,63
61.250,67
63.270,79
65.290,76
67.310,60
68.320,57
70.340,54
71.350,50
74.380,73
75.390,76
76.400,83
78.420,84
80.440,85
83.470,83
84.480,79
85.490,77
87.510,82
89.530,96
90.540,99
91.550,99
92.560,88
93.570,89
94.580,86
96.600,81
98.620,65
100.640,47
102.660,30
103.670,16
104.680,16
107.710,25
108.720,41
109.730,40
111.750,40
113.770,62
115.790,79
118.820,70
120.840,80
121.850,91
122.860,96
124.880,92
126.900,68
128.920,60
129.930,63
131.950,49
133.970,34
134.980,33
135.990,33
138.010,38
140.030,28
141.040,32
142.050,32
143.060,31
144.070,23
145.080,16
147.100,24
149.120,39
151.140,54
152.150,64
154.170,85
156.190,90
157.200,96
158.210,98
159.220,93
160.230,95
162.250,96
163.260,97
165.280,111
167.300,114
169.320,118
171.340,122
172.350,124
173.360,125
174.370,123
176.390,121
177.400,121
178.410,121
180.430,117
182.450,111
184.470,106
185.480,97
187.500,87
189.520,84
191.540,87
193.560,90
194.570,96
195.580,103
196.590,104
198.610,107
200.630,99
201.640,93
202.650,89
204.670,82
205.680,83
206.690,85
207.700,88
209.720,97
211.740,103
213.760,100
214.770,93
216.790,84
217.800,79
218.810,79
220.830,80
222.850,86
224.870,94
226.890,91
227.900,94
228.910,94
229.920,96
231.940,93
232.950,88
233.960,86
235.980,94
238.000,106
239.010,109
240.020,108
243.050,116
245.070,116
246.080,112
247.090,109
248.100,111
249.110,112
251.130,110
253.150,98
254.160,114
256.180,105
258.200,78
259.210,72
261.220,67
262.230,73
265.260,70
267.280,100
269.300,103
271.320,107
272.330,109
273.340,111
275.360,116
276.370,94
278.390,104
280.410,123
282.430,125
284.450,126
285.460,127
286.470,151
287.480,146
289.500,128
291.520,126
293.540,127
295.560,120
297.580,119
298.590,120
299.600,120
300.610,117
301.620,101
302.630,87
303.640,77
304.650,74
305.660,70
306.670,63
308.690,54
309.700,49
311.720,55
313.740,69
314.750,66
315.760,65
316.770,66
317.780,62
319.800,68
320.810,73
322.830,77
324.850,86
325.860,92
326.870,102
327.880,111
329.900,114
330.910,113
331.920,110
333.940,108
334.950,109
335.960,108
337.980,101
340.000,105
341.010,108
342.020,110
343.030,111
345.050,106
346.060,104
347.070,104
349.090,106
351.110,107
352.120,109
353.130,112
354.140,115
356.160,122
358.180,121
360.200,112
362.220,109
363.230,108
364.240,106
365.250,103
367.270,106
369.290,93
371.310,87
372.320,81
373.330,79
375.350,74
376.360,61
378.380,76
379.390,84
380.400,91
382.420,101
384.440,99
386.460,95
389.490,96
391.510,92
392.520,91
393.530,81
395.550,82
396.560,80
397.570,75
400.600,54
401.610,52
402.620,50
404.640,64
406.660,70
408.680,84
409.690,97
411.710,102
412.720,96
413.730,88
415.750,90
416.760,87
417.770,86
418.780,84
419.790,83
420.800,86
422.820,97
423.830,102
424.840,107
426.860,119
428.880,124
430.900,123
431.910,124
433.930,126
435.950,125
437.970,121
439.990,118
441.000,117
443.020,116
444.030,116
445.040,116
447.060,105
449.080,110
451.100,106
453.120,89
454.130,85
456.150,75
458.170,75
460.190,64
462.210,70
463.220,68
464.230,66
467.260,66
468.270,65
469.280,67
471.300,69
472.310,77
473.320,86
474.330,92
475.340,100
478.370,107
480.390,105
482.410,101
484.430,97
486.450,93
487.460,92
489.480,100
491.500,104
493.520,100
495.540,90
496.550,85
498.570,79
499.580,77
500.590,75
502.610,78
504.630,75
506.650,78
508.670,89
509.680,91
511.700,89
513.720,95
515.740,107
517.760,99
519.780,93
520.790,92
521.800,88
524.830,81
526.850,77
529.880,85
530.890,87
532.910,84
533.920,81
535.940,75
537.960,92
539.980,97
542.000,105
543.010,113
544.020,120
545.030,127
546.040,130
547.050,129
549.070,121
550.080,120
551.090,124
553.110,126
555.130,123
556.140,120
558.160,122
560.180,127
562.200,125
564.220,117
566.240,114
567.250,111
569.270,105
571.290,102
573.310,103
574.320,103
576.340,101
577.350,100
578.360,95
580.380,83
582.400,81
584.420,83
586.440,77
587.450,77
588.460,81
590.480,93
591.490,93
593.510,91
594.520,93
595.530,98
597.550,109
598.560,108
599.570,101
600.580,96
602.600,79
604.620,76
606.640,71
608.660,76
610.680,77
612.700,83
613.710,80
615.730,76
617.750,74
619.770,75
621.790,95
623.810,96
624.820,93
626.840,97
628.860,86
630.880,77
632.900,72
635.930,88
637.950,82
639.970,78
641.990,75
643.000,68
644.010,69
647.040,78
648.050,87
649.060,97
651.080,114
652.090,115
654.110,106
655.120,95
657.140,81
658.150,75
660.170,79
662.190,84
664.210,92
666.230,98
667.240,94
669.260,80
671.280,61
673.300,54
675.320,59
676.330,65
677.340,67
680.370,82
681.380,88
682.390,92
684.410,78
686.430,77
687.440,83
689.460,91
690.470,89
691.480,86
693.500,93
695.520,120
697.540,117
699.560,115
702.590,117
704.610,110
706.630,120
708.650,114
710.670,110
712.690,109
713.700,106
715.720,94
717.740,91
718.750,98
719.760,103
720.770,103
721.780,106
723.800,109
724.810,111
726.830,119
