df_hash,22ZHK4.25F3JF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7JT9
person_label,V145
date_time_start,2026-06-08_16-35-56.969000_+03
date_time_start_unix,1780918556.969
date_time_end,2026-06-08_16-48-43.335000_+03
length_difference_noticed,no

time,omega
125.329,0.669
128.490,0.667
138.047,0.663
147.556,0.667
176.507,0.663
181.142,0.667
192.350,0.669
192.936,0.667
198.546,0.669
200.930,0.671
201.564,0.669
203.365,0.663
204.197,0.663
206.298,0.670
208.733,0.667
209.321,0.667
209.899,0.667
214.979,0.655
218.625,0.655
235.197,0.655
236.179,0.655
238.834,0.648
239.687,0.656
249.040,0.648
251.970,0.656
260.428,0.648
261.519,0.641
263.630,0.643
267.716,0.643
268.576,0.639
269.568,0.643
270.352,0.648
272.345,0.648
273.257,0.643
284.923,0.639
286.749,0.634
288.679,0.634
293.130,0.628
294.819,0.628
296.750,0.626
305.250,0.621
306.253,0.626
314.159,0.621
315.779,0.626
317.430,0.626
317.678,0.629
325.540,0.629
327.244,0.626
328.066,0.621
328.355,0.621
330.893,0.621
333.526,0.621
337.367,0.621
339.322,0.626
340.328,0.631
343.512,0.636
343.959,0.636
349.752,0.636
350.786,0.636
352.685,0.638
354.540,0.638
355.463,0.638
358.530,0.643
361.212,0.643
362.284,0.647
363.161,0.659
374.318,0.666
375.308,0.666
376.173,0.668
377.422,0.668
378.234,0.665
379.931,0.665
381.210,0.668
385.448,0.681
387.997,0.701
389.780,0.698
390.757,0.698
419.031,0.698
419.819,0.688
419.855,0.688
421.999,0.688
424.732,0.675
426.825,0.663
427.849,0.657
431.652,0.655
435.425,0.646
436.380,0.646
437.472,0.636
438.345,0.635
439.360,0.636
440.182,0.636
441.209,0.636
441.934,0.636
443.738,0.635
448.031,0.633
459.586,0.633
472.118,0.629
473.968,0.629
497.122,0.629
503.899,0.625
504.785,0.625
506.605,0.625
514.149,0.625
516.716,0.625
517.040,0.625
517.889,0.634
527.124,0.624
531.678,0.634
537.433,0.633
540.274,0.627
541.136,0.627
544.011,0.627
545.506,0.627
547.292,0.627
548.135,0.627
549.969,0.627
551.037,0.630
551.571,0.632
555.176,0.631
557.227,0.631
557.959,0.632
559.027,0.631
559.757,0.631
560.500,0.631
561.464,0.631
569.612,0.631
569.684,0.632
580.771,0.631
585.207,0.631
588.714,0.632
603.146,0.632
606.730,0.634
610.261,0.632
613.881,0.634
616.549,0.634
618.547,0.637
632.494,0.637
638.655,0.634
642.158,0.634
644.189,0.637
644.929,0.647
647.665,0.663
648.378,0.647
648.834,0.634
654.328,0.650
656.234,0.632
656.870,0.632
667.104,0.647
685.308,0.647
688.409,0.632
689.295,0.645
689.481,0.645
694.549,0.645
695.574,0.645
696.546,0.645
697.588,0.628
699.521,0.641
712.621,0.660
713.752,0.660
718.097,0.660
719.022,0.660
719.897,0.641
720.978,0.660
722.820,0.660
725.906,0.660
730.149,0.664
733.214,0.668
736.422,0.668
742.421,0.673
744.266,0.681
