df_hash,22ZHK4.25F3JF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7JT9
person_label,V145
date_time_start,2026-06-08_16-35-56.969000_+03
date_time_start_unix,1780918556.969
date_time_end,2026-06-08_16-48-43.335000_+03
length_difference_noticed,no

time,rr_int
8.815,3540
9.790,690
9.935,955
10.228,250
12.081,260
13.592,1795
14.566,1555
14.810,1010
15.103,265
15.932,200
16.224,935
18.030,240
18.271,1795
18.856,270
19.002,725
19.831,555
20.806,335
21.098,850
21.927,285
22.171,835
22.491,275
22.767,300
23.877,360
25.296,1095
25.535,1395
25.973,230
26.071,675
27.046,825
28.605,155
29.336,1485
29.749,745
30.165,380
30.945,395
32.749,810
33.069,1885
34.605,255
34.699,1600
34.850,215
36.161,445
36.503,845
37.654,445
37.916,1000
38.354,285
38.598,495
38.603,320
39.720,370
40.461,755
41.670,625
41.966,1325
42.011,240
42.059,35
42.063,25
42.108,15
42.111,10
42.208,15
42.401,245
43.770,1230
44.156,230
45.422,365
46.008,1310
46.264,805
47.909,595
48.214,1065
49.176,315
49.761,970
50.310,615
51.419,545
52.101,1060
52.783,735
53.514,745
54.343,725
55.182,820
56.152,840
56.491,940
57.122,270
58.097,735
59.073,980
59.907,940
60.730,915
61.704,865
61.850,880
61.853,180
61.999,30
62.535,10
63.556,675
64.433,980
64.775,790
65.219,405
65.479,400
66.432,375
67.407,1005
68.236,875
68.528,890
68.533,215
68.726,35
68.729,10
69.066,10
70.039,635
71.015,935
71.456,970
71.602,375
71.991,10
72.574,600
72.577,565
72.720,10
72.964,45
73.793,325
74.622,875
74.768,835
75.451,170
75.596,625
75.600,200
76.328,10
77.386,675
78.278,930
78.384,1000
78.526,330
78.673,10
78.713,60
78.768,15
78.771,15
78.776,70
78.863,15
78.868,10
80.081,445
81.056,930
81.885,940
82.129,860
82.714,170
83.547,660
83.851,810
84.371,230
84.517,590
84.520,190
85.208,20
86.029,645
86.343,840
86.906,255
87.891,595
88.127,970
88.563,10
89.257,735
90.074,640
90.225,835
90.903,210
91.757,605
92.712,910
93.682,965
94.657,995
95.632,970
96.460,900
96.655,860
97.191,170
97.489,615
97.581,280
97.587,15
98.022,45
98.849,10
99.148,1280
99.531,310
100.513,360
101.042,975
101.045,555
101.091,15
101.338,255
102.504,965
103.138,225
103.141,735
104.406,10
104.698,1140
104.942,375
105.527,320
106.794,550
107.574,1220
108.310,770
109.134,805
109.283,730
109.329,190
109.332,15
109.426,140
109.430,15
109.670,240
111.134,680
112.205,800
112.209,990
113.188,10
114.203,1030
115.081,980
116.105,950
116.787,975
117.191,760
117.323,365
117.472,10
117.638,180
117.911,305
118.446,10
119.274,785
119.956,785
120.102,750
120.687,210
120.932,550
121.516,240
122.198,530
122.889,760
123.612,695
124.002,665
124.294,405
125.134,340
125.274,750
125.806,245
125.959,440
126.001,250
126.011,10
127.076,420
127.755,650
128.437,690
128.491,710
129.169,10
129.852,695
130.827,705
132.341,1015
132.630,1750
134.287,625
134.291,1060
134.339,10
134.342,10
134.436,75
134.485,10
134.488,10
135.945,700
136.384,825
136.968,465
137.943,605
138.386,960
138.779,465
140.137,350
140.724,1350
140.965,635
141.404,250
142.109,410
142.251,785
142.379,85
142.384,15
142.824,15
143.211,455
143.214,245
143.217,15
143.354,15
144.040,420
144.719,695
145.030,670
145.306,255
145.451,10
145.987,385
146.669,640
147.409,650
147.936,640
148.083,605
148.228,210
148.232,10
148.328,10
148.618,15
149.350,410
150.179,745
150.423,870
151.157,250
151.879,735
152.129,970
153.978,940
154.907,900
155.784,930
155.980,895
156.565,255
157.393,570
158.222,835
159.197,865
160.025,880
160.854,920
161.837,845
162.658,885
163.633,905
164.952,945
165.582,970
166.463,960
167.390,960
168.317,925
169.093,860
170.105,860
170.896,885
171.871,935
172.872,955
173.894,980
174.815,970
175.624,945
176.453,890
177.428,880
178.403,905
178.865,945
178.981,530
179.235,320
181.086,990
181.864,875
182.695,870
183.570,795
184.497,870
184.793,895
185.093,345
185.228,470
186.348,855
186.351,175
186.885,25
187.713,630
188.704,845
189.371,860
190.248,815
191.077,830
192.030,840
192.881,900
192.884,845
193.716,10
194.440,800
194.444,800
194.693,10
195.101,275
195.810,400
196.488,715
197.320,710
198.147,780
198.492,855
198.549,300
198.584,15
198.974,20
199.835,445
200.631,870
201.509,865
202.435,895
203.264,840
204.155,860
204.824,845
205.752,745
206.242,735
206.920,715
207.672,720
208.431,705
209.141,715
209.844,750
210.678,730
211.356,775
212.185,720
212.482,805
212.632,295
213.016,10
213.759,460
214.720,890
214.821,875
215.295,350
216.377,500
217.078,845
217.941,780
218.570,755
219.404,740
220.228,795
221.105,840
221.787,910
221.791,680
221.794,10
222.032,200
223.153,895
223.786,225
224.566,645
225.444,875
226.223,805
227.085,830
228.027,870
229.002,925
229.879,955
230.269,830
230.275,440
230.367,15
230.426,80
230.445,25
230.516,10
230.659,15
230.665,15
230.671,235
232.366,855
233.194,840
234.170,895
235.144,960
236.124,980
237.094,995
237.923,925
238.773,870
239.583,865
240.556,895
241.384,870
242.505,950
243.480,985
244.461,1010
245.289,950
246.112,930
247.093,885
247.917,860
248.766,860
249.720,905
250.841,975
251.669,1040
252.644,905
253.502,1010
253.784,855
254.838,220
254.911,660
255.151,515
