df_hash,22ZHK4.25F3JF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7JT9
person_label,V145
date_time_start,2026-06-08_16-35-56.969000_+03
date_time_start_unix,1780918556.969
date_time_end,2026-06-08_16-48-43.335000_+03
length_difference_noticed,no

time,battery
14.225,99
24.218,99
34.260,99
44.253,99
54.246,99
64.337,99
74.280,99
84.274,98
94.218,98
104.211,98
114.249,98
124.246,98
134.239,98
144.232,98
154.225,98
164.219,98
174.263,98
184.204,98
194.197,98
204.250,98
214.207,98
224.326,98
234.220,98
244.291,98
254.205,98
264.203,98
274.213,98
284.282,98
294.275,98
304.181,98
314.259,98
324.157,98
334.201,97
344.209,97
354.185,97
364.179,97
374.221,97
384.261,97
394.163,97
404.278,97
414.172,97
424.147,97
434.279,97
444.206,97
454.166,97
464.169,97
474.251,97
484.190,97
494.140,97
504.133,97
514.175,97
524.168,97
534.292,97
544.180,97
554.148,97
564.142,97
574.151,97
584.153,97
594.122,97
604.182,97
614.255,97
624.199,97
634.149,96
644.197,96
654.234,96
664.172,96
674.142,96
684.187,96
694.171,96
704.098,96
714.096,96
724.256,96
734.224,96
744.121,96
754.119,96
